path,bytes,sha256,asset_role,underlying_numeric_array_shipped
00README.json,310,e8cfdeaae5b2c3b806d428b901210cfb03b9753a3fcce966ab3666435591725a,paper_source_or_nonnumeric_figure,False
bare_jrnl_new_sample4.tex,74184,f7d7966f8736b2b5bf49b745aa264465d0f33d84e87d9d80e782d2871a50a586,paper_source_or_nonnumeric_figure,False
figures/crypto_xsec_profitability.pdf,117981,5b0d8d7b4a514244d5277bad7a50639479890cbcd1bf7a9d79668fdffb1242c4,numeric_result_figure,False
figures/hyberparameter/corrth_sensitivity_binance_xsec.pdf,25091,9a4a487adaab334fa3cf32f51f4f173f3df5e0ff9c87a364e3ef9d9e5e542dc7,numeric_result_figure,False
figures/hyberparameter/topk_sensitivity_binance_xsec.pdf,24147,653e1072c7b8edd8d121b71a27f65df217b9cade700ec9908c8fb411cefc67e7,numeric_result_figure,False
figures/intro-example.pdf,259379,f31ec2de84a4e8a9c849f461c951cbda6a3702c67a5ce1c3673464d58019a2ec,paper_source_or_nonnumeric_figure,False
figures/training/critic_score_mean.pdf,22708,467934e0742baf7a0fefe921caaa177e7068441024ce658b2ab0e36783ffc12b,numeric_result_figure,False
figures/training/rolling_top10_score.pdf,31790,24bf5741fcdd96a9326383d9d54f6f723cf299b0639aed0ee8164626311e61df,numeric_result_figure,False
figures/workflow.pdf,1310075,0f184dbb9a7dca64f7412eac715268deee10598a3f3fad958e48e0032c63478b,paper_source_or_nonnumeric_figure,False
mylib.bib,38701,0bb171e271953ea22db984b4cb8f2fb0ec1477d73b293eb2ef320edd8f8b8205,paper_source_or_nonnumeric_figure,False
