commit,authored_at,subject,tracked_paths,python_paths,result_or_data_artifact_paths,result_or_data_artifact_inventory,paper_result_literal_hits_outside_bundled_pdf,paper_result_literal_inventory,paper_result_artifact_found
6372a607f68f2717af2fe99601f5ae228721495a,2026-05-15T04:37:50+08:00,QuantEvolver v1.0,1,0,0,,0,,False
4eb0e78842138ada5334349585b114ad923564e8,2026-05-15T04:38:26+08:00,QuantEvolver v1.0,67,55,0,,0,,False
