path,git_object,bytes,sha256,python_source,upstream_test,paper_numeric_output
quant_evolver/rewards/base.py,87f4e765bd5e1862c8a16633df8f67a8067f4de0,1071,49ab466464a7216ec5cc5c1125224e3ab4188d6e7891c2bbeddc8ee25fc364d7,True,False,False
quant_evolver/rewards/composite.py,43d5e8caeadaecb83ccdb755a61a3524bfea33b0,1466,632c80ffa093823cefdcac9c778ad29e09fc70d931b97e6650be24e80e8dd14a,True,False,False
quant_evolver/rewards/direction.py,ca04211af3563c50e8760a4f7b95d9476bc5e40b,1004,6846e1886f70fe284e10657f60e0bb4bec1403dc36a80ab2a71319bb512b2c63,True,False,False
quant_evolver/rewards/ic.py,6f91c52329fbae6e2edaf643cd229712bc46318e,702,3af383ad8ce5d3b9d7fe83df4a27e8b6c60b758b542f087cb39939884f6a445b,True,False,False
quant_evolver/rewards/registry.py,5e835a72f90446e79b08f40814784df1a9fa6070,492,5288a32b560b1b91666c649186d6e9eecc8657c475321f49a10f138488a9cb92,True,False,False
quant_evolver/rewards/signal_return.py,65adb9d650f3136599e0e205152ed11a6850c8c9,862,27770566dde599518e096f89a0b568852959800e392364e830bf5277fb121d55,True,False,False
quant_evolver/rft/__init__.py,541d4838785415d98276b8334444d1dd5c078fc2,132,f98a455bfd7b4d2a275ba5712a997d35cb178fa0debc81c9694dae4c26b4d390,True,False,False
quant_evolver/rft/backend.py,13c6d07f277d4bb7e7c55e2b7343ad2d1df5a440,693,1cb66c73c4b1490f6aa77b6fbfe8296e63ed128d715b658496f365f7c74f64ac,True,False,False
quant_evolver/rft/config.py,19e4647d977853606c893700548a98a0f049b48f,4056,85218525baaac77d096c7596ae427a826986a86ee2eeab41a78ee82c80e2b248,True,False,False
quant_evolver/rft/dataset.py,e0d4cbd9b32f1186069d4864f6394672594c477c,4733,cf634100d4e4117b6ffd02136601e36f901c8e23597bbdfd21341ff43c7c5fd6,True,False,False
quant_evolver/rft/local_smoke.py,76a27679d0f798f6c8b2aae2f2cad5d56efdc65b,1917,e1eef1ce01e668ca74edf5635473299170fba7c380e768ccaf524b5c8dbee0d2,True,False,False
quant_evolver/rft/no_think_dataset.py,46be5b2a115d9005dfaa17510bf0cd039341496d,1037,a6030b0945b3bf8fd6086e0ce2d3e824465d621bc07cf933c0ef349ef3582f74,True,False,False
