missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,net_return
zero,1999-07-31,1999-08-31,ok,0.053391621462799854,0.053340491179719327,2.0,1000,985,0.006595753751360029,0.006595753751360029,98,98,0.16125881850762394,0.09827748729632321,2.0,0.05139162146279985
zero,1999-08-31,1999-09-30,ok,0.029074030825583626,0.02915628226304026,2.01008112176488,1000,982,0.0,0.0004002517132573258,98,98,0.19364832219644532,0.11659017172799233,1.9999999999999996,0.027063949703818747
zero,1999-09-30,1999-10-31,ok,-0.04155933468094397,-0.041559334680943985,1.837685580020782,1000,987,0.0,0.0,98,98,0.1430571324475318,0.09390272841853281,2.0,-0.04339702026096475
zero,1999-10-31,1999-11-30,ok,-0.006941733407163874,-0.006944861285739314,2.651198673724645,1000,980,0.00041037504269703394,0.00041037504269703394,98,98,0.18005840287896074,0.08765729380615511,2.0000000000000004,-0.00959293208088852
zero,1999-11-30,1999-12-31,ok,0.14549517285471017,0.1454868986571909,1.8955630450288874,1000,974,0.0010991229435821069,0.0010991229435821069,97,97,0.1551682184944649,0.09945428231841781,1.9999999999999998,0.14359960980968128
zero,1999-12-31,2000-01-31,ok,-0.042995028011536124,-0.04299502801153613,1.7126191767870715,1000,988,0.0,0.0,98,98,0.17048114840615386,0.10838471573957237,2.0000000000000004,-0.044707647188323194
zero,2000-01-31,2000-02-29,ok,0.1382115650914273,0.13821156509142735,2.694027505525382,1000,989,0.0,0.0,98,98,0.21675081578571884,0.13200259466190156,2.0,0.1355175375859019
zero,2000-02-29,2000-03-31,ok,-0.036699420738119,-0.036699420738119014,2.177590792288715,1000,977,0.0,0.0,97,97,0.19690074743907757,0.08446633196579076,2.0,-0.038877011530407714
zero,2000-03-31,2000-04-30,ok,0.17496186701197555,0.17490232470918182,2.724725011420733,1000,981,0.006479031860036365,0.006479031860036365,98,98,0.1900998576340427,0.11366974704467493,2.0,0.17223714200055482
zero,2000-04-30,2000-05-31,ok,0.06048050739872464,0.06048050739872465,2.2216744226512244,1000,988,0.0,0.0,98,98,0.11313091194554366,0.0808491756112532,2.0,0.05825883297607341
zero,2000-05-31,2000-06-30,ok,-0.20633126026184853,-0.20634063778061007,2.02366047006647,1000,990,0.001252339578191063,0.001252339578191063,99,99,0.18214395791032054,0.11231955559982335,2.0,-0.208354920731915
zero,2000-06-30,2000-07-31,ok,-0.04755181593199372,-0.04755181593199372,3.522386671100812,1000,977,0.0,0.0,97,97,0.1933457337228234,0.10859089831347676,1.9999999999999998,-0.05107420260309453
zero,2000-07-31,2000-08-31,ok,-0.021864975055824923,-0.02187525216294493,2.8848948990306864,1000,987,0.0010272997920842029,0.0010272997920842029,98,98,0.2834643294599165,0.17025674056957524,2.0,-0.02474986995485561
zero,2000-08-31,2000-09-30,ok,0.004685522692003525,0.004685522692003549,2.2273511839490494,1000,987,0.0,0.0,98,98,0.24304148819251012,0.1581522289641638,2.0,0.0024581715080544755
zero,2000-09-30,2000-10-31,ok,0.12019954062730741,0.1201995406273074,2.1737720032766825,1000,990,0.0,0.0,99,99,0.19033300333252695,0.1129539760987561,2.0000000000000004,0.11802576862403072
zero,2000-10-31,2000-11-30,ok,0.2729259774949411,0.272925977494941,2.1471409510438995,1000,990,0.0,0.0,99,99,0.1651575099782372,0.11503811423189425,2.0,0.2707788365438972
zero,2000-11-30,2000-12-31,ok,0.09016914185514045,0.09013796401317473,2.086067043542437,1000,986,0.0031755797479889668,0.0031755797479889668,98,98,0.11957513879383004,0.08785893798546755,2.0000000000000004,0.08808307481159802
zero,2000-12-31,2001-01-31,ok,-0.3512521588811935,-0.35125215888119354,1.9470816410510747,1000,989,0.0,0.0,98,98,0.2047484090994181,0.14324238060519862,2.0,-0.35319924052224455
zero,2001-01-31,2001-02-28,ok,0.28855015112368715,0.28855015112368715,3.4004722303733614,1000,995,0.0,0.0,99,99,0.18053844691207027,0.08423136480190958,2.0,0.2851496788933138
zero,2001-02-28,2001-03-31,ok,0.19723278442872252,0.19723278442872247,1.7104796607370965,1000,988,0.0,0.0,98,98,0.11759887536672903,0.07990425547898901,2.0,0.19552230476798543
zero,2001-03-31,2001-04-30,ok,-0.1061956605729761,-0.10619566057297608,2.130384624158509,1000,992,0.0,0.0,99,99,0.3105562281273662,0.1801144864695533,2.0,-0.10832604519713461
zero,2001-04-30,2001-05-31,ok,0.056510277516062205,0.056504055889128435,3.1980041835571,1000,995,0.0009773212274237387,0.0009773212274237387,99,99,0.2822429213206449,0.1501385350424944,2.0,0.05331227333250511
zero,2001-05-31,2001-06-30,ok,0.0037228402464043993,0.003750379008040332,3.187975849837863,1000,993,0.004956580568022087,0.004956580568022087,99,99,0.1882843158317992,0.0918457978465192,2.0,0.0005348643965665365
zero,2001-06-30,2001-07-31,ok,0.07509017582313716,0.07500919971962447,2.60675642161954,1000,990,0.015253731937764378,0.015253731937764378,99,99,0.09467994031166097,0.05662720870969305,2.0,0.07248341940151762
zero,2001-07-31,2001-08-31,ok,0.057641585371554734,0.057641585371554734,2.456074383266783,1000,994,0.0,0.0,99,99,0.2657320064513809,0.1703556971364303,2.0,0.05518551098828795
zero,2001-08-31,2001-09-30,ok,0.021682082113663417,0.021682082113663414,1.8994000269132405,1000,990,0.0,0.0,99,99,0.2045322686954457,0.09913530618373508,2.0,0.019782682086750176
zero,2001-09-30,2001-10-31,ok,-0.05241510551417165,-0.052274182579702885,2.11712990223509,1000,998,0.0,0.000409590895412083,99,99,0.2513343850003296,0.16884695066484218,2.0,-0.05453223541640674
zero,2001-10-31,2001-11-30,ok,-0.12784011934784686,-0.12784211631137218,2.6010458582924985,1000,993,0.0005708872285089438,0.0005708872285089438,99,99,0.17831868978439464,0.1312599339019748,2.0000000000000004,-0.13044116520613935
zero,2001-11-30,2001-12-31,ok,0.027619984195130873,0.02762477206933468,2.836195939690808,1000,994,0.0016131651630066836,0.0016131651630066836,99,99,0.212379138611538,0.12696970310156563,1.9999999999999998,0.024783788255440066
zero,2001-12-31,2002-01-31,ok,0.02325864692846706,0.023246933177317398,2.2599104702039403,1000,988,0.0042135795502368555,0.0042135795502368555,98,98,0.14627251699967736,0.07061725118693958,1.9999999999999998,0.02099873645826312
zero,2002-01-31,2002-02-28,ok,0.00034442940778377636,0.000340880618495569,2.2935842957476877,1000,993,0.0013808518631155502,0.0013808518631155502,99,99,0.2048741273634009,0.10526631240052751,2.0,-0.0019491548879639112
zero,2002-02-28,2002-03-31,ok,-0.043802344303189605,-0.043802344303189605,2.2089044771081925,1000,995,0.0,0.0,99,99,0.27231849816213266,0.14121503298740143,2.0,-0.046011248780297796
zero,2002-03-31,2002-04-30,ok,0.04846537147575346,0.04845888391387646,3.215514155857415,1000,994,0.0020981765449510663,0.0020981765449510663,99,99,0.16890735730249037,0.07350385932624272,1.9999999999999998,0.045249857319896045
zero,2002-04-30,2002-05-31,ok,0.0002819603603806718,0.0002819603603806689,2.6121050431467623,1000,995,0.0,0.0,99,99,0.2627111442815019,0.18182128965887712,1.9999999999999996,-0.0023301446827660903
zero,2002-05-31,2002-06-30,ok,0.0017598216611051146,0.0017598216611051164,2.606107803089208,1000,998,0.0,0.0,99,99,0.16229308289696526,0.06917841765411095,2.0,-0.0008462861419840937
zero,2002-06-30,2002-07-31,ok,0.06107080467641481,0.06107080467641481,2.5410442012213337,1000,999,0.0,0.0,99,99,0.20663109735399998,0.12382203523316225,2.0,0.05852976047519348
zero,2002-07-31,2002-08-31,ok,-0.020732009022538703,-0.020739378626380478,1.642974173930976,1000,998,0.0026282467338716304,0.0026282467338716304,99,99,0.1916718743908037,0.11390924579652932,2.0,-0.02237498319646968
zero,2002-08-31,2002-09-30,ok,0.07556687507230149,0.07556687507230149,2.544127601627654,1000,998,0.0,0.0,99,99,0.160527171941594,0.08885180054805589,2.0,0.07302274747067383
zero,2002-09-30,2002-10-31,ok,-0.0777345588085089,-0.07773455880850891,1.545083928508133,1000,1000,0.0,0.0,100,100,0.15956797048896693,0.07785550739048012,2.0,-0.07927964273701703
zero,2002-10-31,2002-11-30,ok,-0.16772355226593444,-0.16772355226593438,2.546051292105825,1000,995,0.0,0.0,99,99,0.1503890818481642,0.08436723219786803,2.0000000000000004,-0.17026960355804027
zero,2002-11-30,2002-12-31,ok,0.031902128358599534,0.03190212835859953,1.9089053713291961,1000,994,0.0,0.0,99,99,0.15504843128625817,0.08442729348233102,2.0,0.02999322298727034
zero,2002-12-31,2003-01-31,ok,0.009198820727366714,0.009198820727366719,2.096021996056162,1000,999,0.0,0.0,99,99,0.19333907027830924,0.11038590138525632,2.0,0.007102798731310552
zero,2003-01-31,2003-02-28,ok,0.032243972863311515,0.03224397286331153,2.470825511914982,1000,992,0.0,0.0,99,99,0.10056533184518676,0.06651439298549806,2.0,0.029773147351396533
zero,2003-02-28,2003-03-31,ok,0.015286713958837152,0.01528671395883715,1.745479234377662,1000,996,0.0,0.0,99,99,0.1490826873597065,0.08688586010996707,1.9999999999999998,0.01354123472445949
zero,2003-03-31,2003-04-30,ok,-0.051588533087757654,-0.05157317567537327,1.4940768768535517,1000,995,0.008177535880934662,0.008177535880934662,99,99,0.11825358364970169,0.07260233295294898,2.0,-0.053082609964611206
zero,2003-04-30,2003-05-31,ok,0.02832451053994765,0.028324510539947646,2.3027869374524497,1000,998,0.0,0.0,99,99,0.18468380701173584,0.11862115882532984,2.0,0.0260217236024952
