formation_month,reflection_start,reflection_end,reflection_months,market_volatility,risk_choice,risk_multiplier,mean_bull_case,mean_bear_case,finite_scores,analyst_rankic__market,reliability_weight__market,analyst_rankic__social,reliability_weight__social,analyst_rankic__news,reliability_weight__news,analyst_rankic__fundamental,reliability_weight__fundamental
1999-07-31,1994-07-31,1999-06-30,60,0.0859499147178253,conservative,0.75,0.24994636737290876,-0.24974994585794877,985,0.011023602463490519,0.29521180644862816,-0.030807046547028243,0.19429674359477586,-0.022705564491302854,0.21069285661427437,0.012565383163425146,0.29979859334232156
1999-08-31,1994-08-31,1999-07-31,60,0.11896062843892113,conservative,0.75,0.24957777850683271,-0.24965588600127345,982,0.014463229425778953,0.3039557620125288,-0.030690309692518528,0.1935134037194212,-0.021692770950425867,0.2117321785629356,0.010038124603769509,0.29079865570511443
1999-09-30,1994-09-30,1999-08-31,60,0.10676743604692174,conservative,0.75,0.2505431019670622,-0.24878174627815008,987,0.0154368948321504,0.3069221864345299,-0.030682319229979757,0.19352411121234367,-0.02107499561573133,0.21303902110316342,0.00855644755417332,0.28651468124996315
1999-10-31,1994-10-31,1999-09-30,60,0.13714225291606805,conservative,0.75,0.25050718603949446,-0.24877077531474667,980,0.016819959417650562,0.3141639278626293,-0.030269864186572622,0.1961768752225711,-0.020753763787011863,0.2157623738173783,0.003103615867276237,0.27389682309742125
1999-11-30,1994-11-30,1999-10-31,60,0.15806654436189355,conservative,0.75,0.25036751743754415,-0.24832829474730161,974,0.018996867831511756,0.31489944102949174,-0.023704016736198315,0.2054585904602955,-0.018420047894430792,0.21660690124716495,0.0010002684173085355,0.26303506726304793
1999-12-31,1994-12-31,1999-11-30,60,0.26698407692668685,conservative,0.75,0.25041170669976537,-0.24913317042486322,988,0.021322160038412998,0.314988361163481,-0.01721099305928248,0.21426298415784556,-0.014927393981339965,0.2192121865839386,-0.001172610767880367,0.25153646809473484
2000-01-31,1995-01-31,1999-12-31,60,0.1610730165429462,conservative,0.75,0.2501359236522681,-0.24990093070024563,989,0.024281857561950376,0.31547191907407496,-0.012821424735964768,0.21768234138877587,-0.011947313666939352,0.21959346734332091,-8.419375566449278e-05,0.2472522721938282
2000-02-29,1995-02-28,2000-01-31,60,0.30550148834005003,conservative,0.75,0.25082396915536176,-0.24687465150757643,977,0.030392200088409167,0.3208697335774156,-0.003486722175209503,0.22866224536407195,-0.007769797601382968,0.219075243726475,-0.002299662412050249,0.23139277733203736
2000-03-31,1995-03-31,2000-02-29,60,0.15682207430372178,conservative,0.75,0.25066601691587387,-0.2478009491946669,981,0.02829342350148005,0.3264436555379984,-0.013952364355955406,0.2139622257290981,-0.014125519475394694,0.21359205975473752,1.677801111844383e-06,0.24600205897816604
2000-04-30,1995-04-30,2000-03-31,60,0.13490355885537184,conservative,0.75,0.25037882371123354,-0.25005284158934726,988,0.028280461668364305,0.32346931432026654,-0.018087022006200715,0.20345186014756192,-0.011099251869528915,0.21817710010679323,0.0044578442899102485,0.2549017254253784
2000-05-31,1995-05-31,2000-04-30,60,0.12799816768652286,conservative,0.75,0.2502480892703741,-0.24985034833156144,990,0.02851853551423072,0.32188436999577086,-0.021299533620023268,0.19558825119240777,-0.00858393874169019,0.22210886378834874,0.007328298352898906,0.2604185150234726
2000-06-30,1995-06-30,2000-05-31,60,0.20277838716015656,conservative,0.75,0.25036835678084657,-0.24904670122561465,977,0.029392573808254188,0.32669730846461126,-0.01897481979448339,0.20141352722502948,-0.010497738693392369,0.21923209321368553,0.003692477712599791,0.25265707109667385
2000-07-31,1995-07-31,2000-06-30,60,0.11678786185126096,conservative,0.75,0.2504331852660199,-0.24952850596225576,987,0.030513510858934438,0.3405958748854128,-0.029731418624201943,0.18646571007779425,-0.01726004504397879,0.2112328538654103,0.004165851123870337,0.26170556117138266
2000-08-31,1995-08-31,2000-07-31,60,0.14760932642159327,conservative,0.75,0.2503283681031474,-0.24851903495333874,987,0.030368164161079205,0.3339023631201402,-0.024063723528151504,0.19374245922775166,-0.015366169062810763,0.21134783684420622,0.00573815499852125,0.26100734080790183
2000-09-30,1995-09-30,2000-08-31,60,0.15115806981640323,conservative,0.75,0.25035277460079286,-0.24966589326604172,990,0.03355983109720833,0.3413042447754932,-0.026349487774271527,0.1874816744187816,-0.015406806398188653,0.20916175875888882,0.007136820434855478,0.2620523220468364
2000-10-31,1995-10-31,2000-09-30,60,0.13057138625060774,conservative,0.75,0.250140799066887,-0.24930946928769096,990,0.032297196210801016,0.3401954606303312,-0.030043559367001323,0.18238371299383208,-0.018061102473168514,0.2056009902159288,0.009859110524842781,0.2718198361599079
2000-11-30,1995-11-30,2000-10-31,60,0.1437984636023017,conservative,0.75,0.24996619291876992,-0.2502246342107171,986,0.039257252689081985,0.35500474474597415,-0.037089480820748845,0.16544913724697502,-0.01627077468690829,0.20374126521830468,0.014013493254566063,0.27580485278874606
2000-12-31,1995-12-31,2000-11-30,60,0.14093208293376444,conservative,0.75,0.2503811483028563,-0.24993422887728378,989,0.03866940743449896,0.3491217835403215,-0.03426952282768212,0.1683477042396529,-0.013662566301210878,0.20687217158655738,0.015043546567430701,0.2756583406334682
2001-01-31,1996-01-31,2000-12-31,60,0.1887602173538914,conservative,0.75,0.25031814820449133,-0.25028315842786125,995,0.030126289516493078,0.3281890727992071,-0.031086006714450064,0.1779436489890299,-0.01634968322179103,0.20619661521372276,0.016948930594674318,0.2876706629980403
2001-02-28,1996-02-29,2001-01-31,60,0.13661417023370045,conservative,0.75,0.2504451496295101,-0.25026243285285227,988,0.04107404819201144,0.36024176949453834,-0.041719092713292744,0.15740844362409984,-0.02060380139838351,0.1944153582142063,0.018669786992519165,0.2879344286671555
2001-03-31,1996-03-31,2001-02-28,60,0.10041251943511115,neutral,1.0,0.2500222182362261,-0.2505791203891133,992,0.04710338517887664,0.3722917661034468,-0.04495502864085199,0.14827871706615475,-0.018435745999924095,0.19330834423303808,0.020777138895246294,0.2861211725973603
2001-04-30,1996-04-30,2001-03-31,60,0.13169859801921407,conservative,0.75,0.2500992351578874,-0.2500710698053793,995,0.04308659388483276,0.3661165110864426,-0.04582159478117922,0.15048595120922137,-0.020459296235403133,0.19392911735567078,0.019596052744217617,0.28946842034866516
2001-05-31,1996-05-31,2001-04-30,60,0.07848304442169121,risk_seeking,1.25,0.250720050892187,-0.24977665170437707,993,0.0443599725577177,0.3743311110521203,-0.04955041194824271,0.1463552498469065,-0.023897685267242733,0.18915450183999244,0.01888885178102668,0.2901591372609808
2001-06-30,1996-06-30,2001-05-31,60,0.09022507045780166,neutral,1.0,0.24924918131535342,-0.2507982019067268,990,0.043361849382003166,0.37039235122251807,-0.045916330215755925,0.15168121617925792,-0.0250185930994921,0.18693452609226296,0.019235109539884006,0.29099190650596096
2001-07-31,1996-07-31,2001-06-30,60,0.09282244888918086,neutral,1.0,0.2499306310829536,-0.2502059564033255,994,0.04636788498467404,0.375907092871907,-0.04585611551008987,0.14947094326123408,-0.027326970738480626,0.17989861859700418,0.022037393408909017,0.2947233452698547
2001-08-31,1996-08-31,2001-07-31,60,0.08079591643964391,risk_seeking,1.25,0.250148887998687,-0.25043661666492933,990,0.052395271976239374,0.3903659268995935,-0.051653152821855196,0.13790986579350353,-0.025724880308754233,0.17873120880315455,0.02370168592810914,0.2929929985037484
2001-09-30,1996-09-30,2001-08-31,60,0.11434452664971044,neutral,1.0,0.25028428284674087,-0.25041521955262686,998,0.060038569450346,0.4117775763696556,-0.058659949744048805,0.12564973418229486,-0.02156850757231915,0.1820738857153073,0.021647181429922693,0.2804988037327423
2001-10-31,1996-10-31,2001-09-30,60,0.133465910459691,conservative,0.75,0.2502673590098593,-0.2503214414964974,993,0.05076703446257122,0.38433432031010606,-0.0558154881447012,0.13238145603669393,-0.025504927671452404,0.17925209702225806,0.027329092053479505,0.3040321266309419
2001-11-30,1996-11-30,2001-10-31,60,0.10146200582484466,neutral,1.0,0.2503454831637805,-0.25000671476046327,994,0.04470967757647606,0.36872552801476227,-0.051979869260787716,0.14021221163956152,-0.027464816082098,0.17916507797181247,0.027971782484321472,0.3118971823738637
2001-12-31,1996-12-31,2001-11-30,60,0.07380228376869644,risk_seeking,1.25,0.2502831594988224,-0.2497904613756669,988,0.04389649383021304,0.36282182603765223,-0.04994216090413047,0.14195716101026593,-0.02561507884935677,0.18105414851779658,0.029497732205211888,0.3141668644342854
2002-01-31,1997-01-31,2001-12-31,60,0.08593369398976507,risk_seeking,1.25,0.25025210032561773,-0.24984576872712774,993,0.04639552600956169,0.3654886543219197,-0.05120254631518199,0.13772438995878225,-0.024572556614754985,0.1797477377412788,0.03217455051585508,0.31703921797801926
2002-02-28,1997-02-28,2002-01-31,60,0.08848762622357668,neutral,1.0,0.2506613445802869,-0.24978716034649423,995,0.04918276101194779,0.36417825130285103,-0.0498709530874827,0.13524748307944384,-0.01968561724530276,0.18290367837259344,0.035519911767573416,0.31767058724511166
2002-03-31,1997-03-31,2002-02-28,60,0.08716789207929547,risk_seeking,1.25,0.2506944574973436,-0.24981804953037284,994,0.04323884051992995,0.3518524987212657,-0.04579594282510139,0.14444000291682263,-0.021269552727965903,0.18458833281909637,0.03347409478698595,0.31911916554281533
2002-04-30,1997-04-30,2002-03-31,60,0.09230707568649689,neutral,1.0,0.250293157402184,-0.24981505766222983,995,0.046945123158349,0.3590356757914607,-0.04860621156464217,0.13809038185906114,-0.017734894980209817,0.18803377061497342,0.03380945913090136,0.3148401717345048
2002-05-31,1997-05-31,2002-04-30,60,0.06426507369051412,risk_seeking,1.25,0.2502502502502503,-0.2502502502502503,998,0.052641450848270585,0.37426082411804756,-0.053551124665183684,0.12941537464769765,-0.016150585816190534,0.18811106852258822,0.033225179862097005,0.3082127327116666
2002-06-30,1997-06-30,2002-05-31,60,0.09275303226937519,neutral,1.0,0.2502502502502503,-0.2502502502502503,999,0.057666795721429444,0.3838943410059376,-0.056425005244972466,0.1226640541313338,-0.014177083512406615,0.1871533938850153,0.035082712073385626,0.3062882109777133
2002-07-31,1997-07-31,2002-06-30,60,0.09788159244241378,neutral,1.0,0.2504246624659483,-0.25016845624490125,998,0.05966900295649496,0.38863485106365114,-0.06061408380675833,0.11672367028517748,-0.011250404826347097,0.19122411912953616,0.03491590948947422,0.3034173595216352
2002-08-31,1997-08-31,2002-07-31,60,0.08053006372546094,risk_seeking,1.25,0.25026023733570135,-0.25036438696842306,998,0.0634696076549605,0.3993034599240715,-0.06316013227729274,0.11255300651292431,-0.011115583862258348,0.1894016256425845,0.034455441396411664,0.2987419079204197
2002-09-30,1997-09-30,2002-08-31,60,0.08412801313621755,risk_seeking,1.25,0.2502502502502503,-0.2502502502502503,1000,0.06774404183477471,0.40361400253505464,-0.06476998500518515,0.10726674901303082,-0.009172060426188764,0.18703541040053137,0.03876860246694647,0.30208383805138317
2002-10-31,1997-10-31,2002-09-30,60,0.12733036342258164,neutral,1.0,0.25028604030627344,-0.2495376688277269,995,0.06266904219639156,0.3906504206768361,-0.061809446199133776,0.11250843665827777,-0.012065463360080363,0.1850207608774541,0.04013046492896593,0.3118203817874321
2002-11-30,1997-11-30,2002-10-31,60,0.12324574677804911,neutral,1.0,0.25044892165412663,-0.24981477040809505,994,0.051939092617035304,0.3614105530364783,-0.05275619527463403,0.12685715621662555,-0.012176262475219374,0.1903493422302898,0.040200974612624396,0.3213829485166063
2002-12-31,1997-12-31,2002-11-30,60,0.07489963816808448,risk_seeking,1.25,0.2502502502502503,-0.2502502502502503,999,0.053328418543571045,0.3676716651087189,-0.05906459440842903,0.11949328723287589,-0.017741288885629345,0.18063767894209648,0.04318231362715091,0.3321973687163087
