edition,table,row_number,context,row,metric,display_value,numeric_value,duplicate_kind,native_pipeline_executed,native_result_regenerated,paper_result_credit
arxiv_v1,main_baselines,1,CSI300-10,Linear,IC,0.0165,0.0165,none,False,False,False
arxiv_v1,main_baselines,1,CSI300-10,Linear,RankIC,0.0211,0.0211,none,False,False,False
arxiv_v1,main_baselines,1,CSI300-10,Linear,ICIR,0.1612,0.1612,none,False,False,False
arxiv_v1,main_baselines,1,CSI300-10,Linear,RankICIR,0.1655,0.1655,none,False,False,False
arxiv_v1,main_baselines,1,CSI300-10,Linear,AER,-0.0076,-0.0076,none,False,False,False
arxiv_v1,main_baselines,1,CSI300-10,Linear,IR,-0.0756,-0.0756,none,False,False,False
arxiv_v1,main_baselines,2,CSI300-10,MLP,IC,0.0227,0.0227,none,False,False,False
arxiv_v1,main_baselines,2,CSI300-10,MLP,RankIC,0.0327,0.0327,none,False,False,False
arxiv_v1,main_baselines,2,CSI300-10,MLP,ICIR,0.2227,0.2227,none,False,False,False
arxiv_v1,main_baselines,2,CSI300-10,MLP,RankICIR,0.3037,0.3037,none,False,False,False
arxiv_v1,main_baselines,2,CSI300-10,MLP,AER,0.0678,0.0678,none,False,False,False
arxiv_v1,main_baselines,2,CSI300-10,MLP,IR,0.9351,0.9351,none,False,False,False
arxiv_v1,main_baselines,3,CSI300-10,RandomForest,IC,0.0240,0.024,none,False,False,False
arxiv_v1,main_baselines,3,CSI300-10,RandomForest,RankIC,0.0410,0.041,none,False,False,False
arxiv_v1,main_baselines,3,CSI300-10,RandomForest,ICIR,0.2932,0.2932,none,False,False,False
arxiv_v1,main_baselines,3,CSI300-10,RandomForest,RankICIR,0.4385,0.4385,none,False,False,False
arxiv_v1,main_baselines,3,CSI300-10,RandomForest,AER,0.0784,0.0784,none,False,False,False
arxiv_v1,main_baselines,3,CSI300-10,RandomForest,IR,0.8381,0.8381,none,False,False,False
arxiv_v1,main_baselines,4,CSI300-10,LightGBM,IC,0.0269,0.0269,none,False,False,False
arxiv_v1,main_baselines,4,CSI300-10,LightGBM,RankIC,0.0412,0.0412,none,False,False,False
arxiv_v1,main_baselines,4,CSI300-10,LightGBM,ICIR,0.2811,0.2811,none,False,False,False
arxiv_v1,main_baselines,4,CSI300-10,LightGBM,RankICIR,0.3327,0.3327,none,False,False,False
arxiv_v1,main_baselines,4,CSI300-10,LightGBM,AER,0.0878,0.0878,none,False,False,False
arxiv_v1,main_baselines,4,CSI300-10,LightGBM,IR,1.0980,1.098,none,False,False,False
arxiv_v1,main_baselines,5,CSI300-10,XGBoost,IC,0.0257,0.0257,none,False,False,False
arxiv_v1,main_baselines,5,CSI300-10,XGBoost,RankIC,0.0376,0.0376,none,False,False,False
arxiv_v1,main_baselines,5,CSI300-10,XGBoost,ICIR,0.2783,0.2783,none,False,False,False
arxiv_v1,main_baselines,5,CSI300-10,XGBoost,RankICIR,0.4093,0.4093,none,False,False,False
arxiv_v1,main_baselines,5,CSI300-10,XGBoost,AER,0.1081,0.1081,none,False,False,False
arxiv_v1,main_baselines,5,CSI300-10,XGBoost,IR,1.3166,1.3166,none,False,False,False
arxiv_v1,main_baselines,6,CSI300-10,CatBoost,IC,0.0197,0.0197,none,False,False,False
arxiv_v1,main_baselines,6,CSI300-10,CatBoost,RankIC,0.0239,0.0239,none,False,False,False
arxiv_v1,main_baselines,6,CSI300-10,CatBoost,ICIR,0.2196,0.2196,none,False,False,False
arxiv_v1,main_baselines,6,CSI300-10,CatBoost,RankICIR,0.3043,0.3043,none,False,False,False
arxiv_v1,main_baselines,6,CSI300-10,CatBoost,AER,0.0462,0.0462,none,False,False,False
arxiv_v1,main_baselines,6,CSI300-10,CatBoost,IR,0.5373,0.5373,none,False,False,False
arxiv_v1,main_baselines,7,CSI300-10,Adaboost,IC,0.0187,0.0187,none,False,False,False
arxiv_v1,main_baselines,7,CSI300-10,Adaboost,RankIC,0.0284,0.0284,none,False,False,False
arxiv_v1,main_baselines,7,CSI300-10,Adaboost,ICIR,0.2709,0.2709,none,False,False,False
arxiv_v1,main_baselines,7,CSI300-10,Adaboost,RankICIR,0.3369,0.3369,none,False,False,False
arxiv_v1,main_baselines,7,CSI300-10,Adaboost,AER,0.1138,0.1138,none,False,False,False
arxiv_v1,main_baselines,7,CSI300-10,Adaboost,IR,1.2633,1.2633,none,False,False,False
arxiv_v1,main_baselines,8,CSI300-10,Transformer,IC,-0.0090,-0.009,none,False,False,False
arxiv_v1,main_baselines,8,CSI300-10,Transformer,RankIC,-0.0022,-0.0022,none,False,False,False
arxiv_v1,main_baselines,8,CSI300-10,Transformer,ICIR,-0.0800,-0.08,none,False,False,False
arxiv_v1,main_baselines,8,CSI300-10,Transformer,RankICIR,-0.0181,-0.0181,none,False,False,False
arxiv_v1,main_baselines,8,CSI300-10,Transformer,AER,0.0492,0.0492,none,False,False,False
arxiv_v1,main_baselines,8,CSI300-10,Transformer,IR,0.6361,0.6361,none,False,False,False
arxiv_v1,main_baselines,9,CSI300-10,GRU,IC,0.0074,0.0074,none,False,False,False
arxiv_v1,main_baselines,9,CSI300-10,GRU,RankIC,0.0176,0.0176,none,False,False,False
arxiv_v1,main_baselines,9,CSI300-10,GRU,ICIR,0.0747,0.0747,none,False,False,False
arxiv_v1,main_baselines,9,CSI300-10,GRU,RankICIR,0.1370,0.137,none,False,False,False
arxiv_v1,main_baselines,9,CSI300-10,GRU,AER,0.0335,0.0335,none,False,False,False
arxiv_v1,main_baselines,9,CSI300-10,GRU,IR,0.3386,0.3386,none,False,False,False
arxiv_v1,main_baselines,10,CSI300-10,LSTM,IC,0.0096,0.0096,none,False,False,False
