formation_month,annealing_start,annealing_end,annealing_history_months,annealing_iterations,accepted_proposals,final_objective,total_agent_selections,finite_scores,orientation__ret_12_1,type_weight__ret_12_1,orientation__ret_6_1,type_weight__ret_6_1,orientation__ret_1_0,type_weight__ret_1_0,orientation__be_me,type_weight__be_me,orientation__gp_at,type_weight__gp_at,orientation__ocf_at,type_weight__ocf_at,orientation__f_score,type_weight__f_score,orientation__z_score,type_weight__z_score,orientation__qmj_safety,type_weight__qmj_safety,orientation__qmj_prof,type_weight__qmj_prof,orientation__rvol_21d,type_weight__rvol_21d,orientation__beta_60m,type_weight__beta_60m,orientation__turnover_126d,type_weight__turnover_126d,orientation__prc_highprc_252d,type_weight__prc_highprc_252d,orientation__niq_su,type_weight__niq_su,orientation__saleq_su,type_weight__saleq_su
1999-07-31,1994-07-31,1999-06-30,60,100,87,-0.059997225032281096,2560,1000,1,0.16525167001468058,1,0.0,-1,0.0,-1,0.005856368063086315,1,0.01789390262458087,1,0.0,1,0.041217812494588654,1,0.1700908196751443,1,0.0,1,0.02220858700836747,-1,0.0,1,0.09476403892559002,-1,0.22871705598098016,-1,0.0,1,0.18704805291674031,1,0.06695169229624126
1999-08-31,1994-08-31,1999-07-31,60,100,89,-0.04987438580059418,2560,1000,1,0.06344206365453718,1,0.1936736041912856,-1,0.11650986896244497,-1,0.005954726699586233,1,0.06487262603242096,1,0.0,1,0.019137979972586972,1,0.0,1,0.0,1,0.20312003747970458,-1,0.0,1,0.016635719193885755,-1,0.026039527131167212,-1,0.1478821494820161,1,0.14204768295266573,1,0.0006840142476986389
1999-09-30,1994-09-30,1999-08-31,60,100,90,-0.042824577901179,2560,1000,1,0.071363878738275,1,0.017207694996332568,-1,0.0787207549976946,-1,0.014102034300587197,1,0.004597738493358839,1,0.015914420632750677,1,0.17532404442834576,1,0.06432400872493009,1,0.1858730698400323,1,0.16780788792400922,-1,0.0,1,0.08667337930941524,-1,0.003842741284755773,-1,0.0,1,0.11424834632951272,1,0.0
1999-10-31,1994-10-31,1999-09-30,60,100,91,-0.046631097064074194,2560,1000,1,0.0,1,0.0,-1,0.2551078775539284,-1,0.0,1,0.0,1,0.16603940508261547,1,0.09327951100531065,1,0.0,1,0.14100961089946007,1,0.13384299935091032,-1,0.0,1,0.0,-1,0.15351158355152378,-1,0.0,1,0.05720901255625132,1,0.0
1999-11-30,1994-11-30,1999-10-31,60,100,89,-0.04649494816503332,2560,1000,1,0.17602674198628146,1,0.0,-1,0.059363271018508156,-1,0.0,1,0.4219471719596292,1,0.025339297368756633,-1,0.03438514700147949,1,0.0,1,0.059287341098564095,1,0.0,-1,0.0,1,0.08812997546003545,1,0.0,-1,0.010299016723320148,1,0.05633113677873805,1,0.06889090060468722
1999-12-31,1994-12-31,1999-11-30,60,100,79,-0.04282780974466362,2560,1000,1,0.11228639171781382,1,0.023121381283771426,-1,0.023916838340050883,-1,0.0,1,0.09232865924538824,1,0.13742803555088104,-1,0.10810961092470696,1,0.02788749683132341,1,0.03317034027419959,1,0.27816757573545264,-1,0.0,1,0.0,1,0.0,-1,0.03532042439708709,1,0.1282632456993249,1,0.0
2000-01-31,1995-01-31,1999-12-31,60,100,93,-0.04235381230798315,2560,1000,1,0.08048020932102183,1,0.0,-1,0.027019420294838295,-1,0.05730165554059659,1,0.0,1,0.32741433789455215,1,0.09246818898859027,1,0.0,1,0.08489763896340732,1,0.08627121029464312,-1,0.0,1,0.06657302749504151,1,0.0,-1,0.0,1,0.1680733361810343,1,0.00950097502627454
2000-02-29,1995-02-28,2000-01-31,60,100,90,-0.04195154504462857,2560,1000,1,0.1441370483729066,1,0.0,-1,0.0,-1,0.0,1,0.0,1,0.08675823294914037,-1,0.05373365543043607,1,0.08511644352842256,1,0.4234887831149411,1,0.059394215588966244,1,0.04837775083659921,1,0.0,1,0.0,-1,0.0,1,0.06523423746441462,1,0.03375963271417326
2000-03-31,1995-03-31,2000-02-29,60,100,93,-0.042769584931888406,2560,1000,1,0.0,1,0.0,-1,0.14276730211277294,-1,0.0,1,0.03615523210955548,1,0.3587074011344661,-1,0.04850148625981994,1,0.0,1,0.2569287550425217,1,0.0,-1,0.003941686832124991,1,0.0,1,0.0,-1,0.0,1,0.1529981365087387,1,0.0
2000-04-30,1995-04-30,2000-03-31,60,100,81,-0.05010420744587714,2560,1000,1,0.02367790012691519,1,0.0,-1,0.019731747099587263,-1,0.06850569747414612,1,0.061193840768452225,1,0.0,-1,0.06738034502993077,1,0.0,1,0.0,1,0.20618502916112827,-1,0.0,1,0.09299063411483247,1,0.132421352673905,-1,0.0,1,0.2703308715995357,1,0.05758258195156702
