candidate_id,benchmark_set,n_overlap_months,overlap_start,overlap_end,candidate_standalone_oos_sharpe_excess,alpha_annualized,alpha_tstat_hac,appraisal_ratio,combined_minus_old_sharpe,r_squared
042_guruagents_equal_weight_5agents_official_results_2022_2025,FF3_OFFICIAL,36,2022-04-30,2025-03-31,0.6119443864218468,0.0214770670622726,1.5062598481349887,0.8396504568385581,0.3281237915950742,0.8664767762763197
042_guruagents_equal_weight_5agents_official_results_2022_2025,FF5MOM_OFFICIAL,36,2022-04-30,2025-03-31,0.6119443864218468,0.0203990551186336,1.5980765707017566,0.8389160149780573,0.1887344658069725,0.8793334065082431
042_guruagents_benjamin_graham,FF3_OFFICIAL,36,2022-04-30,2025-03-31,0.5442794711980808,0.0185714562959276,1.2156399329360956,0.6057691100217758,0.1831448159450258,0.8081854293393117
042_guruagents_benjamin_graham,FF5MOM_OFFICIAL,36,2022-04-30,2025-03-31,0.5442794711980808,0.0097394494626166,0.5974664581053846,0.3433266735615625,0.0329881649602503,0.8357680515680572
042_guruagents_edward_altman,FF3_OFFICIAL,36,2022-04-30,2025-03-31,0.4413165176745251,0.0147874304873644,1.036024700833844,0.5656297954267253,0.1614276390932368,0.8605158709060593
042_guruagents_edward_altman,FF5MOM_OFFICIAL,36,2022-04-30,2025-03-31,0.4413165176745251,0.0122579193210726,0.8720227579664072,0.5066419661889267,0.0710788288030987,0.8805365324950922
042_guruagents_joel_greenblatt,FF3_OFFICIAL,36,2022-04-30,2025-03-31,0.6326632678332031,0.0217841788323274,1.275082062265772,0.7147229201814108,0.2470681031278524,0.8104119812687272
042_guruagents_joel_greenblatt,FF5MOM_OFFICIAL,36,2022-04-30,2025-03-31,0.6326632678332031,0.0186819293718437,1.2264029961860703,0.6872291232385481,0.1287251022652968,0.8491850965454556
042_guruagents_joseph_piotroski,FF3_OFFICIAL,36,2022-04-30,2025-03-31,0.4813126556905632,0.013099327226289,0.8734604290315399,0.4812134352236458,0.1193722849092356,0.8487740177649004
042_guruagents_joseph_piotroski,FF5MOM_OFFICIAL,36,2022-04-30,2025-03-31,0.4813126556905632,0.0103240999499044,0.8064481154570862,0.3904725663795697,0.0425561914817747,0.8573317720294339
042_guruagents_warren_buffett,FF3_OFFICIAL,36,2022-04-30,2025-03-31,0.8558768137313794,0.0357997003603963,1.4628596541449657,0.9406004141814144,0.3986756135345094,0.7043673665667073
042_guruagents_warren_buffett,FF5MOM_OFFICIAL,36,2022-04-30,2025-03-31,0.8558768137313794,0.0491903955813869,2.8887147222590306,1.32962979238015,0.4437576224024004,0.7206793300549048
