table,panel,model,strategy,market,metric,rendered_value,numeric_value,duplicate_kind,duplicate_of,native_pipeline_executed,native_result_regenerated,paper_result_credit
Table 1,Panel A,Gemini-3.1-Pro,Free,A-shares,MDD_pct,5.88,5.88,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,A-shares,Vol_pct,25.43,25.43,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,A-shares,WR_pct,41.18,41.18,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,A-shares,alpha_pct,-17.64,-17.64,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,US Stocks,TR_pct,-14.73,-14.73,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,US Stocks,SR,-0.56,-0.56,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,US Stocks,MDD_pct,29.22,29.22,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,US Stocks,Vol_pct,37.38,37.38,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,US Stocks,WR_pct,36.84,36.84,none,,False,False,False
Table 1,Panel A,Gemini-3.1-Pro,Free,US Stocks,alpha_pct,-8.14,-8.14,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,A-shares,TR_pct,13.68,13.68,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,A-shares,SR,1.62,1.62,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,A-shares,MDD_pct,6.93,6.93,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,A-shares,Vol_pct,25.06,25.06,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,A-shares,WR_pct,70.00,70.0,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,A-shares,alpha_pct,1.84,1.84,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,US Stocks,TR_pct,-9.19,-9.19,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,US Stocks,SR,-0.82,-0.82,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,US Stocks,MDD_pct,25.01,25.01,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,US Stocks,Vol_pct,29.95,29.95,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,US Stocks,WR_pct,35.48,35.48,none,,False,False,False
Table 1,Panel B,Qwen3.5-122B-A10B,Guided,US Stocks,alpha_pct,-13.63,-13.63,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,A-shares,TR_pct,12.33,12.33,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,A-shares,SR,1.36,1.36,none,,False,False,False
