paper_version,paper_source_table_sha256,method,metric,paper_value,author_raster_path,author_raster_commit,author_raster_sha256,author_output_correspondence,native_reproduced_value,independently_regenerated,paper_result_credit
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,IC,0.0155,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,ICIR,0.1174,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,Rank_IC,0.0368,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,Rank_ICIR,0.2834,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,IR,-0.3078,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,CR,-0.1407,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,ARR_pct,-2.67,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_01:Linear,MDD_pct,18.97,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_02:XGBoost,IC,0.0175,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
v1,206b0c14959311a7146174cca7ed77168aaa2c6f73c0b4594272b04b6ec907ef,row_02:XGBoost,ICIR,0.1336,docs/images/主实验.png,2f06d9fafaf21c07abd1a224551dbb437d341087,c5272933b3f87c77d28e516bc55f23dc25701a38f0391ccc6248b2b7054dbc33,True,,False,False
