relative_path,bytes,sha256,asset_role,underlying_numeric_array
00README.json,1006,9bab985398ca9e2b5807f846a947c7c484c0bc1934d4441a09db53ea1e1ed70e,paper_source,False
Fig/logox.png,6268082,e796632462a2e4e67265f5d2d0ffc9a80442081b2be221e570e81e0e66f97a2c,paper_source,False
acl.sty,13249,f10c3239d243eda724cc3ae8f6370d808205a52b9fa4701631897e8c1c668268,paper_source,False
acl_latex.tex,10224,1810a4b7c969905b30f69a2fb495e9cfd2ec26fbed6ed0e2096f1da40fb21c4d,paper_source,False
acl_natbib.bst,45186,e332fd51dcea48e2a8a89754892c3cb99674a1cd70b527b661e9aaffc235e83c,paper_source,False
appendix/1.app_1.tex,19534,751c334687a353818c131a8f2737fa1f89708a547b530f3b332f4452a3c089d8,paper_source,False
appendix/2.app_2.tex,13044,ad2ed670ccd07f4e8a304c1ac880a1617e99132ae024d358068d592fe8cb2154,paper_source,False
appendix/3.app_3.tex,9950,a6c08c24a8ef3eedb156d55aaedb6e68af5ef2af6f283bc29ed4d1eff8d8f555,paper_source,False
appendix/4.app_4.tex,3702,c6a4576dbc8f86796de4224f47284e33fc4337732b56966983ff3ff06246313e,paper_source,False
custom.bib,13033,a0fe07d4580140fd86248ef6baee732aca58dab3e1cead0d8f5cf71dedd619ee,paper_source,False
images/Intro.jpg,9828573,e874fe4589328cfc9f0e1b6bd859dd109628ffbbbf53db9f9a7684b01ff28957,paper_source,False
images/Intro.png,4505063,57cf19aefdeb42aa58c46591f38251d911517b53a329a230483615dfe115aad2,paper_source,False
images/ablation.pdf,47773,7ae55193ca13683126ae8d80436c7db7bc3d5ee84266178874ab1026a7f19572,numeric_result_figure,False
images/case_study.pdf,149156,50dbd326936652d74df5b60713d5cab8aeac10af61942606f0749553f3439b05,numeric_result_figure,False
images/figure3.png,1981749,35d013008dd023c096f53ede8fa5b149944ed30b657b514e946bf2f6252061c3,numeric_result_figure,False
images/figure4.png,151890,9a49d456072935fab8c20a5968834288738536a4eb7432830a34114c928afe4f,numeric_result_figure,False
images/figure5.png,144680,5012fcdba8f561a0de5f7fba44f636af9f846c8c13925ca0e63e4d635606cf07,numeric_result_figure,False
images/icon.jpg,1907214,7b51855ce40de4b91ea717c92f682ba82ca71fd8f57f3abb48d549280216fe79,paper_source,False
images/iteration.png,238375,253665737d25e4a7abcaa678988da4e94aa2403fd4373bb3536ec9b0153172bf,paper_source,False
images/overview.jpg,8419717,3fed52328e128093a70dd9c274f62fa930dba34615983f4f0426b94349b7bd17,paper_source,False
latex_package/algorithm.sty,2223,93fd0eb31c112eb405833db8f1d7f5d238c7e691b1c05680d7276e68f36d564a,paper_source,False
latex_package/algorithmic.sty,7414,48d18794a5d97c0479a588cc2eac0917992feb9da83acc4631b8f55757d80f9b,paper_source,False
latex_package/fancyhdr.sty,31715,9130c52f91087abc6d223164ffa587e207e3257fcbcd069ef09ecb5391043f14,paper_source,False
main_section/1.introduction.tex,7486,ea8cc0aee8d6a0b894367359d9ff817790e226f24acfd0a5ec5c8dfd0534cebd,paper_source,False
main_section/2.related_work.tex,6023,921547907c3dc2a2f920c1a397b57d2760fc5caaaad9064d3dd8ebe5a7f52b7e,paper_source,False
main_section/3.problem_formulation.tex,6639,b3f5a2cc0e93d5679445cc0e5faea1e7371b3895827758240085e7fd93873230,paper_source,False
main_section/3.problem_formulation_backup.tex,2004,872d0a6a8ac3f0eb0ab32f4c3fc935bf5954a5f8d44ae6c4c2bb994af4b39750,paper_source,False
main_section/4.method.tex,20118,8d0e97481bfbf66fb2a5a3eb64d79ed78e26d370bee912ee856fd4b8246798d3,paper_source,False
main_section/4.method_backup.tex,10383,d2a23d971c30d22caf6e3c727b30ef6594ed80dc4146179b8e0e1528a2434e87,paper_source,False
main_section/5.experiments.tex,24573,e82672bdfcada6fc8eab94779d1d4a19bdfa0aebac717221d40f04c451dce16a,paper_source,False
main_section/6.conclusion.tex,6336,084ea7ff17265f0743bea45e5d6fe441d741b10a232ec67b8184760bcbf86117,paper_source,False
main_section/7.acknowledgement.tex,2880,a21ae16c81990bf1def968e45679c27bb158385321a445680d684a98d2cba173,paper_source,False
tables/2.app_2.tex,14684,36470bf3c87f2f49c51e1d52049e3f126ffc937b04450fa67a1ef86ba0e86acb,paper_source,False
tables/3.app_3.tex,15435,f5d8136e4c40f1e525997b3aa1748ae80b021d617c35dc2898efb3e0acc9df6d,paper_source,False
tables/ablation_table.tex,1746,c45d7888e526ba9d0ccc4d37742f7b1cd5d6a5acbb64aa5538d9e6f0988f28a0,paper_source,False
tables/main_table.tex,6666,f57a6586bbbeeef5f6972bd61bc7fdd50518915b4001bff90659dffbe8dd3a17,paper_source,False
