path,bytes,git_oid,lfs_sha256,last_commit,last_commit_date,public,gated,paper_result_artifact
.gitattributes,2504,bed0738c7eeb449bca98b5d2f33c89a1ee56349a,,0da5438988c7094029a32dde535d9c4123651886,2026-02-08T06:46:21.000Z,True,False,False
README.md,1803,69f67629ce52539fb5c2cea9f6f596f99c5ebbcd,,d63bf5ba30d1d169023110377cbbe93a90a74e07,2026-02-09T06:46:15.000Z,True,False,False
cn_data.zip,492502328,4964b426eb144cc8f698d3b4806beec2f6e5e484,233485a9035d5d0092736d336605f38474129f5c2673b8a00d046cc6e4e88542,adb38278c984aef406592a0d74a6e3af35791978,2026-02-08T11:40:12.000Z,True,False,False
daily_pv.h5,398130836,c5ff421ccc2985373f1302230ea877d67eb274ae,a357dcc5f641161af9661d9b1605f2f66844de37f8e02b0bc881e87ed16f3e9b,6669e1fb59a37fe403afd0cb46fe764bb7a2604d,2026-02-09T06:44:45.000Z,True,False,False
daily_pv_debug.h5,1407056,fdcd77aed9e9c1e6df7485a4124d12b1ea826e95,03816baa04a9ccefeaca8ccd6968c30f6a9a879330ae496d6fa19d6cd3208ebc,47cb1348135c38950e39bac3f9102249f57fc11d,2026-02-09T06:45:00.000Z,True,False,False
