profile,classification,model_profile,processor_profile,deal_price,metric,paper_value,native_value,absolute_difference,matches_displayed_paper_value,profile_complete_paper_row_match,paper_result_credit,run_count,repeat_max_abs_difference
author_model_official_processors,diagnostic_hybrid_no_result_credit,quantaalpha_released,qlib_v0.9.7_official_alpha360,open,IC,0.0105,0.008039359260968108,0.002460640739031893,False,False,False,1,0.0
author_model_official_processors,diagnostic_hybrid_no_result_credit,quantaalpha_released,qlib_v0.9.7_official_alpha360,open,ICIR,0.0636,0.05528341443134342,0.008316585568656581,False,False,False,1,0.0
author_model_official_processors,diagnostic_hybrid_no_result_credit,quantaalpha_released,qlib_v0.9.7_official_alpha360,open,Rank_IC,0.0306,0.018814333673792757,0.011785666326207242,False,False,False,1,0.0
author_model_official_processors,diagnostic_hybrid_no_result_credit,quantaalpha_released,qlib_v0.9.7_official_alpha360,open,Rank_ICIR,0.1889,0.12687700152042466,0.06202299847957535,False,False,False,1,0.0
official_model_author_processors,diagnostic_hybrid_no_result_credit,qlib_v0.9.7_official_lightgbm,quantaalpha_released,open,IC,0.0105,0.004062339646436139,0.006437660353563862,False,False,False,1,0.0
official_model_author_processors,diagnostic_hybrid_no_result_credit,qlib_v0.9.7_official_lightgbm,quantaalpha_released,open,ICIR,0.0636,0.025588812582932316,0.03801118741706769,False,False,False,1,0.0
official_model_author_processors,diagnostic_hybrid_no_result_credit,qlib_v0.9.7_official_lightgbm,quantaalpha_released,open,Rank_IC,0.0306,0.024046803507160052,0.006553196492839947,False,False,False,1,0.0
official_model_author_processors,diagnostic_hybrid_no_result_credit,qlib_v0.9.7_official_lightgbm,quantaalpha_released,open,Rank_ICIR,0.1889,0.14978218196347148,0.03911781803652853,False,False,False,1,0.0
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,IC,0.0105,0.01093085608834224,0.00043085608834224007,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,ICIR,0.0636,0.07353135664619322,0.009931356646193212,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,Rank_IC,0.0306,0.022188435706433893,0.008411564293566105,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,Rank_ICIR,0.1889,0.1479827452758495,0.040917254724150504,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,IR,0.6009,0.7664056546052619,0.1655056546052619,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,CR,0.355,0.547441651105386,0.19244165110538602,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,ARR_pct,4.09,6.739275382027141,2.649275382027141,False,False,False,2,5.329070518200751e-15
qlib_v097,coherent_primary_source_candidate,qlib_v0.9.7_official_lightgbm,qlib_v0.9.7_official_alpha360,close,MDD_pct,11.52,12.310490749871327,0.7904907498713278,False,False,False,2,5.329070518200751e-15
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,IC,0.0105,0.003818284923497764,0.006681715076502236,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,ICIR,0.0636,0.0241068757968068,0.0394931242031932,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,Rank_IC,0.0306,0.023642529653072432,0.006957470346927567,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,Rank_ICIR,0.1889,0.14681537138071488,0.042084628619285136,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,IR,0.6009,-0.29976955802381816,0.9006695580238182,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,CR,0.355,-0.10058727852404369,0.4555872785240437,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,ARR_pct,4.09,-2.317726425230115,6.4077264252301145,False,False,False,2,2.4868995751603507e-14
quantaalpha_release,coherent_primary_source_candidate,quantaalpha_released,quantaalpha_released,open,MDD_pct,11.52,23.04194386446296,11.521943864462962,False,False,False,2,2.4868995751603507e-14
