paper_versions,method,metric,paper_value,native_rerun_value,absolute_difference,expected_factor_count,executed_factor_count,independently_regenerated,status,execution_basis,compatibility_repairs,source_commit,data_fingerprint_sha256
v1;v2;v3,Alpha158(20),IC,0.0051,0.005071733580974592,2.8266419025408003e-05,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),ICIR,0.0329,0.03287938627233083,2.0613727669170634e-05,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),Rank_IC,0.0184,0.01838526953812549,1.4730461874508383e-05,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),Rank_ICIR,0.1177,0.11770777250034052,7.772500340522126e-06,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),IR,0.5044,0.5043710541234949,2.894587650503766e-05,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),CR,0.2087,0.20865323814507192,4.676185492807905e-05,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),ARR_pct,4.63,4.629928329578073,7.1670421927017e-05,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158(20),MDD_pct,22.19,22.18958292110946,0.0004170788905426548,20,20,True,independently_regenerated_matches_paper_rounding,unmodified_released_pipeline,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,IC,0.0131,0.01305397960235499,4.602039764500972e-05,158,158,True,independently_regenerated_matches_paper_rounding,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,ICIR,0.0817,0.08210642826875184,0.00040642826875184057,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,Rank_IC,0.0334,0.033109631113692355,0.0002903688863076445,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,Rank_ICIR,0.2119,0.21239426182508328,0.0004942618250832753,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,IR,0.4099,0.2195711489976865,0.19032885100231348,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,CR,0.262,0.10444408103622073,0.1575559189637793,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,ARR_pct,2.66,1.4382569080946412,1.221743091905359,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha158,MDD_pct,10.15,13.770592778693322,3.6205927786933216,158,158,False,independently_regenerated_conflicts_with_paper_except_displayed_ic,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,IC,0.0105,0.003818284923497764,0.006681715076502236,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,ICIR,0.0636,0.0241068757968068,0.0394931242031932,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,Rank_IC,0.0306,0.023642529653072432,0.006957470346927567,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,Rank_ICIR,0.1889,0.14681537138071488,0.042084628619285136,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,IR,0.6009,-0.29976955802381816,0.9006695580238182,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,CR,0.355,-0.10058727852404369,0.4555872785240437,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,ARR_pct,4.09,-2.317726425230115,6.4077264252301145,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2;v3,Alpha360,MDD_pct,11.52,23.04194386446296,11.521943864462962,360,360,False,independently_regenerated_conflicts_with_all_displayed_metrics,released_pipeline_with_provider_path_substitution_only,0,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2,QuantaAlpha / GPT-5.2 v1-v2 configuration,IC,0.1501,0.04228714198020135,0.10781285801979866,170,170,False,not_reproduced_all_public_expressions_execute_after_documented_operator_compatibility_repair,released_pipeline_with_one_documented_mean_broadcast_compatibility_repair,1,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2,QuantaAlpha / GPT-5.2 v1-v2 configuration,ICIR,0.911,0.24450177492931327,0.6664982250706868,170,170,False,not_reproduced_all_public_expressions_execute_after_documented_operator_compatibility_repair,released_pipeline_with_one_documented_mean_broadcast_compatibility_repair,1,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
v1;v2,QuantaAlpha / GPT-5.2 v1-v2 configuration,Rank_IC,0.1465,0.04112504915862232,0.10537495084137767,170,170,False,not_reproduced_all_public_expressions_execute_after_documented_operator_compatibility_repair,released_pipeline_with_one_documented_mean_broadcast_compatibility_repair,1,8a034319ff925d9dc621077ebf97d48e1890dad2,5b50aa45aaaf925efc9bfdc2dedb6e4211e3ee6297abaeccf3b356ee90609c4e
