formation_month,training_months,training_rows,intercept,moving_average_trend_reversal,candlestick_volume_momentum,amplitude_risk_momentum,trading_volume_pattern,volume_spike_confirmation,stable_mean_reversion
2001-07-31,24,23782,-0.0010165269797133012,-0.007777095246145886,0.005900227086347806,8.859365087759861e-05,0.0007060730311257863,-0.01027231472695977,0.00725922462782228
2001-08-31,25,24776,-0.0030806635625235082,-0.006957385344768928,0.003481929262260233,0.00021859697403928366,0.0013214576630862273,-0.010630148340479545,0.007004937885216186
2001-09-30,26,25764,-0.007772668053153407,-0.008348248839261972,0.002643916958749835,0.0008033350915940811,0.00224334902820821,-0.010767808664293952,0.007181243010414891
2001-10-31,27,26761,-0.005956996501326441,-0.004996967524541769,0.001753270250496005,0.0010195256625130664,0.0015812231487502065,-0.010009229896409627,0.006236783685133143
2001-11-30,28,27755,-0.0027773496025583614,-0.003054285566267781,0.0011975494117116743,-0.00043538530108102566,7.890906682982637e-05,-0.009482496948918798,0.005462490741397719
2001-12-31,29,28748,-0.0013428079513442836,-0.003915437161902449,0.0013251489694173961,-0.0003420025107220275,0.0007504823122673877,-0.009347008555325215,0.00475795433057396
2002-01-31,30,29737,-0.0017026427691700272,-0.004436671945880456,0.0014098904211886935,-0.0008185077977933875,0.0014986291320224921,-0.009421366832037448,0.005275208196272077
2002-02-28,31,30729,-0.0022968624320082037,-0.005143042247171035,0.00018991248170531594,-0.0013444946529538703,0.003177450715277702,-0.010014597006199959,0.005188334756011954
2002-03-31,32,31727,-0.0002436356776362714,-0.005150405619756436,0.0010709594858492912,-0.001170067503700802,0.002530655251606608,-0.009831173803437208,0.003912085517467776
2002-04-30,33,32724,-0.0009832356261497695,-0.005179386415268802,-0.0006440572220616242,-0.001389247094071652,0.0036208929216804873,-0.009513609729028007,0.005060728585681032
2002-05-31,34,33721,-0.0015671090645205856,-0.004880362366326099,-0.0011218126394388899,-0.0013240127320781963,0.003854130776722313,-0.009975408772127102,0.005445402626492623
2002-06-30,35,34717,-0.003974115006039994,-0.0048090269723909075,-0.002188043212861318,-0.0011024694129353905,0.004560725545831525,-0.00947395906957651,0.006370150237913016
2002-07-31,36,35715,-0.006589244875916275,-0.005427827677910808,-0.0023212978108869986,-0.0012874481556475223,0.004199210074231638,-0.009372603136972307,0.006258185340466557
2002-08-31,37,36713,-0.00623376757426515,-0.006143541819409617,-0.0016705710222216623,-0.001280101819387507,0.00460776493562769,-0.009395369024925859,0.005980355041541202
2002-09-30,38,37710,-0.008667690824000492,-0.006584401905682298,-0.0022972826686389522,-0.0013518637587561977,0.004826138509723278,-0.008381100636362743,0.006585427289009892
2002-10-31,39,38710,-0.007059726221947049,-0.004932312414184512,-0.0020684654938830267,-0.00059363062856157,0.0035627431725995034,-0.008659514219639234,0.006434112933926357
2002-11-30,40,39705,-0.004895160976405784,-0.003300166090906343,-0.0016295259246483617,0.00010908574568289318,0.002228068493622259,-0.009772211951952128,0.0052931536502420235
2002-12-31,41,40702,-0.005975906332541999,-0.004564983968300802,-0.0016953163254739916,-0.0010379049225377444,0.003306179153008541,-0.009588974467788296,0.004571864844812864
2003-01-31,42,41701,-0.006422376074449266,-0.004698179230208958,-0.0011896878604342647,-0.0009625007554614796,0.0028280928367013284,-0.009361438851244134,0.004758529014550699
2003-02-28,43,42698,-0.006780503105669989,-0.0050857442673565775,-0.0006415278154469387,-0.0006568005062829546,0.002465989435692557,-0.00909493263747096,0.004746538034322993
2003-03-31,44,43695,-0.006450258030408341,-0.004600847822368766,-0.0010368293467176038,-0.0006648435524069276,0.0023122677132624133,-0.00875067615029287,0.004698199892693737
2003-04-30,45,44692,-0.004424184893531068,-0.0033687840341387536,-0.0016457589245013249,-0.001010500882789531,0.0021674112181389107,-0.008683371656227195,0.0044335204679562075
