version,submitted_utc,pdf_sha256,source_tar_sha256,pages,experimental_lineage
v1,2025-01-01T13:08:17Z,e6ac85d8805726811860b07281b7f4f9792918c0f5d664f31feb6d2238b30907,3118bd36447fef00b39c80866e965bd6f436be53207cf457e72581c20e6b12c6,14,v1_v2_gpt4o_four_expert_2023_2024
v2,2025-01-07T00:15:11Z,14013a9d2af7585e00c8f3fcada0a745df15d3abf5fbd9adba03e64c408e7909,f4fae077906e28f97a0037235e4f9cf191c6c7994c5a92581b3dd9ff95b2fd74,14,v1_v2_gpt4o_four_expert_2023_2024
v3,2026-06-16T16:36:42Z,cc2652f2f0a38e7b15e99734514381c759c803f90b2768696a568959675e0b27,3e7e9e020707bec1de3d7888715020a28d6a48377c874e5897f09016ca295a49,10,v3_three_architecture_calendar_2025
