identifier_sha256,identifier,base_model,blob_versions,historical_paths,first_commit,first_author_date,present_at_pre_submission_commit,present_at_current_head,active_runtime_reference,classification,actual_job_link_recovered,paper_run_use_verified,paper_result_credit
ea283a7806f212dcf985bc1acd9e1cb55a43c7f3f245e85b6965c36264a6f3fb,ft:gpt-4o-2024-08-06:nanyang-technological-university::ALsxWTzK,gpt-4o-2024-08-06,5,environ/agent.py,ef36ed9bb5b7abd4a72442db9e4dca31c9a474fb,2024-10-26T19:19:53Z,True,True,False,pre_submission_commented_identifier_no_job_link,False,False,False
49c75ab360cc2fb076f46b6e928c132fd8952c9258da2dcbdc9b586da84c94d1,ft:gpt-3.5-turbo-0125:nanyang-technological-university::9vjD18u3,gpt-3.5-turbo-0125,1,scripts/fine-tuning/check.py,d4565248d86e7104bf6c8b7e7c1613a38501091f,2024-08-20T15:26:57Z,False,False,False,obsolete_historical_identifier_removed_before_submission,False,False,False
