case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,-0.016829351465718453,-0.11139780838300449,0.09456845691728603,1000.0
zero_cost_0,2009-09-30,-0.03430135239243916,-0.006419053063139744,-0.027882299329299413,1000.0
zero_cost_0,2009-10-31,0.045656840516148586,0.0629882375666969,-0.017331397050548314,1000.0
zero_cost_0,2009-11-30,-0.024174770852724965,-0.007429924644583515,-0.01674484620814145,1000.0
zero_cost_0,2009-12-31,0.018874209176074703,0.03799083377545714,-0.019116624599382435,1000.0
zero_cost_0,2010-01-31,-0.09985880996996403,-0.04904967261485272,-0.05080913735511131,1000.0
zero_cost_0,2010-02-28,-0.0006752530634719177,0.03642459199511003,-0.037099845058581944,1000.0
zero_cost_0,2010-03-31,0.025076485545578748,-0.001460294040505255,0.026536779586084004,1000.0
zero_cost_0,2010-04-30,0.04026532670432182,0.01701861994869562,0.0232467067556262,1000.0
zero_cost_0,2010-05-31,0.01527230765444608,0.011861073705768962,0.0034112339486771174,1000.0
zero_cost_0,2010-06-30,0.025643094264766502,-0.009078086748951828,0.03472118101371833,1000.0
zero_cost_0,2010-07-31,-0.05436770746580823,0.004052124155668481,-0.05841983162147671,1000.0
zero_cost_0,2010-08-31,0.03234594304679411,-0.0004952589611777352,0.032841202007971845,1000.0
zero_cost_0,2010-09-30,-0.013727732237976258,0.02176340404172599,-0.03549113627970225,100.0
zero_cost_0,2010-10-31,0.045802342174870905,0.07694789822412486,-0.031145556049253953,10.0
zero_cost_0,2010-11-30,0.031564983360160455,0.07671616446846985,-0.045151181108309395,10.0
zero_cost_0,2010-12-31,-0.07316370265107458,-0.060415270122773215,-0.012748432528301365,100.0
zero_cost_0,2011-01-31,-0.01329232760858551,-0.01980385618092311,0.006511528572337602,100.0
zero_cost_0,2011-02-28,0.02322541619687651,0.007352806027601424,0.015872610169275086,100.0
zero_cost_0,2011-03-31,0.03164662228604615,0.013209276130942253,0.0184373461551039,100.0
zero_cost_0,2011-04-30,0.034854956076004986,0.015277914707836255,0.01957704136816873,1000.0
zero_cost_0,2011-05-31,0.021466798724393377,0.00014500130720912475,0.021321797417184252,1000.0
zero_cost_0,2011-06-30,0.015860705930564,0.020855561230711493,-0.004994855300147493,1000.0
zero_cost_0,2011-07-31,0.043192280003063424,0.013709841569052274,0.02948243843401115,1000.0
zero_cost_0,2011-08-31,0.0827752007792315,0.023431471173959904,0.0593437296052716,1000.0
zero_cost_0,2011-09-30,0.11078935165236459,0.005529336653955295,0.1052600149984093,1000.0
zero_cost_0,2011-10-31,-0.11051632617495782,-0.08150208723744418,-0.029014238937513648,100.0
zero_cost_0,2011-11-30,0.041608477112045406,0.06627179389524382,-0.024663316783198413,100.0
zero_cost_0,2011-12-31,0.06271910867194322,0.004161552805728981,0.058557555866214236,100.0
zero_cost_0,2012-01-31,-0.105574739187596,-0.08376121853785927,-0.021813520649736726,1000.0
zero_cost_0,2012-02-29,0.032832363686153596,-0.01189496184667773,0.044727325532831326,100.0
zero_cost_0,2012-03-31,0.016830823239070706,-0.008567998741751393,0.0253988219808221,1000.0
zero_cost_0,2012-04-30,0.004302921110876182,0.05269700916078618,-0.048394088049909995,1000.0
zero_cost_0,2012-05-31,0.04132428529017556,0.07966149173263588,-0.038337206442460324,1000.0
zero_cost_0,2012-06-30,-0.008367045479425067,-0.015033385668055899,0.006666340188630831,1000.0
zero_cost_0,2012-07-31,0.027619470055350065,0.020836263986158655,0.0067832060691914095,1000.0
zero_cost_0,2012-08-31,-0.0036137637207725912,-0.003530276067709543,-8.348765306304823e-05,1000.0
zero_cost_0,2012-09-30,0.006394879209185555,-0.018416925767370394,0.024811804976555947,1000.0
zero_cost_0,2012-10-31,-0.05761950332436275,-0.05542789522318421,-0.0021916081011785354,100.0
zero_cost_0,2012-11-30,0.004078011207132885,0.01784638980259752,-0.013768378595464635,100.0
zero_cost_0,2012-12-31,-0.029156828156260386,-0.05731475283015625,0.028157924673895867,100.0
zero_cost_0,2013-01-31,0.01092812650179922,-0.016604066426545536,0.027532192928344756,1000.0
zero_cost_0,2013-02-28,0.0006627072474199863,0.012628787358427318,-0.011966080111007332,1000.0
zero_cost_0,2013-03-31,0.003678481347628023,0.0019240834279127485,0.0017543979197152746,1000.0
zero_cost_0,2013-04-30,0.01899931670859908,-0.0014343447804510154,0.020433661489050098,1000.0
zero_cost_0,2013-05-31,-0.03446684837098179,-0.017071576806202002,-0.017395271564779786,1000.0
zero_cost_0,2013-06-30,-0.018062413317854274,0.006536511601866574,-0.02459892491972085,1000.0
zero_cost_0,2013-07-31,-0.0012006558251382684,0.00645991807806168,-0.007660573903199948,1000.0
zero_cost_0,2013-08-31,-0.01756633653430138,-0.03414282027083244,0.016576483736531058,10.0
zero_cost_0,2013-09-30,0.022900444724153667,0.033442468887707556,-0.01054202416355389,100.0
zero_cost_0,2013-10-31,0.0008683488659920395,-0.007770393690892512,0.008638742556884552,1000.0
zero_cost_0,2013-11-30,-0.010057325382050007,-0.005429163745612263,-0.004628161636437744,1000.0
zero_cost_0,2013-12-31,-0.020040486331568227,-0.008100320536442746,-0.011940165795125482,1000.0
zero_cost_0,2014-01-31,-0.001391243662303859,0.029010621821598977,-0.030401865483902835,100.0
zero_cost_0,2014-02-28,0.03496153976489869,0.013531496441762108,0.021430043323136583,100.0
zero_cost_0,2014-03-31,-0.05221822762874851,-0.06672297619292362,0.014504748564175114,100.0
zero_cost_0,2014-04-30,-0.001666263026067816,-0.0074340159408960126,0.005767752914828197,100.0
zero_cost_0,2014-05-31,0.007853605364535304,0.017800345099179205,-0.0099467397346439,1000.0
zero_cost_0,2014-06-30,-0.010923677194183188,0.0048802584833962485,-0.015803935677579435,1000.0
zero_cost_0,2014-07-31,0.011816346406493308,0.0006266404994458747,0.011189705907047433,100.0
zero_cost_0,2014-08-31,0.0014690549714352517,0.008456588295695571,-0.00698753332426032,100.0
zero_cost_0,2014-09-30,0.00405896738679305,0.012280815392560297,-0.008221848005767248,100.0
zero_cost_0,2014-10-31,0.01757080990285338,0.0027454046571314485,0.01482540524572193,100.0
