formation_month,reliability_start,reliability_end,reliability_months,six_month_market_return,selected_mode,buy_count,hold_count,sell_count,finite_scores,source_rankic__price,source_reliability__price,source_rankic__news,source_reliability__news,source_rankic__annual_report,source_reliability__annual_report
1999-07-31,1994-07-31,1999-06-30,60,0.12190182505648717,free,418,179,403,1000,-0.0016355971956504597,0.33422272475901776,-0.01609040328768292,0.2892407974664647,0.010285134577638584,0.3765364777745176
1999-08-31,1994-08-31,1999-07-31,60,0.15737322467243486,free,389,200,411,1000,0.0024685765935147743,0.34714608666196217,-0.015570380759978932,0.28984784614911113,0.006935962370194101,0.36300606718892675
1999-09-30,1994-09-30,1999-08-31,60,0.07627910561425733,free,385,202,413,1000,0.0032440430527717937,0.3504234132574315,-0.014802385468633644,0.2925623745529363,0.005107384608292727,0.3570142121896322
1999-10-31,1994-10-31,1999-09-30,60,0.10288806820711427,free,374,193,433,1000,0.0055796417389103615,0.3631513856561268,-0.015370309290123335,0.29451215553830323,-0.0003229319185651181,0.34233645880557
1999-11-30,1994-11-30,1999-10-31,60,0.18267854304935027,free,383,198,419,1000,0.007998104917978005,0.3632575140541048,-0.009896902522049656,0.3037369143700108,-0.0006971717384348065,0.33300557157588434
1999-12-31,1994-12-31,1999-11-30,60,0.2535303479373612,free,398,195,407,1000,0.012652729783577177,0.3706515385522721,-0.005448540925483688,0.30928081943864544,-0.002020271948122364,0.32006764200908244
2000-01-31,1995-01-31,1999-12-31,60,0.25661831762742926,free,366,223,411,1000,0.016269907970834666,0.37319812614439707,-0.0017673043371374873,0.3116053006212566,-0.0006213881996743349,0.3151965732343463
2000-02-29,1995-02-28,2000-01-31,60,0.35520778190931,free,366,210,424,1000,0.024684822144878802,0.3855064344164987,0.005032650848750905,0.3167257226114695,-0.0011395530050187092,0.2977678429720318
2000-03-31,1995-03-31,2000-02-29,60,0.5031881919961707,free,413,180,407,1000,0.01959003552205319,0.38277861046457334,-0.0035725717100000064,0.3036363320567906,-0.00034857872729397537,0.3135850574786361
2000-04-30,1995-04-30,2000-03-31,60,0.34124641124230415,free,431,160,409,1000,0.019019907040419545,0.3766981685445441,-0.004071418380735634,0.299026141290365,0.004034886711607574,0.324275690165091
2000-05-31,1995-05-31,2000-04-30,60,0.2518321408959707,free,408,179,413,1000,0.019059633191773263,0.37512657890443796,-0.004570980570765904,0.29617703748199475,0.005846729767855195,0.32869638361356723
2000-06-30,1995-06-30,2000-05-31,60,0.19990183454532717,free,388,190,422,1000,0.02012072919405373,0.38200334576267553,-0.005512589606879687,0.2956263066221445,0.0031478957335571898,0.3223703476151799
2000-07-31,1995-07-31,2000-06-30,60,0.2220539864425788,free,394,210,396,1000,0.017400967339756615,0.38724771110313155,-0.014766958056683736,0.2807277433177743,0.002015400341277224,0.33202454557909405
2000-08-31,1995-08-31,2000-07-31,60,0.2341460632748089,free,373,237,390,1000,0.017697665157302235,0.37997983355917764,-0.009790776336015446,0.2886554512907102,0.004007809707807752,0.33136471515011223
2000-09-30,1995-09-30,2000-08-31,60,0.10380178939654594,free,401,201,398,1000,0.020537772395771224,0.38704352649608603,-0.01120464450952765,0.28177615784130156,0.004950355304530759,0.3311803156626123
2000-10-31,1995-10-31,2000-09-30,60,0.13947945561345554,free,397,220,383,1000,0.018760610548852603,0.38346771840732785,-0.014763929449555213,0.274241756682504,0.007401052896958804,0.34229052491016815
2000-11-30,1995-11-30,2000-10-31,60,0.07868609386904524,free,395,231,374,1000,0.02573306779261187,0.40010148108958316,-0.017852457924701602,0.25875015936472584,0.00979299149199158,0.341148359545691
2000-12-31,1995-12-31,2000-11-30,60,0.03474597123309553,guided,397,214,389,1000,0.026095707465952585,0.3964951318182678,-0.014328755598548985,0.26465289374250417,0.01038566699937484,0.338851974439228
2001-01-31,1996-01-31,2000-12-31,60,0.10522638766497305,free,364,265,371,1000,0.017253171069184094,0.3717280831191745,-0.01569520713907622,0.2673821331654707,0.014294168650590671,0.3608897837153548
2001-02-28,1996-02-29,2001-01-31,60,-0.06066501425502535,strict,398,207,395,1000,0.027095769827319323,0.40429791895411843,-0.0227139281402013,0.24568618471420303,0.012678424046374285,0.35001589633167846
2001-03-31,1996-03-31,2001-02-28,60,-0.09196420006924999,strict,418,159,423,1000,0.033145846400688135,0.4193138630230831,-0.023787012663302725,0.23729192288451773,0.0131717847510056,0.3433942140923992
2001-04-30,1996-04-30,2001-03-31,60,-0.007072996827651945,strict,463,119,418,1000,0.0283251419686593,0.41087514234201267,-0.02415524867152707,0.24310306081763106,0.011146381098792211,0.34602179684035633
2001-05-31,1996-05-31,2001-04-30,60,0.08071600029881609,free,374,267,359,1000,0.029139558525438855,0.4172456093867379,-0.028037211289940876,0.2355462633696677,0.010764493597969608,0.34720812724359446
2001-06-30,1996-06-30,2001-05-31,60,0.03160790876789554,guided,370,252,378,1000,0.028882398600170438,0.41315170073931134,-0.028103189435158726,0.2336814724745935,0.013194968876742165,0.35316682678609523
2001-07-31,1996-07-31,2001-06-30,60,-0.03451085285542066,strict,440,156,404,1000,0.03137505340328627,0.4160897187501007,-0.03042152005103244,0.22428894923796006,0.01679012492922027,0.3596213320119392
2001-08-31,1996-08-31,2001-07-31,60,-0.018745030963943088,strict,406,187,407,1000,0.0373073434780248,0.43177076473807635,-0.03194349378049906,0.21602333573108073,0.01693945709895341,0.35220589953084297
2001-09-30,1996-09-30,2001-08-31,60,-0.030781922569088627,strict,399,209,392,1000,0.04484952464933163,0.4578015176126039,-0.032249185921925896,0.2117589536739343,0.01224831974220187,0.33043952871346177
2001-10-31,1996-10-31,2001-09-30,60,-0.08212404447193622,strict,451,120,429,1000,0.035909417279737614,0.4245043049434612,-0.032705624535989054,0.21374243785871566,0.01991343953611616,0.36175325719782314
2001-11-30,1996-11-30,2001-10-31,60,-0.016377076958052017,strict,441,136,423,1000,0.030073006253842124,0.4065925546914224,-0.03270994544898896,0.217018384871239,0.022354181627560997,0.3763890604373385
2001-12-31,1996-12-31,2001-11-30,60,0.013648426176905648,guided,389,205,406,1000,0.029360853245854523,0.3994654715514481,-0.03066693876628177,0.21917037868187986,0.024723589247694022,0.38136414976667204
2002-01-31,1997-01-31,2001-12-31,60,0.013981769103323494,guided,386,213,401,1000,0.03208455252267193,0.40123360789957757,-0.0310379557216317,0.21343209771229277,0.028041295885165036,0.3853342943881296
2002-02-28,1997-02-28,2002-01-31,60,0.061354408841624464,free,398,200,402,1000,0.03608553487319101,0.40461381386186945,-0.027208689578422072,0.21486089562809793,0.029947492417042816,0.38052529051003264
2002-03-31,1997-03-31,2002-02-28,60,0.18965409814117118,free,386,197,417,1000,0.031037237769382133,0.3951601843226017,-0.02775580380085773,0.21950187989584663,0.028520186962975497,0.3853379357815517
2002-04-30,1997-04-30,2002-03-31,60,0.09557128856719621,free,369,230,401,1000,0.03373663174478024,0.39952682730019945,-0.025852790867424345,0.2201670747957507,0.028806185156814542,0.38030609790404973
2002-05-31,1997-05-31,2002-04-30,60,0.005023925077342284,guided,397,212,391,1000,0.03909178540939869,0.4160570961060861,-0.026730092103093718,0.21542304068569768,0.02695899660440333,0.36851986320821634
2002-06-30,1997-06-30,2002-05-31,60,-0.07332081889004094,strict,435,154,411,1000,0.04402615543618317,0.424231837806519,-0.026261749431580547,0.21006164692002816,0.02918126021774579,0.36570651527345277
2002-07-31,1997-07-31,2002-06-30,60,-0.12794683649969163,strict,432,158,410,1000,0.0456915402609553,0.429924378844897,-0.026521234474658126,0.20882186808124767,0.028288670104353947,0.3612537530738554
2002-08-31,1997-08-31,2002-07-31,60,-0.10841571032116926,strict,430,155,415,1000,0.049011425374092164,0.44313634613385416,-0.028284347173676772,0.204571955922698,0.02606962717325188,0.3522916979434478
2002-09-30,1997-09-30,2002-08-31,60,-0.22869831423648512,strict,429,155,416,1000,0.053676600607646785,0.44765020998083743,-0.027141695344514362,0.1995029826075874,0.029878784932402345,0.35284680741157515
2002-10-31,1997-10-31,2002-09-30,60,-0.11370454129480934,strict,422,143,435,1000,0.04852185896940522,0.42937689234093096,-0.027430114498662686,0.20090161999663098,0.033563350567125214,0.369721487662438
2002-11-30,1997-11-30,2002-10-31,60,-0.04916227505621629,strict,435,134,431,1000,0.038932618370307266,0.4012807889584061,-0.024556545213992753,0.2126759760533316,0.035061415053006785,0.3860432349882624
2002-12-31,1997-12-31,2002-11-30,60,-0.038432726140991025,strict,421,174,405,1000,0.03910325693213798,0.40034934942652944,-0.02892632562919392,0.2027637917058607,0.03823462796276882,0.3968868588676098
2003-01-31,1998-01-31,2002-12-31,60,0.005280046724243759,guided,385,208,407,1000,0.04237890242747707,0.41469110810544585,-0.02730462375012809,0.20658225522880072,0.0333069768554322,0.37872663666575335
2003-02-28,1998-02-28,2003-01-31,60,-0.019512733809315175,strict,418,174,408,1000,0.04661928103754453,0.42636717520475126,-0.02845647850721155,0.20124906960630715,0.03308168442239783,0.3723837551889416
2003-03-31,1998-03-31,2003-02-28,60,0.09995053063656312,free,380,206,414,1000,0.046350252165595754,0.41793195963852287,-0.02670738684530383,0.20128911409828576,0.03704028390555011,0.38077892626319126
2003-04-30,1998-04-30,2003-03-31,60,0.08765348198589007,free,366,237,397,1000,0.04252235940804391,0.4130614231878745,-0.02751619446560364,0.20504116576565784,0.03467793028205214,0.3818974110464677
2003-05-31,1998-05-31,2003-04-30,60,0.08241897476065985,free,372,216,412,1000,0.0364239085766768,0.3966212713840231,-0.02312541550579762,0.21865357065270485,0.033378644070461386,0.3847251579632721
2003-06-30,1998-06-30,2003-05-31,60,0.15944648878465073,free,385,188,427,1000,0.030088588086191748,0.382401246243621,-0.025996944295905083,0.21824430847138826,0.03442647972869831,0.3993544452849908
2003-07-31,1998-07-31,2003-06-30,60,0.21473035847888844,free,386,209,405,1000,0.024855854665572275,0.3667958180385512,-0.02520263029012706,0.22234283435309868,0.03620090113706046,0.4108613476083501
