formation_month,training_start,training_end,training_months,training_observations,critic_r2,raw_gradient_norm,clipped_gradient_norm,parameter_delta_norm,finite_current_scores,action_memory_weight,actor_weight__be_me,actor_weight__ret_12_1,actor_weight__ret_1_0,actor_weight__rvol_21d,critic_weight__intercept,critic_weight__be_me,critic_weight__ret_12_1,critic_weight__ret_1_0,critic_weight__rvol_21d
1999-07-31,1994-07-31,1999-06-30,60,56406,0.002297010062535687,0.0011172801205927012,0.0011172801205927012,5.586400602963507e-07,914,0.2,0.5547002585344603,0.5547001679390807,0.27734974955434005,-0.5546997650601798,0.012524704108909173,-0.0004827534035396981,0.005654715473380207,-0.006489287566634352,0.0013923704297396373
1999-08-31,1994-08-31,1999-07-31,60,56374,0.0022588767383073804,0.0011738807787583826,0.0011738807787583826,5.869403893791913e-07,908,0.2,0.5547002843977986,0.5547001552686567,0.27734954455905764,-0.5546992158366343,0.011276218327068797,-0.0002425281827139185,0.006200422150264637,-0.006002655595077719,0.0013076831403516038
1999-09-30,1994-09-30,1999-08-31,60,56348,0.002425274252288445,0.0011461118780885953,0.0011461118780885953,5.730559390442977e-07,896,0.2,0.554700285843209,0.5547001171307495,0.2773493431372745,-0.5546986807050753,0.011158423344755876,-0.00011303883471601969,0.006753817123616821,-0.005925997243576397,0.0015951068155948208
1999-10-31,1994-10-31,1999-09-30,60,56306,0.0025551111497414958,0.0010749254723179703,0.0010749254723179703,5.374627361589853e-07,878,0.2,0.5547002971417851,0.5547000605494276,0.27734916232125445,-0.5546981778704546,0.011722984169373861,-0.0002531220034946647,0.007448212253894676,-0.00561741864163727,0.0013411720601301923
1999-11-30,1994-11-30,1999-10-31,60,56234,0.003454456656596272,0.0011989145526238745,0.0011989145526238745,5.994572763119373e-07,862,0.2,0.5547002620316379,0.5547000911715317,0.2773489373506998,-0.5546976241856707,0.012967141444047505,-0.000779754478558213,0.008722913692102187,-0.005936417276103706,0.0023960744499701633
1999-12-31,1994-12-31,1999-11-30,60,56142,0.004254438084925538,0.0014338257884384518,0.0014338257884384518,7.169128942192259e-07,853,0.2,0.5547000590304964,0.5547003557653399,0.27734888950617725,-0.554696991370016,0.013900755930333217,-0.0008888921136473463,0.01054954571991427,-0.004669452262835205,0.0036336138894835523
2000-01-31,1995-01-31,1999-12-31,60,56047,0.004732440387752557,0.0015360012263568252,0.0015360012263568252,7.680006131784126e-07,848,0.2,0.5546997695791368,0.5547006835414847,0.2773488576397332,-0.5546963608224913,0.012992590418853775,-0.0014526905052797499,0.011139507140065159,-0.00431543015827002,0.004090238535085733
2000-02-29,1995-02-28,2000-01-31,60,55947,0.007225524285694784,0.0023013480484434254,0.0023013480484434254,1.1506740242217128e-06,828,0.2,0.5546992477419727,0.5547011784958981,0.2773488742294972,-0.5546954627792894,0.012971489683908991,-0.002536337923848943,0.013904047385483695,-0.0026260202200234697,0.006704605899279575
2000-03-31,1995-03-31,2000-02-29,60,55830,0.005189505604475064,0.0016168684335746378,0.0016168684335746378,8.084342167873188e-07,849,0.2,0.5546989755818827,0.5547014708572746,0.2773485835959378,-0.554694822817003,0.013363885395633329,-0.001301188377825475,0.012553130971277271,-0.004933457202389559,0.005012273128796987
2000-04-30,1995-04-30,2000-03-31,60,55738,0.004167157141945266,0.0015165667293971876,0.0015165667293971876,7.582833646985938e-07,872,0.2,0.5546987952424577,0.5547019547160592,0.2773483733079635,-0.554694308880239,0.012664495962429845,-0.0009792483948455888,0.011625928392508646,-0.004585136446136556,0.004050496501814773
2000-05-31,1995-05-31,2000-04-30,60,55664,0.0032361403757880103,0.0014252675709530353,0.0014252675709530353,7.126337854765177e-07,893,0.2,0.5546986426950447,0.5547023428338324,0.2773480212249722,-0.5546938506462809,0.01195455985238104,-0.0005190346977206786,0.010789828344796568,-0.00395101888879394,0.0029771852633280922
2000-06-30,1995-06-30,2000-05-31,60,55614,0.00454166333586381,0.001499825265808051,0.001499825265808051,7.499126329040254e-07,868,0.2,0.5546984207146781,0.5547024913470333,0.27734762125756196,-0.5546932752650388,0.011838521379035382,-0.0014099644596101922,0.01235295113095912,-0.004898108919354883,0.003999667405459635
