strategy,sheet,window,metric,paper_label,paper_value,native_reproduced_value,absolute_error,rounding_tolerance,status,paper_result_credit
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,cagr_pct,CAGR,28.7401,19.297879257638193,9.442220742361808,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,mean_daily,mean (daily),0.0008,0.0005580672286192189,0.00024193277138078112,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,std_daily,std (daily),0.0119,0.011832284178384441,6.771582161555975e-05,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,mean_annualized,mean (ann.),0.1921,0.14063294161204318,0.051467058387956816,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,std_annualized,std (ann.),0.1896,0.1878316882670967,0.0017683117329032882,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,sharpe_daily,Sharpe,0.0638,0.047164792546033694,0.0166352074539663,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,sharpe_annualized,Sharpe (ann.),1.0132,0.7487178702885485,0.2644821297114516,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,max_drawdown_pct,MDD,-23.8873,-25.178372273905758,1.2910722739057583,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,var_90_pct,VaR0.9,-1.0563,-1.1907230670140119,0.13442306701401185,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,cvar_90_pct,CVaR0.9,-2.1079,-2.212261326342854,0.104361326342854,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,cagr_pct,CAGR,42.2341,30.722922032073853,11.511177967926145,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,mean_daily,mean (daily),0.001,0.0008200065559477648,0.00017999344405223523,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,std_daily,std (daily),0.0117,0.012615914147446604,0.0009159141474466038,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,mean_annualized,mean (ann.),0.2603,0.20664165209883673,0.05365834790116325,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,std_annualized,std (ann.),0.186,0.20027142837531103,0.014271428375311035,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,sharpe_daily,Sharpe,0.0881,0.06499779138983201,0.023102208610167985,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,sharpe_annualized,Sharpe (ann.),1.3991,1.031807950715705,0.36729204928429504,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,max_drawdown_pct,MDD,-22.344,-23.021700833463754,0.6777008334637529,5.0000001000000005e-05,mismatch,False
Warren Buffett,Warren_Buffett_Returns,paper_labeled_through_2025Q2,var_90_pct,VaR0.9,-0.8934,-1.0037718256230257,0.11037182562302572,5.0000001000000005e-05,mismatch,False
