strategy,sheet,window,metric,paper_label,paper_value,native_reproduced_value,absolute_error,rounding_tolerance,status,paper_result_credit
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,cagr_pct,CAGR,28.7401,19.297879257638193,9.442220742361808,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,mean_daily,mean (daily),0.0008,0.0005580672286192189,0.00024193277138078112,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,std_daily,std (daily),0.0119,0.011832284178384441,6.771582161555975e-05,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,mean_annualized,mean (ann.),0.1921,0.14063294161204318,0.051467058387956816,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,std_annualized,std (ann.),0.1896,0.1878316882670967,0.0017683117329032882,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,sharpe_daily,Sharpe,0.0638,0.047164792546033694,0.0166352074539663,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,sharpe_annualized,Sharpe (ann.),1.0132,0.7487178702885485,0.2644821297114516,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,max_drawdown_pct,MDD,-23.8873,-25.178372273905758,1.2910722739057583,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,var_90_pct,VaR0.9,-1.0563,-1.1907230670140119,0.13442306701401185,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,paper_labeled_through_2025Q2,cvar_90_pct,CVaR0.9,-2.1079,-2.212261326342854,0.104361326342854,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,cagr_pct,CAGR,28.7401,21.700715599630204,7.039384400369798,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,mean_daily,mean (daily),0.0008,0.0006108945149217161,0.00018910548507828392,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,std_daily,std (daily),0.0119,0.011581799861295058,0.00031820013870494275,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,mean_annualized,mean (ann.),0.1921,0.15394541776027246,0.038154582239727536,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,std_annualized,std (ann.),0.1896,0.18385537300505456,0.005744626994945434,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,sharpe_daily,Sharpe,0.0638,0.05274607765959158,0.011053922340408417,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,sharpe_annualized,Sharpe (ann.),1.0132,0.8373180247282748,0.17588197527172533,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,max_drawdown_pct,MDD,-23.8873,-25.178372273905758,1.2910722739057583,5.0000001000000005e-05,mismatch,False
Benjamin Graham,Benjamin_Graham_Returns,full_shipped_workbook,var_90_pct,VaR0.9,-1.0563,-1.1767520997536802,0.12045209975368021,5.0000001000000005e-05,mismatch,False
