notebook_git_blob_sha1,notebook_paths,paper_relevant_multi_agent_notebook,cell_index,output_index,image_sha256,image_bytes,exact_paper_image_match,paper_result_credit
0b38c4a1bcefd3615d72f3d36f35918e7d5015a3,03_backtesting.ipynb,False,0,1,460d781c2d15d96e18b19104dc91414b8783fd84a8e9bbdfa90adc0ae23797a7,226165,False,False
35be3a5b4cf8c544758cbe5762c16432ad9440d6,04_multi_agent_backtesting.ipynb,True,11,0,187bf83879a7a3a1b963c133db52665c66269ad63293a6cceaef6aa3e8e04f14,247474,False,False
35be3a5b4cf8c544758cbe5762c16432ad9440d6,04_multi_agent_backtesting.ipynb,True,12,0,c862a84411cc51771802b74af66be5f5998b20cdde5826853e068578ee525147,633090,False,False
6ffc8f8d513a89826da989f4faab577cf0df0eb7,06_meta_portfolio_backtesting.ipynb,False,11,2,37dfb57b42cc31fd80afe65324ed919f5319f396bc74626710bbd465f6b496db,253378,False,False
6ffc8f8d513a89826da989f4faab577cf0df0eb7,06_meta_portfolio_backtesting.ipynb,False,12,1,7c8aa6e30e5e2f6e2e38e86b9a0c6561f4740aa5b8b9043f30301452d07b7dd2,866467,False,False
885c8d9415682e161e2b1758fb7f6496fe8d69d7,04_multi_agent_backtesting.ipynb,True,11,0,5ac6f89a2e9941d84031e671aa8b3619219aa9ea3581b6ed9f8d274f577bcfe7,272290,False,False
885c8d9415682e161e2b1758fb7f6496fe8d69d7,04_multi_agent_backtesting.ipynb,True,12,0,3e83556f92cfe0ba979f5a25f497f48fb279535758f4938cc2f62a435b830fa2,446063,False,False
8c819de0e523f6087f4a3060810492644a508a9d,06_meta_portfolio_backtesting.ipynb,False,9,0,e2cef6246f31074845a008a1f83842a90119285b68468fb0cba1019666ba7aa1,138415,False,False
8c819de0e523f6087f4a3060810492644a508a9d,06_meta_portfolio_backtesting.ipynb,False,10,0,14a3809a38fb88e4363949495ed581ef965267ea255f5287ecb38aa328c06222,73778,False,False
8c819de0e523f6087f4a3060810492644a508a9d,06_meta_portfolio_backtesting.ipynb,False,11,0,eca3bb94afaa6e0691b5ac5a230284a83b5eeecfb379b01591e52a9cc4318057,36456,False,False
ae78ebb30a28dcf132218c03ef4ef91d9d0cba96,06_meta_portfolio_backtesting.ipynb,False,11,0,a4c698598acd5f00a844f6a934a8f7d67acd8e330d89f9e756f1a3fcb043aff7,299747,False,False
ae78ebb30a28dcf132218c03ef4ef91d9d0cba96,06_meta_portfolio_backtesting.ipynb,False,12,0,47fda0bf08f212e17c2263cf7e7a925433c44dae7f473be278bfc746f75b28a6,796934,False,False
cec651b382177cf98614bbdb2421710aa60b6f81,04_multi_agent_backtesting.ipynb,True,11,0,d834a138daca48762253618cba68175035a8df46a9e21e9ba72f491ecf5033d7,204571,False,False
cec651b382177cf98614bbdb2421710aa60b6f81,04_multi_agent_backtesting.ipynb,True,12,0,50e8800d1a0fd355a33fe12488cd51e0ff4ee534137c12bd8c9da52e25be5342,381091,False,False
