agent,price_column,transaction_cost,portfolio_variants_evaluated,overlap_periods,best_variant_older_flags,best_display_precision_matches,paper_metrics_total,best_aggregate_relative_error,complete_agent_row_reproduced,paper_result_credit,best_cagr_pct,best_mean_daily,best_std_daily,best_mean_annualized,best_std_annualized,best_sharpe_daily,best_sharpe_annualized,best_max_drawdown_pct,best_var_90_pct,best_cvar_90_pct
Benjamin Graham,CLOSE_,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.7004963607794982,False,False,30.944349419072914,0.0008032411203548359,0.011460360805270428,0.20241676232941866,0.1819275877549049,0.07008864153608836,1.1126226914090516,-21.458555547482284,-0.9596857636071763,-1.8975673753463904
Benjamin Graham,CLOSE_,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.6966322055635064,False,False,30.919744118467165,0.0008027281254657757,0.011460527276365796,0.20228748761737547,0.18193023040161785,0.0700428615637243,1.1118959568776352,-21.464597197055557,-0.9596857636071786,-1.8976750409496936
Benjamin Graham,DIV_ADJ_CLOSE,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.8756602570730926,False,False,32.10943369059138,0.0008275336239657596,0.011462456486261046,0.2085384732393714,0.18196085565927592,0.07219513766160379,1.146062280724061,-21.321084230654275,-0.9565712878715882,-1.8944819909139112
Benjamin Graham,DIV_ADJ_CLOSE,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.8717869603939467,False,False,32.084609463022716,0.0008270206290766939,0.011462624015804574,0.20840919852732687,0.1819635151083325,0.07214932880433,1.1453350876589181,-21.327136454944227,-0.9565712878715993,-1.894589656517215
Edward Altman,CLOSE_,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.3469344994796166,False,False,25.987225508027922,0.0007025116723634139,0.011886032286135917,0.17703294143558032,0.18868491302640095,0.059103968040103365,0.9382464055873388,-24.746028128122745,-1.1297290666921045,-2.0910168643974423
Edward Altman,CLOSE_,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.34637383722633847,False,False,25.966822746929296,0.0007020682712157878,0.011886059434371649,0.17692120434637854,0.18868534399128262,0.059066528742534624,0.9376520751635719,-24.750041673289246,-1.1297290666920958,-2.091016864397442
Edward Altman,DIV_ADJ_CLOSE,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.3828362526219758,False,False,26.82664730640689,0.0007207126327725699,0.011886905532120032,0.18161958345868762,0.18869877537664506,0.06063080343535217,0.962484166079895,-24.687227069938967,-1.128288056168023,-2.0882809286979476
Edward Altman,DIV_ADJ_CLOSE,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,10001,1,10,0.3797964955994129,False,False,26.806108606745106,0.0007202692316249483,0.011886933358349746,0.18150784636948697,0.18869921710434756,0.06059335994501973,0.9618897690980677,-24.691243751161917,-1.1282880561680209,-2.088280928697946
Joel Greenblatt,CLOSE_,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,01010,2,10,3.191855248397593,False,False,6.529270683420685,0.00022067794832295582,0.009772359733394333,0.05561084297738487,0.1551314014609372,0.02258184863670645,0.35847573382096937,-25.821046672720705,-0.959895528581356,-1.767052929495737
Joel Greenblatt,CLOSE_,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,01010,2,10,3.1946091221865722,False,False,6.518651907674133,0.00022040503135989828,0.009772366313555287,0.055542067902694364,0.15513150591775404,0.022553906012935027,0.35803215842010244,-25.825497343159288,-0.9598955285813671,-1.7670529294957376
Joel Greenblatt,DIV_ADJ_CLOSE,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,11111,1,10,2.3682636840645905,False,False,9.934753211695302,0.000307264525008455,0.009815600294349199,0.07743066030213067,0.15581782408596226,0.03130369165351466,0.49693069940068857,-25.078947249791927,-0.9391426672114188,-1.7503093635110698
Joel Greenblatt,DIV_ADJ_CLOSE,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,11111,1,10,2.371237937238491,False,False,9.922976236508173,0.000306971216334861,0.009815609960594567,0.07735674651638498,0.1558179775328504,0.031273778967096065,0.4964558502248318,-25.083692174878358,-0.9391426672114034,-1.7503093635110718
Joseph Piotroski,CLOSE_,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,00110,1,10,0.4437283754472681,False,False,31.668725423118673,0.0008110329331588573,0.010753294018440418,0.20438029915603204,0.17070325048531054,0.07542181323862693,1.1972841675537953,-19.911992503960818,-0.944159875704984,-1.9333824116269431
Joseph Piotroski,CLOSE_,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,00110,1,10,0.43954930149191296,False,False,31.64088352701522,0.0008104580714431069,0.010753704605220911,0.20423543400366292,0.1707097683483873,0.0753654764749285,1.1963898491552978,-19.91753705832593,-0.944159875704984,-1.933468607391405
Joseph Piotroski,DIV_ADJ_CLOSE,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,00110,1,10,0.6468315225384168,False,False,33.04737392804926,0.0008395969523807508,0.010755749201007062,0.21157843199994922,0.17074222530027816,0.07806029470286824,1.2391687623132117,-19.753344297859943,-0.9342465144500234,-1.929963431511244
Joseph Piotroski,DIV_ADJ_CLOSE,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,00110,1,10,0.6426395626236069,False,False,33.01924051102223,0.0008390220906650031,0.010756161223061124,0.21143356684758077,0.17074876594761648,0.07800385967310963,1.238272883989369,-19.758899835562417,-0.9342465144500388,-1.9300496272757053
Warren Buffett,CLOSE_,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,01001,0,10,1.521452148193235,False,False,29.265791548348897,0.0007581105468768996,0.010515724935226524,0.1910438578129787,0.1669319582050211,0.07209303700378397,1.144441483028337,-23.544096269109616,-0.9589844318571348,-1.9249476937933065
Warren Buffett,CLOSE_,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,01001,0,10,1.52351848945493,False,False,29.248599918563166,0.0007577464111880205,0.010515751928449635,0.19095209561938117,0.16693238670915372,0.07205822430424498,1.143888848555655,-23.548359264954012,-0.9589844318571437,-1.9249476937933059
Warren Buffett,DIV_ADJ_CLOSE,none,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,01001,0,10,1.3802558408242023,False,False,30.492669037934483,0.0007840141206703638,0.010518045580414198,0.19757155840893167,0.16696879730530792,0.07453990522063221,1.183284311784708,-23.30352776554817,-0.9601156708435263,-1.9212211637517476
Warren Buffett,DIV_ADJ_CLOSE,paper_1bp_half_L1,32,2023-10-01;2024-01-01;2024-04-01;2024-07-01;2024-10-01,01001,0,10,1.3823266056622765,False,False,30.47531424028087,0.0007836499849814835,0.01051807346586903,0.19747979621533385,0.16696923997318003,0.07450508760225097,1.182731599227826,-23.30780417490912,-0.9601156708435263,-1.9212211637517482
