notebook_cell,output_index,sha256,width,height,paper_image_sha256,exact_paper_image_match,paper_result_credit
11,0,5ac6f89a2e9941d84031e671aa8b3619219aa9ea3581b6ed9f8d274f577bcfe7,1619,812,171b035f549dfafccb45476bcc4454a0d0f49e5a15397e90d69ec756cc35137a,False,False
12,0,3e83556f92cfe0ba979f5a25f497f48fb279535758f4938cc2f62a435b830fa2,1990,1989,2743ba64b1e6974fd3e83e68dc11010b042808adefa6490059e42601f375247c,False,False
