formation_month,data_history_start,data_history_end,data_history_months,data_candidate_count,data_positive_utility_count,data_selected_count,selected_data_agents,data_no_positive_fallback,research_history_start,research_history_end,research_history_months,research_agent_count,research_positive_utility_count,research_no_positive_fallback,finite_scores,predicted_sharpe__momentum,judge_score__momentum,allocation__momentum,predicted_sharpe__reversal,judge_score__reversal,allocation__reversal,predicted_sharpe__fundamentals,judge_score__fundamentals,allocation__fundamentals,predicted_sharpe__event_driven,judge_score__event_driven,allocation__event_driven,predicted_sharpe__risk_control,judge_score__risk_control,allocation__risk_control
1999-07-31,1997-07-31,1999-06-30,24,16,6,6,at_me|rvol_21d|be_me|beta_60m|f_score|ocf_at,False,1997-07-31,1999-06-30,24,5,3,False,956,0.014842638130983299,4.0,0.08206313421262527,-0.025323853535900137,3.5,0.0,0.08106441023810126,4.5,0.45276864842157005,-0.06209979144715123,4.0,0.0,0.08245160405957713,5.0,0.46516821736580477
1999-08-31,1997-08-31,1999-07-31,24,16,9,8,be_me|rvol_21d|ret_12_1|ocf_at|ret_6_1|at_me|beta_60m|gp_at,False,1997-08-31,1999-07-31,24,5,2,False,937,0.06548960299245321,4.0,0.4837289573107064,-0.11801037570716898,3.5,0.0,-0.035628751267408235,4.5,0.0,-0.07433284610891093,4.0,0.0,0.06849740419508252,5.0,0.5162710426892937
1999-09-30,1997-09-30,1999-08-31,24,16,10,8,rvol_21d|ocf_at|ret_12_1|niq_su|qmj_safety|gp_at|be_me|beta_60m,False,1997-09-30,1999-08-31,24,5,2,False,922,0.07944031106390749,4.0,0.46265464335057893,-0.1454300997507589,3.5,0.0,-0.04929911713265374,4.5,0.0,-0.06152016778381845,4.0,0.0,0.09041980932558699,5.0,0.5373453566494211
1999-10-31,1997-10-31,1999-09-30,24,16,9,8,ret_12_1|qmj_prof|z_score|qmj_safety|gp_at|niq_su|ocf_at|ret_6_1,False,1997-10-31,1999-09-30,24,5,2,False,899,0.09846465715424528,4.0,0.5330756057008665,-0.1478615051319153,3.5,0.0,-0.09618622088402347,4.5,0.0,-0.03690205928448848,4.0,0.0,0.08452091769299323,5.0,0.4669243942991334
1999-11-30,1997-11-30,1999-10-31,24,16,10,8,z_score|ret_12_1|qmj_prof|turnover_126d|saleq_su|gp_at|niq_su|ocf_at,False,1997-11-30,1999-10-31,24,5,3,False,887,0.18866231931011362,4.0,0.41687032931365436,-0.09377144450509978,3.5,0.0,-0.03299895105528909,4.5,0.0,0.13942992885465716,4.0,0.3080858995604665,0.1219865849907937,5.0,0.2750437711258792
1999-12-31,1997-12-31,1999-11-30,24,16,11,8,ret_12_1|z_score|turnover_126d|qmj_prof|saleq_su|gp_at|niq_su|ocf_at,False,1997-12-31,1999-11-30,24,5,3,False,879,0.2152013402884735,4.0,0.40673302682411555,-0.10006895829687952,3.5,0.0,-0.03921083937936191,4.5,0.0,0.2265810507869013,4.0,0.428240811530304,0.0855685962292547,5.0,0.1650261616455804
2000-01-31,1998-01-31,1999-12-31,24,16,11,8,ret_12_1|z_score|ret_1_0|saleq_su|turnover_126d|gp_at|niq_su|ocf_at,False,1998-01-31,1999-12-31,24,5,3,False,881,0.2658152216972984,4.0,0.4360541577054119,-0.14078148076075495,3.5,0.0,-0.0865504586573517,4.5,0.0,0.23912570249445633,4.0,0.3922715791862225,0.10255826913116046,5.0,0.17167426310836562
2000-02-29,1998-02-28,2000-01-31,24,16,11,8,ret_12_1|z_score|saleq_su|ret_6_1|turnover_126d|gp_at|niq_su|ocf_at,False,1998-02-28,2000-01-31,24,5,4,False,864,0.37389237746963117,4.0,0.4078977654584738,-0.1781677901913801,3.5,0.0,0.02931145266971472,4.5,0.03230361876869853,0.3134725260054433,4.0,0.3419827484999457,0.19566397606090186,5.0,0.21781586727288213
2000-03-31,1998-03-31,2000-02-29,24,16,11,8,ret_12_1|z_score|saleq_su|turnover_126d|ocf_at|gp_at|niq_su|qmj_prof,False,1998-03-31,2000-02-29,24,5,3,False,878,0.24432089025897868,4.0,0.4057160724460143,-0.09210099843437435,3.5,0.0,-0.0011347323883971834,4.5,0.0,0.20758193900890293,4.0,0.3447078508765591,0.147288018184934,5.0,0.24957607667742662
2000-04-30,1998-04-30,2000-03-31,24,16,11,8,ret_12_1|ocf_at|turnover_126d|saleq_su|z_score|niq_su|ret_6_1|gp_at,False,1998-04-30,2000-03-31,24,5,4,False,923,0.21008657627535704,4.0,0.3538321762934155,-0.1129247703175309,3.5,0.0,0.033050985828543676,4.5,0.056233168769559576,0.15841091190713238,4.0,0.2667989488069919,0.18802344486202388,5.0,0.32313570613003284
