formation_month,layer_count,agent_count,domain_agent_count,supporting_agent_count,integrated_report_count,mean_confidence,conflict_hold_count,buy_count,hold_count,sell_count,finite_scores
1999-07-31,5,9,4,4,7,0.6537990611977541,9,359,243,336,938
1999-08-31,5,9,4,4,7,0.6546572335710803,13,354,256,334,944
1999-09-30,5,9,4,4,7,0.6618041367387829,14,347,265,337,949
1999-10-31,5,9,4,4,7,0.6624244018021246,11,355,272,324,951
1999-11-30,5,9,4,4,7,0.6716301947902763,6,352,286,314,952
1999-12-31,5,9,4,4,7,0.6690293851359891,17,345,297,309,951
2000-01-31,5,9,4,4,7,0.6575673730402966,17,337,283,316,936
2000-02-29,5,9,4,4,7,0.6714814732055158,16,312,295,323,930
2000-03-31,5,9,4,4,7,0.6493060821820492,19,328,295,315,938
2000-04-30,5,9,4,4,7,0.6650473198088049,7,357,262,323,942
2000-05-31,5,9,4,4,7,0.6459550637350512,13,350,260,331,941
2000-06-30,5,9,4,4,7,0.6569908478739422,10,336,284,326,946
2000-07-31,5,9,4,4,7,0.6540840952282968,13,337,278,320,935
2000-08-31,5,9,4,4,7,0.6415930980121488,16,324,287,323,934
2000-09-30,5,9,4,4,7,0.6403877464898411,14,345,281,313,939
2000-10-31,5,9,4,4,7,0.6277430623031718,15,352,265,324,941
2000-11-30,5,9,4,4,7,0.6345151719894722,16,366,250,328,944
2000-12-31,5,9,4,4,7,0.6163929197859583,21,358,262,324,944
2001-01-31,5,9,4,4,7,0.6080912492804403,12,349,245,345,939
2001-02-28,5,9,4,4,7,0.6309977895406021,11,370,237,342,949
2001-03-31,5,9,4,4,7,0.6224223162628187,19,360,238,359,957
2001-04-30,5,9,4,4,7,0.6170184037061945,15,383,224,345,952
2001-05-31,5,9,4,4,7,0.6249416142740213,12,362,227,368,957
2001-06-30,5,9,4,4,7,0.6181651996721184,14,363,242,351,956
2001-07-31,5,9,4,4,7,0.6457459496280454,10,364,222,358,944
2001-08-31,5,9,4,4,7,0.6418688335227553,12,364,230,358,952
2001-09-30,5,9,4,4,7,0.6472582242382304,16,380,226,354,960
2001-10-31,5,9,4,4,7,0.630725161759867,21,366,222,362,950
2001-11-30,5,9,4,4,7,0.6272596227756159,15,374,212,364,950
2001-12-31,5,9,4,4,7,0.647672167738066,5,383,207,360,950
2002-01-31,5,9,4,4,7,0.6696414805326764,5,376,195,377,948
2002-02-28,5,9,4,4,7,0.6650647905466849,2,402,182,372,956
2002-03-31,5,9,4,4,7,0.6394725624298054,8,388,194,378,960
2002-04-30,5,9,4,4,7,0.6776765293788839,4,370,188,404,962
2002-05-31,5,9,4,4,7,0.6643911678488222,9,360,193,414,967
2002-06-30,5,9,4,4,7,0.6673740154410583,5,392,193,383,968
2002-07-31,5,9,4,4,7,0.657919467274468,6,377,195,395,967
2002-08-31,5,9,4,4,7,0.6550194762423389,7,379,198,389,966
2002-09-30,5,9,4,4,7,0.6745769471199466,5,376,193,398,967
2002-10-31,5,9,4,4,7,0.6622480436746689,9,375,193,402,970
2002-11-30,5,9,4,4,7,0.6403769044355443,15,368,195,404,967
2002-12-31,5,9,4,4,7,0.6681230257618497,11,376,190,401,967
2003-01-31,5,9,4,4,7,0.6609477630626035,10,378,200,386,964
2003-02-28,5,9,4,4,7,0.6670842976898419,8,377,197,391,965
2003-03-31,5,9,4,4,7,0.6673305281747595,10,388,196,387,971
2003-04-30,5,9,4,4,7,0.6561009622535342,8,387,197,385,969
2003-05-31,5,9,4,4,7,0.6499012101686771,13,393,201,380,974
2003-06-30,5,9,4,4,7,0.663828162523764,13,395,203,373,971
2003-07-31,5,9,4,4,7,0.6624429732589152,10,378,199,390,967
2003-08-31,5,9,4,4,7,0.6658677022277968,13,399,202,367,968
2003-09-30,5,9,4,4,7,0.6521514862273111,12,388,206,376,970
2003-10-31,5,9,4,4,7,0.6643922315056899,14,390,192,386,968
2003-11-30,5,9,4,4,7,0.6653859355184313,7,383,186,398,967
2003-12-31,5,9,4,4,7,0.6271533308815508,27,375,213,379,967
2004-01-31,5,9,4,4,7,0.6366867240250728,19,393,200,374,967
2004-02-29,5,9,4,4,7,0.6456671465113455,16,362,203,400,965
