missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,net_return
zero,1999-07-31,1999-08-31,ok,0.0482594000552885,0.048259400055288504,2.0,1000,938,0.0,0.0,93,93,0.3210116773984497,0.17894068063729604,2.0,0.046259400055288495
zero,1999-08-31,1999-09-30,ok,-0.011395783165409845,-0.011395783165409843,1.6018998401224889,1000,944,0.0,0.0,94,94,0.3817709172599087,0.21387140828480822,2.0,-0.012997683005532334
zero,1999-09-30,1999-10-31,ok,0.027880028331375213,0.027880028331375224,1.7777583564116388,1000,949,0.0,0.0,94,94,0.0978844574433786,0.07759067807614108,2.0,0.026102269974963573
zero,1999-10-31,1999-11-30,ok,0.08060155579218287,0.0806015557921829,1.8047662672577984,1000,951,0.0,0.0,95,95,0.16650647623306566,0.08373377960047475,2.0000000000000004,0.07879678952492507
zero,1999-11-30,1999-12-31,ok,0.18104653722861774,0.18093762385246784,1.3880730925516283,1000,952,0.014467770476884453,0.014467770476884453,95,95,0.22970999380882742,0.13308620809718424,2.0,0.17965846413606612
zero,1999-12-31,2000-01-31,ok,-0.021463411127695915,-0.021463411127695915,1.10949213600418,1000,951,0.0,0.0,95,95,0.22267006905551004,0.15857631041373696,2.0,-0.022572903263700095
zero,2000-01-31,2000-02-29,ok,0.19815739525922313,0.19815739525922316,2.101162721825324,1000,936,0.0,0.0,93,93,0.17764834728380394,0.13831940626048062,1.9999999999999998,0.19605623253739782
zero,2000-02-29,2000-03-31,ok,-0.11875201705400407,-0.11875201705400405,1.546026256697721,1000,930,0.0,0.0,93,93,0.2379705183107696,0.15258256352706512,2.0,-0.12029804331070179
zero,2000-03-31,2000-04-30,ok,-0.019460865431860954,-0.019460865431860958,1.6970840236246012,1000,938,0.0,0.0,93,93,0.2285707317250526,0.1488974760022405,2.0,-0.021157949455485554
zero,2000-04-30,2000-05-31,ok,-0.01579817114027008,-0.01579817114027007,2.4795853021763508,1000,942,0.0,0.0,94,94,0.14509380543035497,0.11401661646384406,1.9999999999999996,-0.01827775644244643
zero,2000-05-31,2000-06-30,ok,-0.054826224157455083,-0.05483789898930556,1.480451024789316,1000,941,0.001559138868924661,0.001559138868924661,94,94,0.19405187602347362,0.11981271112789224,1.9999999999999996,-0.0563066751822444
zero,2000-06-30,2000-07-31,ok,-0.011359687996370868,-0.011124209553153117,2.3955888535379533,1000,946,0.024672929926420062,0.024672929926420062,94,94,0.1637076385319696,0.1493238320120128,2.0,-0.01375527684990882
zero,2000-07-31,2000-08-31,ok,0.044684294877794406,0.04468429487779442,2.0321805724680133,1000,935,0.0,0.0,93,93,0.22472132284044255,0.1841506671019473,2.0,0.042652114305326394
zero,2000-08-31,2000-09-30,ok,-0.11375055196861478,-0.11375635660001136,1.4185795875963658,1000,934,0.0005698636752995279,0.0005698636752995279,93,93,0.24383446752232235,0.1519186609510674,2.0,-0.11516913155621114
zero,2000-09-30,2000-10-31,ok,-0.02206464950527396,-0.022064649505273978,1.8506380066795474,1000,939,0.0,0.0,93,93,0.19399106382996972,0.13417547946653552,2.0000000000000004,-0.023915287511953508
zero,2000-10-31,2000-11-30,ok,0.024577298867645824,0.024577298867645817,2.0716299630399453,1000,941,0.0,0.0,94,94,0.17579145736180826,0.12276286925591956,1.9999999999999998,0.02250566890460588
zero,2000-11-30,2000-12-31,ok,0.022009060172442477,0.022009060172442474,1.3489820625591435,1000,944,0.0,0.0,94,94,0.1551941701941709,0.11446484549360608,2.0,0.020660078109883333
zero,2000-12-31,2001-01-31,ok,-0.23025741235939134,-0.2302574123593914,1.3663305759257725,1000,944,0.0,0.0,94,94,0.19198179275309007,0.12963113718530658,1.9999999999999998,-0.23162374293531712
zero,2001-01-31,2001-02-28,ok,-0.019676090902517623,-0.01967609090251763,2.807302208310828,1000,939,0.0,0.0,93,93,0.2271357861002925,0.15949287871320508,2.0,-0.02248339311082845
zero,2001-02-28,2001-03-31,ok,0.0585017110282925,0.05850171102829249,1.327420042336537,1000,949,0.0,0.0,94,94,0.26916324135921693,0.16827071725768936,2.0,0.05717429098595596
zero,2001-03-31,2001-04-30,ok,-0.059502397562477174,-0.059502397562477174,1.0999654605698403,1000,957,0.0,0.0,95,95,0.24276341739106735,0.15311867917208316,2.0,-0.060602363023047015
zero,2001-04-30,2001-05-31,ok,-0.02959296079608962,-0.029592960796089616,1.8542989075496976,1000,952,0.0,0.0,95,95,0.2521483129677476,0.13375764482984437,2.0,-0.03144725970363932
zero,2001-05-31,2001-06-30,ok,-0.041524272438395515,-0.0415242724383955,1.2290451283679271,1000,957,0.0,0.0,95,95,0.2472498372010329,0.13349155739128624,2.0,-0.04275331756676344
zero,2001-06-30,2001-07-31,ok,0.016104728823802986,0.016104728823802983,1.3136074737634618,1000,956,0.0,0.0,95,95,0.2368144041003671,0.11689300320060647,2.000000000000001,0.014791121350039524
zero,2001-07-31,2001-08-31,ok,0.0583686987104015,0.058368698710401505,1.9165865947280238,1000,944,0.0,0.0,94,94,0.22995287239321605,0.14547905828820507,2.0,0.056452112115673476
zero,2001-08-31,2001-09-30,ok,0.048646966805695385,0.04864696680569537,1.3887581133881353,1000,952,0.0,0.0,95,95,0.18974524208743923,0.09761991575320587,2.0,0.04725820869230725
zero,2001-09-30,2001-10-31,ok,-0.03805866828060861,-0.03805866828060861,1.470500544040445,1000,960,0.0,0.0,96,96,0.22523053086931816,0.15104884805709215,1.9999999999999996,-0.039529168824649054
zero,2001-10-31,2001-11-30,ok,-0.04641423673072095,-0.046416736569169365,1.6807229728907471,1000,950,0.000714647926932762,0.000714647926932762,95,95,0.21815239829170316,0.1674092675913982,2.0,-0.048094959703611696
zero,2001-11-30,2001-12-31,ok,0.010406998299893193,0.010406998299893203,0.8991526320992125,1000,950,0.0,0.0,95,95,0.19874242783985296,0.14324536315755332,2.0,0.00950784566779398
zero,2001-12-31,2002-01-31,ok,0.023792981812708426,0.023979487569772053,1.3126375031057462,1000,950,0.002446367640244003,0.004113206697115486,95,95,0.18895795091036482,0.11838491791723303,2.0,0.02248034430960268
