case,primary,missing_return_policy,cost_bps_one_way,full_months,full_arithmetic_annualized_return,full_cagr,full_cumulative_return,full_annualized_volatility,full_annualized_sharpe,full_maximum_drawdown,evaluation_months,evaluation_arithmetic_annualized_return,evaluation_cagr,evaluation_cumulative_return,evaluation_annualized_volatility,evaluation_annualized_sharpe,evaluation_maximum_drawdown,evaluation_start,evaluation_end,jkp_alpha_annualized,jkp_alpha_se_annualized,jkp_alpha_t_hac,jkp_alpha_p_two_sided,jkp_alpha_ci_low_annualized,jkp_alpha_ci_high_annualized,interim_bonferroni69_p,hac_lags,average_traded_notional,annualized_linear_cost_drag,minimum_finite_signal_count,maximum_missing_forward_gross_weight,full_path_start,full_path_end,ff5mom_alpha_annualized,ff5mom_alpha_t_hac
zero_cost_0,False,zero,0.0,305,0.000427160067721678,-0.0065786365991094,-0.15444277811160678,0.11901851979515318,0.003589021846825836,-0.5478798174543276,185,0.03840481887166917,0.03357063720743381,0.6637095581090728,0.10432611000346785,0.36812279179576973,-0.2425862953008363,2009-08-31,2024-12-31,0.03791167049745971,0.021855197979063115,1.7346752261763265,0.08279834673737069,-0.004923730416496578,0.08074707141141599,1.0,4,0.661183566695666,0.0,975,0.031970476221582146,1999-08-31,2024-12-31,0.001761715142524557,0.08331138939038042
zero_cost_5,False,zero,5.0,305,-0.0035399413324523205,-0.010519412752266866,-0.23569215110414243,0.11904116582841125,-0.02973711915384696,-0.5643840802102622,185,0.034479422506077384,0.029531992719812106,0.5662616196347137,0.1043101882246991,0.33054702606617636,-0.2455807773071058,2009-08-31,2024-12-31,0.03382081188464641,0.02185423236963218,1.5475634793580095,0.12172742992669887,-0.009012696469602099,0.07665432023889493,1.0,4,0.661183566695666,0.003967101400173996,975,0.031970476221582146,1999-08-31,2024-12-31,-0.0022298212955958077,-0.10565329288290108
zero_cost_10,True,zero,10.0,305,-0.007507042732626314,-0.014446801609192206,-0.30917429542465924,0.11907185980816733,-0.0630463213115228,-0.5842308824462518,185,0.03055402614048562,0.025506798913329076,0.47446981672866406,0.1043038739770335,0.29293280273763617,-0.24856514068089386,2009-08-31,2024-12-31,0.029729953271834246,0.02185663635921198,1.3602254611928828,0.173758587732177,-0.013108266815409884,0.07256817335907839,1.0,4,0.661183566695666,0.007934202800347992,975,0.031970476221582146,1999-08-31,2024-12-31,-0.006221357733716171,-0.29532443250172724
zero_cost_25,False,zero,25.0,305,-0.0194083469331483,-0.026149030356596215,-0.490061579923057,0.11921215911275423,-0.16280509536608037,-0.6623221085368918,185,0.0187778370437103,0.013511543663571102,0.2298697463311159,0.10434258059306653,0.17996331830188672,-0.2769387878131707,2009-08-31,2024-12-31,0.014032313123102665,0.02082148914950496,0.6739341755215567,0.5003531633799372,-0.026777055714418574,0.0548416819606239,1.0,4,0.661183566695666,0.01983550700086998,975,0.031970476221582146,1999-08-31,2024-12-31,-0.018195967048077258,-0.868020246518552
zero_cost_50,False,zero,50.0,305,-0.03924385393401828,-0.04538858722099404,-0.6929140252507394,0.11960605305411193,-0.32810926313456434,-0.7624388721847302,185,-0.0008491447842485765,-0.006215048709551585,-0.09163983561550049,0.10459888395385382,-0.008118105587275635,-0.3575251077916265,2009-08-31,2024-12-31,-0.01051057812128358,0.019609147328824066,-0.5360038325498105,0.5919559016930084,-0.04894380065331855,0.027922644410751388,1.0,4,0.661183566695666,0.03967101400173996,975,0.031970476221582146,1999-08-31,2024-12-31,-0.03815364923867907,-1.831285208469471
adverse_100_cost_10,False,adverse_100,10.0,305,-0.06368736373448831,-0.06865543543086117,-0.8359829732978841,0.12021399634210873,-0.5297832671101361,-0.8723128148557479,185,-0.019664552148903447,-0.02487721043376656,-0.3218418673557454,0.10563126013351869,-0.18616224140512297,-0.515646819412596,2009-08-31,2024-12-31,-0.033283095749991845,0.020110917453069404,-1.6549764985939044,0.09792926518744491,-0.07269976965406587,0.006133578154082183,1.0,4,0.661183566695666,0.007934202800347992,975,0.031970476221582146,1999-08-31,2024-12-31,-0.05589055918828867,-2.5063777088698784
