strategy,sheet,cagr_pct,mean_daily,std_daily,mean_annualized,std_annualized,sharpe_daily,sharpe_annualized,max_drawdown_pct,var_90_pct,cvar_90_pct
Benjamin Graham,Benjamin_Graham_Returns,28.7401,0.0008,0.0119,0.1921,0.1896,0.0638,1.0132,-23.8873,-1.0563,-2.1079
Warren Buffett,Warren_Buffett_Returns,42.2341,0.001,0.0117,0.2603,0.186,0.0881,1.3991,-22.344,-0.8934,-1.995
Joel Greenblatt,Joel_Greenblatt_Returns,19.3799,0.0005,0.0098,0.1342,0.1551,0.0545,0.8652,-20.7409,-0.9877,-1.7126
Joseph Piotroski,Joseph_Piotroski_Returns,30.93,0.0008,0.0111,0.2014,0.1762,0.072,1.1432,-23.0692,-1.025,-1.9732
Edward Altman,Edward_Altman_Returns,25.7406,0.0007,0.0114,0.1744,0.1817,0.0605,0.9598,-21.7132,-1.1024,-2.0331
NASDAQ 100,Benchmark_QQQ,29.3611,0.0011,0.0135,0.2827,0.215,0.0828,1.3151,-22.7683,-1.3911,-2.429
S&P 500,Benchmark_SPY,26.3131,0.001,0.0107,0.25,0.1698,0.0928,1.4728,-18.7552,-0.9144,-1.8389
