case,primary,missing_return_policy,cost_bps_one_way,full_months,full_arithmetic_annualized_return,full_cagr,full_cumulative_return,full_annualized_volatility,full_annualized_sharpe,full_maximum_drawdown,evaluation_months,evaluation_start,evaluation_end,jkp_residual_mean_annualized,jkp_residual_se_annualized,jkp_residual_t_hac,jkp_residual_p_two_sided,exploratory_bonferroni69_p,hac_lags,average_traded_notional,annualized_linear_cost_drag,minimum_finite_signal_count,maximum_missing_forward_gross_weight
zero_cost_0,False,zero,0.0,305,-0.01397475996369197,-0.02126770583118942,-0.4209608496136076,0.11940301947923965,-0.11703858097258361,-0.555592153017099,185,2009-08-31,2024-12-31,0.005871031114411749,0.017431440773360826,0.33680699092779576,0.7362624026887558,1.0,4,1.629916064239653,0.0,992,0.1317244718173161
zero_cost_5,False,zero,5.0,305,-0.023754256349129886,-0.030821643015988553,-0.5487392526618134,0.11941240423750196,-0.19892620453302756,-0.6217908374159884,185,2009-08-31,2024-12-31,-0.004758214751699454,0.017408682253319256,-0.2733242345664745,0.7846039878340098,1.0,4,1.629916064239653,0.009779496385437918,992,0.1317244718173161
zero_cost_10,True,zero,10.0,305,-0.033533752734567795,-0.040290245988538365,-0.6483942126930055,0.11942358380329651,-0.2807967376845891,-0.6874126927683348,185,2009-08-31,2024-12-31,-0.015639347557296207,0.017479578120475084,-0.894721111087728,0.370936190549776,1.0,4,1.629916064239653,0.019558992770875836,992,0.1317244718173161
zero_cost_25,False,zero,25.0,305,-0.06287224189088156,-0.06819094120248337,-0.8338911547587444,0.11946788590277836,-0.5262689752629112,-0.8492993147938187,185,2009-08-31,2024-12-31,-0.044575448367978485,0.017668549562554134,-2.5228697019052158,0.01164015223779241,0.8031705044076762,4,1.629916064239653,0.04889748192718959,992,0.1317244718173161
zero_cost_50,False,zero,50.0,305,-0.11176972381807115,-0.11304898920412743,-0.9525995637746403,0.11957755602092146,-0.9347048688511057,-0.955512101398632,185,2009-08-31,2024-12-31,-0.09327711205471048,0.01819966818841323,-5.125209486736418,2.9720710631179276e-07,2.05072903355137e-05,4,1.629916064239653,0.09779496385437918,992,0.1317244718173161
adverse_100_cost_10,False,adverse_100,10.0,305,-0.26464273182823034,-0.2462701915721104,-0.9992427624400682,0.16386780771175674,-1.6149769471117632,-0.9992427624400682,185,2009-08-31,2024-12-31,-0.1834704249449471,0.03565854214775821,-5.145202632925967,2.6723219937821114e-07,1.843902175709657e-05,4,1.629916064239653,0.019558992770875836,992,0.1317244718173161
