formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,missing_return_policy
1999-12-31,2000-01-31,ok,-0.06635043415859483,-0.06645859769025847,2.100186460716262,1000,999,0.012452628559021902,0.012452628559021902,99,99,0.17203727048806344,0.079411046338141,2.0,zero
2000-01-31,2000-02-29,ok,0.1423715177596982,0.1420502843447723,2.148333097154166,1000,999,0.037396206626994014,0.037396206626994014,99,99,0.1797294931820199,0.07350453563253667,2.0,zero
2000-02-29,2000-03-31,ok,-0.2967125777832675,-0.2967699453881074,1.9042258634745601,1000,997,0.0065533019008313315,0.0065533019008313315,99,99,0.13940656621730607,0.06993971300398864,1.9999999999999998,zero
2000-03-31,2000-04-30,ok,-0.07600891216973081,-0.07612507504835198,2.6102625523880887,1000,995,0.012640139131792953,0.012640139131792953,99,99,0.2133544847506453,0.08517566650710268,2.0,zero
2000-04-30,2000-05-31,ok,-0.04289026392278455,-0.04296920301645288,1.451081992979668,1000,997,0.008253773909278601,0.008253773909278601,99,99,0.23466201568174402,0.09591617145404722,2.0,zero
2000-05-31,2000-06-30,ok,0.0075536914399271776,0.007481330971263852,1.4446035665146877,1000,997,0.0096635241270455,0.0096635241270455,99,99,0.2476403466042539,0.11006328770226305,2.0,zero
2000-06-30,2000-07-31,ok,-0.018052602662034005,-0.01839620245057428,2.017733419019922,1000,997,0.058894263312977924,0.058894263312977924,99,99,0.16636053505476214,0.09388158625666493,2.0,zero
2000-07-31,2000-08-31,ok,-0.018190477068644708,-0.01838092067210879,1.5522726432066027,1000,998,0.019036745648148126,0.019036745648148126,99,99,0.19112311037376917,0.0978873935884578,2.0,zero
2000-08-31,2000-09-30,ok,0.05049662068995174,0.05038213607662499,1.5741048122029833,1000,999,0.012100084151728717,0.012100084151728717,99,99,0.18830718575309655,0.09675423696259337,2.0,zero
2000-09-30,2000-10-31,ok,-0.013255526534113972,-0.013277186968115928,1.514657013690238,1000,998,0.002075947287901104,0.002075947287901104,99,99,0.22290515541722503,0.10906275983527092,2.0000000000000004,zero
2000-10-31,2000-11-30,ok,0.0541288465352365,0.053964645959038944,1.4001924555047163,1000,999,0.01653247847337475,0.01653247847337475,99,99,0.22411961508595524,0.11213068376722979,2.0,zero
2000-11-30,2000-12-31,ok,0.11094735317326065,0.11070693579408329,1.6003230928860812,1000,999,0.025464231883184543,0.025464231883184543,99,99,0.248497165400535,0.1316175071934202,2.0,zero
2000-12-31,2001-01-31,ok,-0.06739759068439465,-0.06756219639037837,1.4090773153020573,1000,997,0.01569766412204288,0.01569766412204288,99,99,0.23735906480907024,0.12230447064154625,2.0,zero
2001-01-31,2001-02-28,ok,0.06808653713829668,0.06788148867819997,1.8713288706142621,1000,999,0.028065762400312454,0.028065762400312454,99,99,0.2079084210859917,0.12068108763960983,2.0,zero
2001-02-28,2001-03-31,ok,-0.024710585784020796,-0.024816439553051017,1.6309277465578127,1000,999,0.016804310398512393,0.016804310398512393,99,99,0.24636485498927335,0.13579751125495498,1.9999999999999996,zero
2001-03-31,2001-04-30,ok,-0.019009760994645884,-0.019009760994645887,1.3340010649225214,1000,998,0.0,0.0,99,99,0.24687555793124558,0.12970022830179517,2.0,zero
2001-04-30,2001-05-31,ok,0.002517410716293336,0.00249917002053627,1.3837098069575702,1000,999,0.002865330781820302,0.002865330781820302,99,99,0.24677863192355018,0.12927287326278275,1.9999999999999998,zero
2001-05-31,2001-06-30,ok,0.002902169446527458,0.0028625934844499095,1.4749544379035064,1000,999,0.007123103325693001,0.007123103325693001,99,99,0.23785360063756567,0.12258109667409146,1.9999999999999996,zero
2001-06-30,2001-07-31,ok,-0.003535072138746036,-0.0036478900494499697,1.4482357361608242,1000,997,0.01880925486894515,0.01880925486894515,99,99,0.25149345330749945,0.13422632009777344,2.0,zero
2001-07-31,2001-08-31,ok,0.041923599347035656,0.04173203108429343,1.8056242150484558,1000,998,0.0319706713521749,0.0319706713521749,99,99,0.29800273745465317,0.13946637178201635,1.9999999999999996,zero
2001-08-31,2001-09-30,ok,0.027202007019031162,0.027048894222087706,1.6088976981393586,1000,998,0.036031924598622055,0.036031924598622055,99,99,0.2949721376020317,0.13032271618799046,2.0,zero
2001-09-30,2001-10-31,ok,0.005164598332500883,0.004334657454959417,1.4898469949219442,1000,999,0.0,0.002412213657434444,99,99,0.37427654550063905,0.17333637599947266,2.0,zero
2001-10-31,2001-11-30,ok,-0.055652977049738095,-0.0556651096271915,1.299696765678326,1000,999,0.003468432662500423,0.003468432662500423,99,99,0.3605406336159575,0.16777946267808572,1.9999999999999998,zero
2001-11-30,2001-12-31,ok,0.06518131269260774,0.06515706211062454,1.434761954747608,1000,999,0.008170681261185525,0.008170681261185525,99,99,0.32610321838904466,0.14696470118424995,1.9999999999999998,zero
2001-12-31,2002-01-31,ok,-0.0018927479883447656,-0.0019055803524140533,1.1703978536396487,1000,999,0.03222430229450941,0.03288611028531278,99,99,0.3164099711519805,0.1396950719803631,2.0,zero
2002-01-31,2002-02-28,ok,0.030186058081148916,0.03016909911249258,1.582182161382486,1000,999,0.007322724938017795,0.007322724938017795,99,99,0.3258557729959139,0.15178183082156066,2.0,zero
2002-02-28,2002-03-31,ok,-0.0024873162781877452,-0.0024937216189351913,1.38109672637786,1000,999,0.002963158408196995,0.002963158408196995,99,99,0.31932729806611565,0.142854897158391,2.0,zero
2002-03-31,2002-04-30,ok,0.10021281940443862,0.10021281940443866,1.3346316436916017,1000,998,0.0,0.0,99,99,0.3089474804563319,0.13885408502887492,2.0,zero
2002-04-30,2002-05-31,ok,0.008123236271100107,0.008093356046274052,1.525356219708623,1000,998,0.010360688219851871,0.010360688219851871,99,99,0.31317204525824605,0.138717891153412,2.0,zero
2002-05-31,2002-06-30,ok,-0.0182714493727505,-0.018456503232985113,1.4872181280052226,1000,999,0.0,0.0006515705682668933,99,99,0.3164919115565669,0.13836331818919367,1.9999999999999996,zero
2002-06-30,2002-07-31,ok,0.049400197914815716,0.04940092176262034,1.376867683256919,1000,998,0.00024016184626067289,0.00024016184626067289,99,99,0.3190355912510128,0.14681411113797851,2.0,zero
2002-07-31,2002-08-31,ok,0.030365100481555534,0.030366318005205246,1.4148676555737651,1000,999,0.00043420957549632753,0.00043420957549632753,99,99,0.3393080101881902,0.15641095282916606,2.0,zero
2002-08-31,2002-09-30,ok,0.08362417026061253,0.08684782210563263,1.336844488481859,1000,999,0.0,0.027615118897456645,99,99,0.34899611158512195,0.1672274776379328,2.0,zero
2002-09-30,2002-10-31,ok,-0.0834525646847158,-0.08345256468471579,1.386907756128266,1000,999,0.0,0.0,99,99,0.39069468344082264,0.19426606484521558,2.0,zero
2002-10-31,2002-11-30,ok,-0.044789918498114416,-0.0447947940560604,1.4546937833754743,1000,997,0.0020907195308666722,0.0020907195308666722,99,99,0.3918010664219993,0.19711539313874027,1.9999999999999998,zero
2002-11-30,2002-12-31,ok,0.03631404343707087,0.03629994741700367,1.60839375020997,1000,999,0.012330411586216294,0.012330411586216294,99,99,0.35168705373750975,0.167969438913544,2.0,zero
2002-12-31,2003-01-31,ok,-0.02763662327694645,-0.02763662327694645,1.2117423506612908,1000,999,0.0,0.0,99,99,0.3655262795775394,0.17523099293192,2.0,zero
2003-01-31,2003-02-28,ok,-0.03862247701309592,-0.038637941233160965,1.267719226550124,1000,999,0.008877279027006966,0.008877279027006966,99,99,0.36264151725110705,0.17065738331876357,2.0,zero
2003-02-28,2003-03-31,ok,0.01640296494593365,0.016538700000693657,1.2008132682028043,1000,999,0.00029392543671956476,0.002313208538641549,99,99,0.3385695262429989,0.15743667305377745,2.0,zero
2003-03-31,2003-04-30,ok,-0.006689733557121707,-0.006686186741579091,1.4231703558055053,1000,999,0.0018886131749808073,0.0018886131749808073,99,99,0.3400991786721272,0.1558060549383819,2.0,zero
2003-04-30,2003-05-31,ok,-0.000594953452226114,-0.0005807117269905971,1.6033965882883447,1000,999,0.007885783629856188,0.007885783629856188,99,99,0.34161935470293836,0.16515580130919078,2.0,zero
2003-05-31,2003-06-30,ok,0.010503940482659766,0.010503940482659766,1.3760766483306006,1000,999,0.0,0.0,99,99,0.3335693341654828,0.15080612609535607,1.9999999999999996,zero
2003-06-30,2003-07-31,ok,-0.012789203266847142,-0.012793075830052295,1.4197556087043361,1000,998,0.0028728213688079727,0.0028728213688079727,99,99,0.3291025207189762,0.1535585593638411,2.0,zero
2003-07-31,2003-08-31,ok,0.025726766052415157,0.025714560583755312,1.473266806607941,1000,999,0.008857379288714277,0.008857379288714277,99,99,0.31955891381929613,0.14547092987408483,2.0,zero
2003-08-31,2003-09-30,ok,-0.02439915298387247,-0.024413863428043404,1.4804287471632869,1000,999,0.00895047875128865,0.00895047875128865,99,99,0.31673813954923136,0.14278542911923528,2.0,zero
2003-09-30,2003-10-31,ok,0.009649478888059152,0.008414910450234079,1.395445116060229,1000,999,0.0,0.0023726862164450664,99,99,0.3153885981714036,0.14250756416962274,1.9999999999999998,zero
2003-10-31,2003-11-30,ok,0.04470638259821427,0.04470187289283644,1.368333503758969,1000,998,0.003110141639889135,0.003110141639889135,99,99,0.3053435226984189,0.1393604912890619,2.0,zero
2003-11-30,2003-12-31,ok,-0.04103015660346458,-0.04103417222611205,1.3146454046303546,1000,999,0.0024161387770610648,0.0024161387770610648,99,99,0.31153179962355815,0.13708649628066727,2.0,zero
2003-12-31,2004-01-31,ok,-0.012434117858631653,-0.01216176211613723,1.6864195446327959,1000,997,0.005853272074282782,0.008749718908591726,99,99,0.3005036589948257,0.14514324717057228,2.0,zero
2004-01-31,2004-02-29,ok,0.025062745416781208,0.02502041371012616,1.6883621885416085,1000,999,0.0,0.002024866634999287,99,99,0.3133591882283215,0.1374993649715737,2.0000000000000004,zero
2004-02-29,2004-03-31,ok,0.024457688273859662,0.02372104487174503,1.5518815288809604,1000,999,0.0,0.0024512444242780138,99,99,0.3091768563165002,0.14206007092373407,2.0,zero
2004-03-31,2004-04-30,ok,0.01656497580812698,0.016558952594180835,1.4846654541485218,1000,999,0.003788184871790403,0.003788184871790403,99,99,0.31992366908570724,0.14532808954462803,2.0000000000000004,zero
