month,candidate_return
1999-07-31,0.057492559618124224
1999-08-31,0.09958227956363819
1999-09-30,-0.07401736764241557
1999-10-31,0.06643386384856169
1999-11-30,0.12863831880130192
1999-12-31,-0.032673100766630395
2000-01-31,0.23892408582989316
2000-02-29,-0.07771680540674787
2000-03-31,-0.03694143130838384
2000-04-30,-0.20441430083092826
2000-05-31,0.20919982670310922
2000-06-30,0.03489540406287235
2000-07-31,0.13463950580614814
2000-08-31,-0.03562396940600962
2000-09-30,-0.13788079940226797
2000-10-31,-0.32461518245592424
2000-11-30,-0.05963672977808229
2000-12-31,0.0035646418027220927
2001-01-31,0.11678369752455772
2001-02-28,0.05355254738246783
2001-03-31,0.030298057701188978
2001-04-30,0.01513695556308997
2001-05-31,-0.01881725115245501
2001-06-30,0.00881577246197596
2001-07-31,0.07875534657780056
2001-08-31,0.09493950384177069
2001-09-30,0.003916424287105751
2001-10-31,-0.10299628989601445
2001-11-30,0.08819236448780217
2001-12-31,-0.001149598569375741
2002-01-31,0.14325015133291918
2002-02-28,0.05382118679380509
2002-03-31,0.11278469205950947
2002-04-30,0.007480336618390598
2002-05-31,0.010049132139884537
2002-06-30,-0.017018473026025466
2002-07-31,0.06200024142047184
2002-08-31,0.07528892189966996
2002-09-30,-0.120792046676226
2002-10-31,-0.11788328357697084
2002-11-30,0.12254380099922776
2002-12-31,0.022943996470133825
2003-01-31,-0.003712335985346326
2003-02-28,0.01322725664332762
2003-03-31,-0.09180063448839704
2003-04-30,-0.03122336934765002
2003-05-31,-0.005698471776690564
2003-06-30,-0.0031932277964301817
2003-07-31,0.005455890023457716
2003-08-31,0.03233986656156798
2003-09-30,0.05572812084008442
2003-10-31,0.010952205075347141
2003-11-30,-0.05442814454747315
2003-12-31,-0.007092990951349271
2004-01-31,0.023363664583063413
2004-02-29,0.014056087976428155
2004-03-31,-0.03985890716934129
2004-04-30,0.02257028769060153
2004-05-31,0.0206756807671547
2004-06-30,-0.05034613413502603
2004-07-31,-0.023162089645052647
2004-08-31,0.07248250268570867
2004-09-30,0.014389501598888032
2004-10-31,0.06024864124422985
2004-11-30,-0.02700720663764993
2004-12-31,0.04234269446636807
2005-01-31,-0.014436242132855708
2005-02-28,0.011539320008718157
2005-03-31,-0.058951795323616094
2005-04-30,-0.029688191913208525
2005-05-31,0.04878161592086454
2005-06-30,0.013553788273629862
2005-07-31,0.01689331445365972
2005-08-31,0.012031173761066504
2005-09-30,-0.01544461359199565
2005-10-31,-0.017463908901084797
2005-11-30,0.007751781295543573
2005-12-31,-0.03655843505267688
2006-01-31,-0.014440417074719486
2006-02-28,0.029123420656543893
2006-03-31,0.006753170922656102
2006-04-30,-0.035081236572078456
2006-05-31,-0.0015080673773238615
2006-06-30,-0.02989869701970419
2006-07-31,-0.028535716568874242
2006-08-31,0.03550451747523637
2006-09-30,0.04466581300864674
2006-10-31,-0.018583398105274745
2006-11-30,0.05320677801489483
2006-12-31,-0.013977264133111992
2007-01-31,-0.021315377432232545
2007-02-28,0.012504299515553324
2007-03-31,-0.01274098512104007
2007-04-30,-0.0326161391143607
2007-05-31,-0.0011021131833177066
2007-06-30,-0.027884310208994713
2007-07-31,-0.026910061191804596
2007-08-31,0.026254849029677146
2007-09-30,0.019796198305280163
2007-10-31,-0.00796568998919199
2007-11-30,0.013062477135669232
2007-12-31,-0.04566133156269321
2008-01-31,0.03899329068523118
2008-02-29,0.028570136735559467
2008-03-31,0.09058156492008348
2008-04-30,-0.008491916477936262
2008-05-31,0.060596376370784834
2008-06-30,-0.0242657223310576
2008-07-31,-0.02896248475335951
2008-08-31,-0.06121422825630296
2008-09-30,0.058524029011744
2008-10-31,0.015453229106043444
2008-11-30,-0.05596369704875637
2008-12-31,-0.07178371557699362
2009-01-31,0.004762201251966941
2009-02-28,-0.03514766222362284
2009-03-31,-0.1632149025340304
2009-04-30,-0.14257854580732088
2009-05-31,0.07406456046519991
2009-06-30,0.009346096977026389
2009-07-31,-0.08270899354920776
2009-08-31,-0.007121662711669884
2009-09-30,0.02338008001152084
2009-10-31,0.01698343993137339
2009-11-30,0.07595480756621428
2009-12-31,-0.07260083630524117
2010-01-31,0.038683696585359986
2010-02-28,-0.0012287958480459577
2010-03-31,-0.012589697819873246
2010-04-30,0.05166255226552902
2010-05-31,-0.0394264731079887
2010-06-30,0.0013560886081338541
2010-07-31,0.039493791360701185
2010-08-31,0.04512705363277568
2010-09-30,0.027705412576919497
2010-10-31,0.031276627192290476
2010-11-30,-0.06594219954048425
2010-12-31,-0.02430838333385389
2011-01-31,0.010212171278931786
2011-02-28,-0.00482389738821078
2011-03-31,0.031217827591060253
2011-04-30,0.005804204898724685
2011-05-31,0.001255794590885765
2011-06-30,0.046224512333717604
2011-07-31,-0.015503158768970966
2011-08-31,-0.036336599430947095
2011-09-30,0.049243506057300726
2011-10-31,0.006460027388139259
2011-11-30,0.026141141554232583
2011-12-31,-0.06893113517951771
2012-01-31,0.011231357088731506
2012-02-29,0.015549156404654811
2012-03-31,0.02119970466328341
2012-04-30,0.0749502180752219
2012-05-31,-0.035418187645687514
2012-06-30,0.029206257064920693
2012-07-31,0.009603406733513668
2012-08-31,-0.04000317091845971
2012-09-30,-0.05823153161166021
2012-10-31,0.010063784635156075
2012-11-30,-0.06503659034537293
2012-12-31,-0.06407884297582991
2013-01-31,0.02415297003264913
2013-02-28,0.01645291674742961
2013-03-31,0.008926675788032827
2013-04-30,-0.023701385271876187
2013-05-31,0.022033450608976782
2013-06-30,-0.0008554293158778703
2013-07-31,-0.015855387359597628
2013-08-31,0.025242106904558442
