claim_scope,window,ddof,min_periods_policy,min_periods,annual_risk_free_rate,finite_observations,minimum,maximum,mean,sample_sd_across_series,final,section_minimum_matches,section_maximum_matches,section_mean_matches,section_sd_matches,section_claim_cells_matching,longer_lower_1_1_matches_mean_or_final,longer_upper_1_4_matches_mean_or_final,longer_both_endpoints_match,paper_result_credit,interpretation
section_4_3_explicit_20_day,20,0,expanding_start_min_2,2,0.0,164,-5.404342903370737,14.62796800233773,2.253361549063462,3.630562216122572,3.8883323324435795,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,0,expanding_start_min_2,2,0.02,164,-5.551019433003231,14.377896558310711,2.0941973720259988,3.606015961986926,3.698322193861451,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,0,full_window_only,20,0.0,146,-5.404342903370737,10.565329851454276,1.7949991341230989,3.382690824959226,3.8883323324435795,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,0,full_window_only,20,0.02,146,-5.551019433003231,10.433018420083242,1.6409466780959887,3.361065872749899,3.698322193861451,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,1,expanding_start_min_2,2,0.0,164,-5.267501884798236,10.343535369432843,2.150896430904414,3.4382877364555493,3.7898775588598927,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,1,expanding_start_min_2,2,0.02,164,-5.410464481752054,10.16884849361551,1.9970706494849324,3.4165523354964917,3.604678584441027,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,1,full_window_only,20,0.0,146,-5.267501884798236,10.297809724719588,1.7495487409408008,3.2970391802949752,3.7898775588598927,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
section_4_3_explicit_20_day,20,1,full_window_only,20,0.02,146,-5.410464481752054,10.16884849361551,1.5993969802199037,3.2759617841049122,3.604678584441027,False,False,False,False,0,False,False,False,False,standard 20-day convention conflicts with all four displayed claims
extended_validation_unspecified_longer_window,21,0,expanding_start_min_2,2,0.0,164,-5.875205707104348,14.62796800233773,2.238622588000083,3.5941319279834,2.5765495659887576,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,0,expanding_start_min_2,2,0.02,164,-6.024698528713272,14.377896558310711,2.080111649136239,3.5691136761535627,2.392936837220081,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,0,full_window_only,21,0.0,145,-5.875205707104348,9.952060731223728,1.7636458789975797,3.3431312091305454,2.5765495659887576,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,0,full_window_only,21,0.02,145,-6.024698528713272,9.818963356696603,1.6105000649342442,3.3210671342186022,2.392936837220081,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,1,expanding_start_min_2,2,0.0,164,-5.733613678150771,10.343535369432843,2.138434035929245,3.404758765643514,2.51445490940394,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,1,expanding_start_min_2,2,0.02,164,-5.879503733664203,10.166708155580226,1.985079673833094,3.382576702337825,2.3352672340043092,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,1,full_window_only,21,0.0,145,-5.733613678150771,9.712216793589468,1.721142141969118,3.262561990867017,2.51445490940394,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,21,1,full_window_only,21,0.02,145,-5.879503733664203,9.582327056079187,1.5716871308529463,3.24102965855091,2.3352672340043092,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,0,expanding_start_min_2,2,0.0,164,-5.6860060419164835,14.62796800233773,2.2325443903662117,3.547450155692806,2.0025884467369433,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,0,expanding_start_min_2,2,0.02,164,-5.838425619260275,14.377896558310711,2.074627937674926,3.5219119301559796,1.8174511530366204,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,0,full_window_only,22,0.0,144,-5.6860060419164835,7.479337280690564,1.7466209676790252,3.2943898224799564,2.0025884467369433,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,0,full_window_only,22,0.02,144,-5.838425619260275,7.314476081053243,1.5943317439977438,3.2718009171284113,1.8174511530366204,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,1,expanding_start_min_2,2,0.0,164,-5.555275784345274,10.343535369432843,2.134202105266934,3.3605757667386107,1.956545776095881,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,1,expanding_start_min_2,2,0.02,164,-5.70419099492298,10.166708155580226,1.9812796968975512,3.3378999013323414,1.7756650811246237,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,1,full_window_only,22,0.0,144,-5.555275784345274,7.307375506123566,1.7064633935750424,3.2186465983507717,1.956545776095881,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,22,1,full_window_only,22,0.02,144,-5.70419099492298,7.146304725795196,1.5576755396233055,3.196577047602984,1.7756650811246237,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,23,0,expanding_start_min_2,2,0.0,164,-5.191676664934019,14.62796800233773,2.234906758939714,3.5148841766622327,1.6038010750960379,False,False,False,False,0,False,False,False,False,no longer-window endpoint coincidence
extended_validation_unspecified_longer_window,23,0,expanding_start_min_2,2,0.02,164,-5.3454806397750625,14.377896558310711,2.0774690558652518,3.488801815468081,1.416018366918367,False,False,False,False,0,False,True,False,False,numeric endpoint coincidence under one of many unreported longer-window protocols
