commit,author_date,subject,containing_refs,tracked_files,python_files,portfolio_snapshots,stock_prices_csv,benchmark_data_files,paper_result_credit
be0ac36e54f619c5a4ef11571e9538f76ecd8357,2025-09-01T02:12:48-07:00,Initial commit,main;origin;origin/main;origin/validation_fixes,1,0,0,0,0,none
63977bfbb7a68912c0fb86e0c4db57f3e7cdd793,2025-09-01T02:14:09-07:00,migrated project,main;origin;origin/main;origin/validation_fixes,825,93,166,0,0,author_output_audit_only
1793abf29ecde15597cb2bb4cb345accf655531f,2025-09-01T02:18:00-07:00,Update README.md,main;origin;origin/main;origin/validation_fixes,825,93,166,0,0,author_output_audit_only
9d1f10a89802bed8abd81cdda88081ef1f566a84,2025-10-22T19:37:39-07:00,Add AAAI Workshop Enhancement Frameworks,origin/validation_fixes,845,103,166,0,0,none
