formation_month,label_cutoff,training_start,training_end,policy_training_months,training_rows,ridge_coefficient_norm,mean_group_relative_advantage,mean_best_second_reward_margin,finite_scores,label_threshold_q03,label_threshold_q15,label_threshold_q53,label_threshold_q85,action_count__strong_sell,action_count__sell,action_count__hold,action_count__buy,action_count__strong_buy
1999-07-31,1999-01-31,1994-02-28,1999-01-31,60,44799,1.7018357358984488,0.5357192755597764,0.2312397134801953,1000,-1.4266878190557886,-0.6853025527452088,0.38999446504182966,1.353877760650407,0,0,0,1000,0
1999-08-31,1999-02-28,1994-03-31,1999-02-28,60,44682,1.6998991411196895,0.5356968950693479,0.23378870138850377,1000,-1.418296105204342,-0.6682876146924063,0.40321558055977913,1.3614505298763548,0,0,0,1000,0
1999-09-30,1999-03-31,1994-04-30,1999-03-31,60,44570,1.6984458672645195,0.5356337311972246,0.23635847187408046,1000,-1.4157856581552337,-0.6608344789537257,0.41223827102946103,1.3686502363189386,0,0,0,1000,0
1999-10-31,1999-04-30,1994-05-31,1999-04-30,60,44453,1.6978251516203782,0.535637346265689,0.23670974584770293,1000,-1.4135997845786359,-0.6599956519199823,0.41009128233745484,1.3676451198829718,0,0,0,1000,0
1999-11-30,1999-05-31,1994-06-30,1999-05-31,60,44324,1.698843909192337,0.5358567209089664,0.23836290818428812,1000,-1.4184658273284327,-0.6671387655967883,0.4093767728519796,1.3693959981236443,0,0,0,1000,0
1999-12-31,1999-06-30,1994-07-31,1999-06-30,60,44179,1.7019071236864485,0.536233849931618,0.24155885576877392,1000,-1.440934696521944,-0.6862772293797672,0.3984436857758015,1.365581827066235,0,0,0,1000,0
2000-01-31,1999-07-31,1994-08-31,1999-07-31,60,44022,1.703909818779512,0.5365583536186789,0.24017108028313242,1000,-1.4537484277690538,-0.6986960236179206,0.3936276813162588,1.363889208645653,0,0,0,1000,0
2000-02-29,1999-08-31,1994-09-30,1999-08-31,60,43849,1.7049266191535952,0.5368078888322438,0.2431893602363025,1000,-1.4521638491359414,-0.6937732066908417,0.3997189947790765,1.3691594230625825,0,0,0,1000,0
2000-03-31,1999-09-30,1994-10-31,1999-09-30,60,43639,1.7037412035210358,0.5370603914808452,0.24110235597921362,1000,-1.4506029441853159,-0.689270573079699,0.40666147596013563,1.3778971244408091,0,0,0,1000,0
2000-04-30,1999-10-31,1994-11-30,1999-10-31,60,43426,1.7055958623292444,0.537319877201553,0.24016141202996005,1000,-1.4576183396240057,-0.6904028716803061,0.4103393556717261,1.3841171357341082,0,0,0,1000,0
2000-05-31,1999-11-30,1994-12-31,1999-11-30,60,43212,1.710338510564946,0.5380395074888036,0.23938189929637957,1000,-1.4698229509523824,-0.7079987239866983,0.39623623872160535,1.3793931869458935,0,0,0,1000,0
2000-06-30,1999-12-31,1995-01-31,1999-12-31,60,42999,1.7188448558822917,0.5388074002385768,0.24107367679113628,1000,-1.4800403007885694,-0.726274994178123,0.37544458370351463,1.3703964611394446,0,0,0,1000,0
2000-07-31,2000-01-31,1995-02-28,2000-01-31,60,42774,1.7273089263019912,0.5391732920425668,0.2388699042828885,1000,-1.4885471550917475,-0.7384849549480517,0.36099100007726165,1.3574912294076942,0,0,0,1000,0
2000-08-31,2000-02-29,1995-03-31,2000-02-29,60,42553,1.7236238955780483,0.5387155477152424,0.2371276809018427,1000,-1.490242293375654,-0.7424029338556198,0.3611058188794354,1.3669713651125752,0,0,0,1000,0
2000-09-30,2000-03-31,1995-04-30,2000-03-31,60,42327,1.7279436503423629,0.5386065302730205,0.2396795014556675,1000,-1.4934560681256022,-0.7533632939331255,0.34954453212597564,1.3631451957635905,0,0,0,1000,0
2000-10-31,2000-04-30,1995-05-31,2000-04-30,60,42111,1.722405805868084,0.5385555292036971,0.23668870608310846,1000,-1.4951161953142271,-0.7612518080218611,0.33577320449533454,1.3563625163118735,0,0,0,1000,0
2000-11-30,2000-05-31,1995-06-30,2000-05-31,60,41906,1.7242430565107345,0.5385421138682839,0.23748260520245998,1000,-1.500263468821863,-0.7686190612456769,0.3255024630897445,1.3483546535386606,0,0,0,1000,0
2000-12-31,2000-06-30,1995-07-31,2000-06-30,60,41697,1.7198268742531315,0.5383654432333496,0.2355637055862319,1000,-1.5045958762172504,-0.7742995703016099,0.31415154192411343,1.344590612155065,0,0,0,1000,0
2001-01-31,2000-07-31,1995-08-31,2000-07-31,60,41494,1.7191934490306202,0.5383487257908197,0.23210874137493726,1000,-1.5036166067370351,-0.771750550183001,0.3154974627180188,1.3438853087338376,0,0,0,1000,0
2001-02-28,2000-08-31,1995-09-30,2000-08-31,60,41296,1.7162317298087193,0.5381165792398699,0.2378988248496284,1000,-1.5099794649431506,-0.7811672696304353,0.3050630820296512,1.335993910272224,0,0,0,1000,0
2001-03-31,2000-09-30,1995-10-31,2000-09-30,60,41095,1.7164434749313267,0.5379049272627274,0.2371235508961833,1000,-1.5083890159331255,-0.7832299667787033,0.30362586391153495,1.3343799126928197,0,0,0,1000,0
2001-04-30,2000-10-31,1995-11-30,2000-10-31,60,40900,1.7170768291994158,0.5378240226266928,0.2338081323191939,1000,-1.511126650225779,-0.7900364690704182,0.28830126001552264,1.3131093111481764,0,0,0,1000,0
2001-05-31,2000-11-30,1995-12-31,2000-11-30,60,40711,1.7168572421415358,0.5377402573878768,0.23753165702512752,1000,-1.5128878091340254,-0.7909648736544876,0.28566827808584533,1.312918389860298,0,0,0,1000,0
2001-06-30,2000-12-31,1996-01-31,2000-12-31,60,40528,1.7177120929185712,0.5373935466951368,0.23384116826114656,1000,-1.5135685243528418,-0.80051346568609,0.2740512484178452,1.306514294339921,0,0,0,1000,0
2001-07-31,2001-01-31,1996-02-29,2001-01-31,60,40350,1.7180862483298507,0.5373287997763507,0.23534315216628982,1000,-1.513434962227882,-0.8018407195065275,0.2674100938051742,1.2997006636860635,0,0,0,1000,0
2001-08-31,2001-02-28,1996-03-31,2001-02-28,60,40183,1.7193389298172623,0.5373545439647291,0.23445237335708946,1000,-1.5137036804767428,-0.8016188146169381,0.26152327076268506,1.2958260616911161,0,0,0,1000,0
2001-09-30,2001-03-31,1996-04-30,2001-03-31,60,40016,1.7191000176517257,0.537250565334007,0.23610868490098305,1000,-1.5134375235750182,-0.7995121542527316,0.26576594024947836,1.294708268987574,0,0,0,1000,0
2001-10-31,2001-04-30,1996-05-31,2001-04-30,60,39846,1.7187100132340287,0.5368460870060459,0.230651261990558,1000,-1.5115800912557615,-0.7934740037057979,0.2663763934284034,1.2947384654946381,0,0,1,999,0
2001-11-30,2001-05-31,1996-06-30,2001-05-31,60,39674,1.7198547863874956,0.5364003342992778,0.22778749934903827,1000,-1.513106953160587,-0.796943338632728,0.2592469612319108,1.2914741237868124,0,0,0,1000,0
2001-12-31,2001-06-30,1996-07-31,2001-06-30,60,39500,1.7184311196235864,0.5361359961564329,0.23075536808633496,1000,-1.5181442892225405,-0.8008446770174521,0.2524114045900545,1.2876327253000006,0,0,3,997,0
2002-01-31,2001-07-31,1996-08-31,2001-07-31,60,39330,1.7179028426533185,0.5360218119872456,0.23216601685034646,1000,-1.526192452161781,-0.8150299223152944,0.2264905542981783,1.2604184994480143,0,0,0,1000,0
2002-02-28,2001-08-31,1996-09-30,2001-08-31,60,39157,1.7175417565337965,0.5361785414914229,0.23157404845880533,1000,-1.5299186446491695,-0.8246486837290865,0.2060884020956525,1.2265277411813074,0,0,3,997,0
