path,blob,first_reachable_commit,size_bytes,training_completion_lines,saved_checkpoint_basenames,exact_released_checkpoint_basenames,exact_paper_relevant_checkpoint_basenames,contains_paper_evaluation_metric_labels,paper_evaluation_metric_labels,status,paper_result_credit
output_cppo.log,2afc93eaf5a1c603903ebb6f51ed816041757e42,fe1d95a8931c373cedd51132415d744bf93651c8,278723,8,agent_cppo_100_epochs_20k_steps.pth,agent_cppo_100_epochs_20k_steps.pth,agent_cppo_100_epochs_20k_steps.pth,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_cppo_deepseek_risk_100_epochs.log,8a799d8f19a31227680ee09bcfba826096307a20,fe1d95a8931c373cedd51132415d744bf93651c8,287547,8,agent_cppo_deepseek_100_epochs_20k_steps.pth,agent_cppo_deepseek_100_epochs_20k_steps.pth,agent_cppo_deepseek_100_epochs_20k_steps.pth,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_cppo_deepseek_risk_100_epochs_01.log,23bfc7ccaa996b03611b9390a0155a697c5248c8,fe1d95a8931c373cedd51132415d744bf93651c8,289628,8,agent_cppo_deepseek_100_epochs_20k_01.pth,,,False,,training_only_unreleased_checkpoint_filename,False
output_cppo_deepseek_risk_100_epochs_99_101.log,fca78325e42c90ed124e167ac703345d0073c4d2,fe1d95a8931c373cedd51132415d744bf93651c8,287412,8,agent_cppo_deepseek_100_epochs_20k_steps_99_101.pth,,,False,,training_only_unreleased_checkpoint_filename,False
output_cppo_llama_risk.log,28be8efbf2ecd9febe7f21b1388370b869cdc964,fe1d95a8931c373cedd51132415d744bf93651c8,44718,4,agent_cppo_llama_20_epochs_20k_steps.pth,agent_cppo_llama_20_epochs_20k_steps.pth,,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_cppo_llama_risk_100_epochs_98_95.log,0e125a1c8e3e67150d50af7e69c73e5a1b127006,fe1d95a8931c373cedd51132415d744bf93651c8,19546,0,,,,False,,incomplete_training_log_no_checkpoint_saved,False
output_cppo_risk_deepseek.log,cbfc38df084b92318753c947ff03935e7692d27d,fe1d95a8931c373cedd51132415d744bf93651c8,45721,4,agent_deepseek_20_epochs_20k_steps.pth,agent_deepseek_20_epochs_20k_steps.pth,,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_ppo.log,991544294346c0b082311757625ede1c6607d822,fe1d95a8931c373cedd51132415d744bf93651c8,156852,8,agent_ppo_100_epochs_20k_steps.pth,agent_ppo_100_epochs_20k_steps.pth,agent_ppo_100_epochs_20k_steps.pth,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_ppo_deepseek.log,c908a1e74ed53caf0323ef53e55bf54d8ca86590,fe1d95a8931c373cedd51132415d744bf93651c8,147644,8,agent_ppo_deepseek_100_epochs_20k_steps.pth,agent_ppo_deepseek_100_epochs_20k_steps.pth,agent_ppo_deepseek_100_epochs_20k_steps.pth,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_ppo_deepseek_100_epochs_01.log,2a3ba705d7f0ff6e6470980ec12dd7577400a316,fe1d95a8931c373cedd51132415d744bf93651c8,146819,8,agent_ppo_deepseek_100_epochs_20k_steps_01.pth,agent_ppo_deepseek_100_epochs_20k_steps_01.pth,agent_ppo_deepseek_100_epochs_20k_steps_01.pth,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_ppo_deepseek_100_epochs_96_104_bumps.log,7434c6ff7ae913755f1ac3a23d9b59abf39b0dd5,fe1d95a8931c373cedd51132415d744bf93651c8,48249,0,,,,False,,incomplete_training_log_no_checkpoint_saved,False
output_ppo_deepseek_100_epochs_99_101_bumps.log,3c04757fca63ac76442bc4c446b37a11e9bb1c5d,fe1d95a8931c373cedd51132415d744bf93651c8,147753,8,agent_ppo_deepseek_100_epochs_20k_steps_99_101_bumps.pth,,,False,,training_only_unreleased_checkpoint_filename,False
output_ppo_llama.log,0a142dc6dd11cab32ab151a21e127ad9a6fa7dab,fe1d95a8931c373cedd51132415d744bf93651c8,22574,4,agent_ppo_llama_20_epochs_20k_steps.pth,agent_ppo_llama_20_epochs_20k_steps.pth,,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_ppo_llama_100_epochs_98_95_sentiment.log,8f37a2971817eb76a4016477f4a20bf2c794906e,fe1d95a8931c373cedd51132415d744bf93651c8,151456,8,agent_ppo_llama_100_epochs_20k_steps.pth,agent_ppo_llama_100_epochs_20k_steps.pth,,False,,training_only_exact_released_checkpoint_filename_lineage,False
output_ppo_llm_deepseek.log,535fcaceae530956b35abe2fc5871658d07315eb,fe1d95a8931c373cedd51132415d744bf93651c8,22590,4,agent_ppo_deepseek_20_epochs_20k_steps.pth,agent_ppo_deepseek_20_epochs_20k_steps.pth,,False,,training_only_exact_released_checkpoint_filename_lineage,False
