release_kind,repository_commit,path,size_bytes,sha256_or_git_oid,last_commit_date,paper_input_or_checkpoint
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,.gitattributes,1519,a6344aac8c09253b3b630fb776ae94478aa0275b,2025-02-06T06:39:43.000Z,False
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_cppo_100_epochs_20k_steps.pth,5730119,c7017d10df45958f1a09ee8e009d8c99346be867ff312b03876ed1b8cfb289b1,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_cppo_20_epochs_20k_steps.pth,5730102,6c9771b11a99c389877c35317ef7d542208a35264c47051ce460791e207ec985,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_cppo_deepseek_100_epochs_20k_steps.pth,6418400,b8dc3e1cc247a16c258d6940644008f3a491f0dd962145d37659a66c55b99d44,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_cppo_deepseek_100_epochs_20k_steps_01.pth,6418349,672fa6bfc0e656f724833fac2046f04f5598fd9a87a1ea457bcaf9b1a2edcda0,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_cppo_deepseek_100_epochs_20k_steps_1.pth,6418519,0995acb84653b5ffbfaab13fed295ff1efa8443df66f6dfe80e0ac82280fe53d,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_cppo_llama_20_epochs_20k_steps.pth,6418332,d9f0fb6fe944f01a6f5e38c6fe6a1e92369b92252e29ed16101766e92b9d8087,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_deepseek_20_epochs_20k_steps.pth,6418298,98d4c116d6e17ade1ed6710488446c3d10fe01fbd7350974bbf146641868b693,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_100_epochs_20k_steps.pth,5730102,f138a91c36e0b88b27d58bf41549de24717aec48e7107641f3dfa1838b51177b,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_20_epochs_20k_steps.pth,5730085,238632dc96b40aa21a3993e1cac90578b7f84ea8e6811aebcfc4cbf3ac37443e,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_deepseek_100_epochs_20k_steps.pth,6074319,ae05dd713d1c0e8a880daad0a3be49db0314c50211805272f8a61dd84794ef84,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_deepseek_100_epochs_20k_steps_01.pth,6074370,0969fc0b9d4c49aa816b2ec88dd321ffa619d765df27d79ef8975797747b8d5b,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_deepseek_100_epochs_20k_steps_1.pth,6074540,3f54f756654dc9a23c9c6fe6836a0be5ac03cc1fecf8952f020e58f63291fb8c,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_deepseek_20_epochs_20k_steps.pth,6074302,3e799bdf91c48654b4e7a0f3c090abff69b45a5ec88f592511c1dd34bc446d41,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_llama_100_epochs_20k_steps.pth,6074268,06a1dbc0e65a7868c9c98db19c53311fc23ffc954faab3b913df4f4c05aa7cd9,2025-02-06T06:42:03.000Z,True
checkpoint,2153a7266aac75f9613fdae1bde09dbd38691c59,agent_ppo_llama_20_epochs_20k_steps.pth,6074251,67c515df96ed32e57a37566d86c3547c63987d9e758ebe2984749a6f771cedfe,2025-02-06T06:42:03.000Z,True
