stored_protocol_file,current_rerun_file,action_mode,seed,strategy,stored_final_asset,current_final_asset,final_asset_absolute_difference,final_asset_relative_difference,stored_cvar,current_cvar,cvar_absolute_difference,stored_rachev_ratio,current_rachev_ratio,rachev_absolute_difference,all_three_stored_metrics_exact_on_current_rerun,current_information_ratio,paper_information_ratio,information_ratio_display_precision_match,benchmark_common_dates,benchmark_aligned_returns,benchmark_first_common_date,benchmark_last_common_date,benchmark_alignment,released_notebook_alignment_reused,native_asset_date_path_sha256,paper_result_credit
native_seed0.json,native_current_seed0.json,sample,0,CPPO,2104011.195838093,2093988.6801806688,10022.515657423995,0.004763527721358782,-0.04062067102343483,-0.040917323468795126,0.00029665244536029867,1.099113577132853,1.1025055848862457,0.0033920077533926563,False,0.00039248391697077736,-0.0148,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,380c6280bf0a2879cce1bb9673ea448e01be61cdce0284fbdf7a6046be18e714,False
native_seed0.json,native_current_seed0.json,sample,0,CPPO-DeepSeek 0.1%,1049017.8628593916,1049017.8628593916,0.0,0.0,-0.048123436769352934,-0.048123436769352934,0.0,0.9322891764017808,0.9322891764017808,0.0,True,-0.04743679223234014,-0.006,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,68112309f4a39085b77d44f060f17301da8baaeb002330fa6f599298c496cab3,False
native_seed0.json,native_current_seed0.json,sample,0,CPPO-DeepSeek 1%,2791432.451286758,2791432.451286758,0.0,0.0,-0.030931779797987582,-0.030931779797987582,0.0,0.9934852585564843,0.9934852585564843,0.0,True,0.01281276537009926,-0.0032,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,d7a62d224605b6dbb260fa4b6a93b672c82097eec85ea5ceb886e67d8215cd3c,False
native_seed0.json,native_current_seed0.json,sample,0,CPPO-DeepSeek 10%,2013326.7697610033,2564403.690675608,551076.9209146046,0.27371459476497273,-0.04343791561078373,-0.04437299030081413,0.0009350746900304019,0.867346440408459,0.8926040263057071,0.025257585897248136,False,0.013780819651715702,0.0078,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,1a27ef229b069e2550b71c5821b74e8c8527973eb4e1f7fe52d5b1fb70455b02,False
native_seed0.json,native_current_seed0.json,sample,0,PPO,3900008.202535575,3261152.66319382,638855.5393417547,0.1638087681267966,-0.03550651948161756,-0.03548265552337253,2.3863958245030903e-05,1.0638255358976725,1.046508068320346,0.01731746757732644,False,0.0038631054150068565,0.01,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,d9e4dc37681c2ba6fe35eecead7fcb1d97412c3adf97da1a797e717a4e38bbd6,False
native_seed0.json,native_current_seed0.json,sample,0,PPO-DeepSeek 0.1%,2003612.016320925,2003612.016320925,0.0,0.0,-0.03591728008824669,-0.03591728008824669,0.0,0.9141726419324735,0.9141726419324735,0.0,True,-0.028883925041340932,-0.0011,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,341d53ee5646c50de7761bf279e82528d8173e9d129c3475625184ca9df9104d,False
native_seed0.json,native_current_seed0.json,sample,0,PPO-DeepSeek 1%,2982358.7368977414,2982358.7368977414,0.0,0.0,-0.04099007935221693,-0.04099007935221693,0.0,0.9286055199600978,0.9286055199600978,0.0,True,0.028529966012538845,-0.0252,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,6935bb878cccaa2fc3f484de0c528b7a12299bdb3521d48175f10143ea5da5ef,False
native_seed0.json,native_current_seed0.json,sample,0,PPO-DeepSeek 10%,3200914.846517026,2189278.9600833915,1011635.8864336344,0.3160458603059728,-0.03667695769259524,-0.03658194797901409,9.500971358115257e-05,0.9314898513114745,0.9695988023008281,0.03810895098935352,False,-0.03595983020827154,-0.0093,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,c1332eee6a0e21422c91df32b7404bdd7a66978c4f3dd59cebf14fcc88ba517d,False
native_seed42.json,native_current_seed42.json,sample,42,CPPO,1229739.2349163266,1229739.2349163266,0.0,0.0,-0.044059711003164186,-0.044059711003164186,0.0,1.0561209081766303,1.0561209081766303,0.0,True,-0.03729824885487174,-0.0148,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,9d56478fd63e546b0f41611c0aa24f14537870ebf409eb7d6c1e65f92dcfb742,False
native_seed42.json,native_current_seed42.json,sample,42,CPPO-DeepSeek 0.1%,954821.2137816718,954821.2137816718,0.0,0.0,-0.047821836140686406,-0.047821836140686406,0.0,0.973574160380427,0.973574160380427,0.0,True,-0.04757106409834535,-0.006,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,772c6c9d041590c7d7057f2ef6a0114941cfdac88b14ec6a0ecffd81bb512550,False
native_seed42.json,native_current_seed42.json,sample,42,CPPO-DeepSeek 1%,3016040.5690863533,3016040.5690863533,0.0,0.0,-0.03167937096826603,-0.03167937096826603,0.0,1.0000582514983758,1.0000582514983758,0.0,True,0.01683297676825932,-0.0032,False,936,935,2020-02-11,2023-12-28,environment_native_asset_memory_paired_with_date_memory;intersection_with_pinned_NDX_close_dates,False,f5eab6f4c9a7bdaec281082a421c48fcd14f4b0b598e8158d759a03ef654bbec,False
