blob,path,first_divergent_commit,sha256,python_version,notebook_cells,stored_output_objects,stored_metric_entries,normalized_metric_output_sha256,paper_numeric_tokens_matched,loads_author_released_checkpoint_snapshot,classification,paper_result_credit
2dceec4c9bde767bc842d02d5e8695503e35c903,FinRL_DeepSeek_backtest.ipynb,7bcd8b4d12ec63d08192acb1c9eb2a652a2e7a0d,d11241c718ae39d0045f1bae28af7b5e37f3636cc540d9338f9a1e3057221b9d,3.10.12,97,13,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,True,community_initialization_fix_no_metric_output,False
4b74deee497b74321854191f9097392cd7f50baf,FinRL_DeepSeek_backtest.ipynb,3a9972ecc80d79601c91084c6b06080b0b2261d6,6289b83aeb48890b2dacb4d8f8e540a2f87d8c5d622afca3d80c5bd2f73c3ae7,3.11.9,104,73,33,8071c92d0e71f2fedee64c68ab2900c05f220df87c0edaf4ef78e4e27915da98,0,True,community_released_checkpoint_backtest_rerun,False
