block,train_start,train_end,validation_start,validation_end,test_start,test_end,test_months,proposal_count,unique_programs,best_validation_fitness,best_terms,best_wrapper,fitted_weights,term_count,factor_family_count,minimum_finite_scores
1,1993-07-31,1997-06-30,1997-07-31,1999-06-30,1999-07-31,2001-06-30,24,150,145,0.6741156644413175,identity__ret_12_1|identity__ret_6_1,quality_confirm,identity__ret_12_1=0.632804439798|identity__ret_6_1=-0.367195560202,2,1,1000
2,1995-07-31,1999-06-30,1999-07-31,2001-06-30,2001-07-31,2003-06-30,24,150,149,1.7451122393780762,identity__be_me|identity__ret_6_1|identity__rvol_21d,quality_confirm,identity__be_me=-0.0533406185308|identity__ret_6_1=0.294609644668|identity__rvol_21d=-0.652049736802,3,3,1000
3,1997-07-31,2001-06-30,2001-07-31,2003-06-30,2003-07-31,2005-06-30,24,150,144,0.9462336984808737,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1|interaction__gp_at__ocf_at|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch,identity__ret_12_1=0.295025493201|identity__ret_1_0=-0.244886923487|identity__ret_6_1=0.229037438968|interaction__gp_at__ocf_at=0.128591553666|pair_mean__ret_1_0__ret_3_1=-0.102458590678,5,2,1000
4,1999-07-31,2003-06-30,2003-07-31,2005-06-30,2005-07-31,2007-06-30,24,150,134,0.5374940194055335,identity__be_me|identity__niq_su|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch,identity__be_me=0.340519202714|identity__niq_su=0.0596202938094|identity__ret_1_0=-0.318936192384|identity__ret_6_1=0.280924311092,4,3,1000
5,2001-07-31,2005-06-30,2005-07-31,2007-06-30,2007-07-31,2009-06-30,24,150,150,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,identity,pair_mean__be_me__z_score=0.968623630911|pair_mean__ocf_at__z_score=-0.0313763690892,2,1,1000
6,2003-07-31,2007-06-30,2007-07-31,2009-06-30,2009-07-31,2011-06-30,24,150,143,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm,identity__gp_at=-0.00401782513877|identity__saleq_su=-0.0786483232339|interaction__ret_1_0__niq_su=0.0119731726766|pair_mean__be_me__ocf_at=0.855189669058|pair_mean__rvol_21d__rmax5_21d=0.0501710098932,5,4,1000
7,2005-07-31,2009-06-30,2009-07-31,2011-06-30,2011-07-31,2013-06-30,24,150,149,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch,identity__ocf_at=0.362859796805|interaction__gp_at__ocf_at=-0.30833564201|pair_mean__gp_at__ocf_at=0.328804561185,3,1,1000
8,2007-07-31,2011-06-30,2011-07-31,2013-06-30,2013-07-31,2015-06-30,24,150,146,0.5096123372333485,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|identity__turnover_126d|interaction__ret_12_1__gp_at,defensive_regime_switch,identity__ret_12_1=0.127980606538|identity__ret_6_1=-0.0761018668253|identity__rvol_21d=-0.30577118348|identity__turnover_126d=-0.221460830345|interaction__ret_12_1__gp_at=-0.268685512812,5,4,1000
9,2009-07-31,2013-06-30,2013-07-31,2015-06-30,2015-07-31,2017-06-30,24,150,141,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,identity,identity__gp_at=0.31499046118|identity__ret_12_1=0.238867089991|identity__ret_1_0=-0.24049493992|identity__ret_6_1=-0.20564750891,4,2,1000
10,2011-07-31,2015-06-30,2015-07-31,2017-06-30,2017-07-31,2019-06-30,24,150,142,0.377709933392935,identity__ret_1_0|identity__turnover_126d|pair_mean__ret_1_0__ret_6_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm,identity__ret_1_0=-0.198397601279|identity__turnover_126d=-0.236579444023|pair_mean__ret_1_0__ret_6_1=-0.0792821720606|pair_mean__rvol_21d__rmax5_21d=-0.485740782638,4,3,1000
11,2013-07-31,2017-06-30,2017-07-31,2019-06-30,2019-07-31,2021-06-30,24,150,145,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen,identity__gp_at=0.444028561294|identity__ret_12_1=0.110529341025|identity__ret_1_0=-0.445442097682,3,2,1000
12,2015-07-31,2019-06-30,2019-07-31,2021-06-30,2021-07-31,2023-06-30,24,150,142,0.7451982434642714,identity__ret_12_1|interaction__ret_6_1__turnover_126d|pair_mean__ret_3_1__ret_6_1,quality_confirm,identity__ret_12_1=-0.38122352456|interaction__ret_6_1__turnover_126d=0.258249951492|pair_mean__ret_3_1__ret_6_1=0.360526523948,3,2,1000
13,2017-07-31,2021-06-30,2021-07-31,2023-06-30,2023-07-31,2024-11-30,17,150,145,0.6961394852058123,identity__ocf_at|identity__rvol_21d|interaction__ret_1_0__niq_su|pair_mean__ret_1_0__ret_3_1,identity,identity__ocf_at=0.718223495625|identity__rvol_21d=-0.142186512256|interaction__ret_1_0__niq_su=-0.0564060492582|pair_mean__ret_1_0__ret_3_1=0.0831839428615,4,4,1000
