block,generation,patch_proposals,rewrite_proposals,parent_improvements,grid_insertions,migrants,island_cells,unique_programs,elite_vault_size,best_validation_fitness,best_terms,best_wrapper
1,1,8,2,7,10,0,14,15,15,0.5015234518249059,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,risk_dampen
1,2,6,4,4,10,0,23,25,20,0.5015234518249059,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,risk_dampen
1,3,7,3,5,9,0,32,35,20,0.5015234518249059,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,risk_dampen
1,4,7,3,3,8,0,40,45,20,0.5498682234380639,identity__ret_12_1|identity__saleq_su,quality_confirm
1,5,9,1,5,10,5,49,54,20,0.5498682234380639,identity__ret_12_1|identity__saleq_su,quality_confirm
1,6,8,2,3,8,0,55,64,20,0.5757719117234312,identity__ret_12_1|identity__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,quality_confirm
1,7,6,4,2,9,0,63,74,20,0.5757719117234312,identity__ret_12_1|identity__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,quality_confirm
1,8,5,5,1,9,0,71,84,20,0.5757719117234312,identity__ret_12_1|identity__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,quality_confirm
1,9,9,1,3,7,0,78,93,20,0.5757719117234312,identity__ret_12_1|identity__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,quality_confirm
1,10,7,3,2,6,5,85,103,20,0.5757719117234312,identity__ret_12_1|identity__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,quality_confirm
1,11,7,3,1,7,0,91,113,20,0.5757719117234312,identity__ret_12_1|identity__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,quality_confirm
1,12,8,2,3,6,0,95,120,20,0.6741156644413175,identity__ret_12_1|identity__ret_6_1,quality_confirm
1,13,7,3,1,5,0,99,128,20,0.6741156644413175,identity__ret_12_1|identity__ret_6_1,quality_confirm
1,14,8,2,2,9,0,105,137,20,0.6741156644413175,identity__ret_12_1|identity__ret_6_1,quality_confirm
1,15,9,1,1,8,5,112,145,20,0.6741156644413175,identity__ret_12_1|identity__ret_6_1,quality_confirm
