month,candidate_return
1999-07-31,-0.007227699032711824
1999-08-31,-0.007960077517724842
1999-09-30,-0.015921119494068485
1999-10-31,-0.001002956260552418
1999-11-30,-0.09014786620400438
1999-12-31,0.043876987879217386
2000-01-31,-0.08404580288229528
2000-02-29,0.06952593239395564
2000-03-31,0.030570843340510846
2000-04-30,0.0033336574182586567
2000-05-31,0.026695965744381198
2000-06-30,0.02242491190522863
2000-07-31,-0.029746625319184154
2000-08-31,0.031011506966852592
2000-09-30,0.00685680821312828
2000-10-31,0.05387340910732948
2000-11-30,-0.03771583735892206
2000-12-31,-0.013826831592945576
2001-01-31,0.06767374106419065
2001-02-28,0.007681010428408327
2001-03-31,-0.004714833194788378
2001-04-30,0.027131803096901965
2001-05-31,0.008834797183620275
2001-06-30,0.030933564717994588
2001-07-31,0.00910835321699406
2001-08-31,0.04594461535312925
2001-09-30,0.02513606912024895
2001-10-31,-0.03621746299931866
2001-11-30,-0.010898133783641673
2001-12-31,0.01315840194264105
2002-01-31,0.045400812793643275
2002-02-28,-0.012747071378935293
2002-03-31,0.024265911777671723
2002-04-30,0.004847236624016536
2002-05-31,0.024954741933667625
2002-06-30,0.027215562207146264
2002-07-31,0.016952091775405086
2002-08-31,0.028257140307808116
2002-09-30,-0.019266734899412056
2002-10-31,-0.04462987399491242
2002-11-30,0.03935520417732011
2002-12-31,-0.010271923878067576
2003-01-31,0.005049683459944489
2003-02-28,0.008493559905555179
2003-03-31,-0.03055178193246825
2003-04-30,-0.02497804828364141
2003-05-31,0.004791291044309608
2003-06-30,-0.0021832697011881464
2003-07-31,-0.012888630886303789
2003-08-31,0.01093893009825011
2003-09-30,-0.018577044776722517
2003-10-31,-0.010499526986526614
2003-11-30,0.0065855792819360486
2003-12-31,0.004784414141314095
2004-01-31,-0.004250180372705943
2004-02-29,-0.006549106087801488
2004-03-31,0.02031230437964182
2004-04-30,-0.004162066982947314
2004-05-31,-0.007898761063192337
2004-06-30,0.01748941701624128
2004-07-31,0.006630073080506323
2004-08-31,-0.01679817761018186
2004-09-30,-0.003058844261065513
2004-10-31,-0.014818933106903347
2004-11-30,-0.005374466571359357
2004-12-31,0.008074322397618083
2005-01-31,-0.019435871692270408
2005-02-28,0.0075131502614374235
2005-03-31,0.0037217359294594017
2005-04-30,-0.006241065540156723
2005-05-31,-0.01892642109447785
2005-06-30,-0.009078901865383428
2005-07-31,-0.007927356295004457
2005-08-31,-0.02270729351509311
2005-09-30,0.029858759042688084
2005-10-31,-0.0010636570825141493
2005-11-30,-0.007453067592025841
2005-12-31,-0.024069471164420195
2006-01-31,0.011468645142790558
2006-02-28,-0.006494516904554239
2006-03-31,-0.01341165005113757
2006-04-30,0.014245380465919387
2006-05-31,-0.008486968330160178
2006-06-30,0.010349653726425047
2006-07-31,0.011707563987850252
2006-08-31,-0.003190187647855896
2006-09-30,-0.007074621128421526
2006-10-31,-0.016715771498366828
2006-11-30,0.011460097197507185
2006-12-31,-0.003813003681881286
2007-01-31,-0.001917926559141707
2007-02-28,-0.003424083479395289
2007-03-31,-0.004363434720261461
2007-04-30,-0.012052472588373588
2007-05-31,-0.003904660208526842
2007-06-30,0.0022597907489821938
2007-07-31,0.008134533573911928
2007-08-31,0.0006630136970219669
2007-09-30,-0.005585069407875649
2007-10-31,0.024331345032316355
2007-11-30,6.632104957835629e-05
2007-12-31,0.013437222669018936
2008-01-31,0.030834508869013618
2008-02-29,0.006405857824606486
2008-03-31,-0.014519765855674428
2008-04-30,0.015045093584190409
2008-05-31,-0.019794996275127725
2008-06-30,0.036890454416528384
2008-07-31,0.007484689815431982
2008-08-31,0.03189399575354871
2008-09-30,0.017223497282024425
2008-10-31,0.01866884504322275
2008-11-30,0.00718796496079747
2008-12-31,0.017691716133552762
2009-01-31,-0.008018551547202702
2009-02-28,-0.025518844633766573
2009-03-31,-0.08238620485024417
2009-04-30,-0.03352797068787026
2009-05-31,0.023080152416919093
2009-06-30,-0.021680345853710432
2009-07-31,-0.02660730211624546
2009-08-31,-0.003670147318785636
2009-09-30,0.038076324054637636
2009-10-31,0.0018410183238258757
2009-11-30,-0.017867143294528678
2009-12-31,0.014616218320015521
2010-01-31,-0.004287681297273853
2010-02-28,-0.013094790025600775
2010-03-31,-0.014868538584285017
2010-04-30,0.0058931970372624555
2010-05-31,0.013514427261126241
2010-06-30,-0.012023614872740151
2010-07-31,0.013101213202616235
2010-08-31,-0.0053201373247773855
2010-09-30,-0.008586210724871104
2010-10-31,-0.011054203832468332
2010-11-30,-0.005478942587766194
2010-12-31,0.003177776982934645
2011-01-31,-0.007247469643783477
2011-02-28,-0.0060831212404522115
2011-03-31,-0.0012312497766465765
2011-04-30,-0.004964162854959089
2011-05-31,0.005771196420110293
2011-06-30,0.008962345213165144
2011-07-31,0.025198438203361987
2011-08-31,0.033451237692770086
2011-09-30,-0.01260737930833568
2011-10-31,0.015956805741475948
2011-11-30,0.021986278389676123
2011-12-31,-0.02762998115858
2012-01-31,-0.009393544046097926
2012-02-29,-0.004266274635141504
2012-03-31,0.015313050110212858
2012-04-30,0.018019494814337823
2012-05-31,0.0007270919526279592
2012-06-30,0.014633473888685793
2012-07-31,-0.00924442285995881
2012-08-31,-0.009411218541832512
2012-09-30,-0.012337472202894325
2012-10-31,0.005323296458964286
2012-11-30,-0.018473070044850153
2012-12-31,-0.002652485372935069
2013-01-31,0.0003984355273905662
2013-02-28,-0.011685060801223723
2013-03-31,0.006985386118901024
2013-04-30,-0.0055675871242446585
2013-05-31,0.0051868883051503275
2013-06-30,0.004902630520619167
2013-07-31,-0.007215154775390147
2013-08-31,-0.014182634406109047
2013-09-30,0.00441686645566327
2013-10-31,0.002317579790002733
2013-11-30,-0.008882702568889895
2013-12-31,-0.007517246557036584
2014-01-31,-0.006275941420622098
2014-02-28,0.018801569539300848
2014-03-31,0.0022580393861040523
2014-04-30,-0.0008841900695832488
2014-05-31,-0.013431442923932283
2014-06-30,0.012879391216815523
2014-07-31,0.0020187338308693833
2014-08-31,0.012222020654935557
2014-09-30,0.0020332820461812333
2014-10-31,-0.007499471181341491
2014-11-30,0.0007059022025920932
2014-12-31,0.00558559868871728
2015-01-31,-0.0013871998013167506
2015-02-28,-0.001380032456918304
2015-03-31,0.009255047543970286
2015-04-30,0.006603789613923096
2015-05-31,-0.0008292337361133407
2015-06-30,0.011670235328751215
2015-07-31,0.00010506114450421652
2015-08-31,0.015284879279141227
2015-09-30,-0.022150303072569582
2015-10-31,0.009264508347652915
2015-11-30,0.017609073949167806
2015-12-31,0.020688659392904984
2016-01-31,0.01036660146903332
2016-02-29,-0.003725541568929081
2016-03-31,-0.032271957748664704
2016-04-30,0.008745710861871946
2016-05-31,0.017058068147016044
2016-06-30,0.007637221740891074
2016-07-31,-0.0007712156649453786
2016-08-31,-0.010909039388192675
2016-09-30,0.011924593598755338
2016-10-31,-0.012288714757623154
2016-11-30,0.008956733368112013
2016-12-31,0.00393685965726314
2017-01-31,0.013566027069331668
2017-02-28,0.007795303020509254
2017-03-31,0.00320919401725713
2017-04-30,-0.0019830515641766177
2017-05-31,0.007990867247614818
2017-06-30,-0.0017119998399210972
2017-07-31,0.005068516968570284
2017-08-31,0.004894813298018169
2017-09-30,0.012852921862626914
2017-10-31,0.00202437329518525
2017-11-30,-0.008375123157270811
2017-12-31,-0.005447556976712459
2018-01-31,-0.004690987109504183
2018-02-28,0.01079086556662669
2018-03-31,-0.0006761002394676964
2018-04-30,-0.013857833835369338
2018-05-31,0.008521094658194919
2018-06-30,0.03243859570292254
2018-07-31,0.002350466032727548
2018-08-31,-0.002857880906506768
2018-09-30,0.03195333001857366
2018-10-31,0.014640122383541265
2018-11-30,-0.001765237880704708
2018-12-31,-0.008365721478809486
2019-01-31,-0.0011385285664211587
2019-02-28,0.0016875498720090784
2019-03-31,0.0011421393740835464
2019-04-30,0.028281476340091708
2019-05-31,-0.004417198141843183
2019-06-30,-0.006997301863122159
2019-07-31,0.011755156803858684
2019-08-31,0.01747369231448882
2019-09-30,-0.01330097438052122
2019-10-31,-0.015862943534132787
2019-11-30,-0.003882329644481972
2019-12-31,0.01054683014561932
2020-01-31,-0.015632539437087787
2020-02-29,0.018562421446495673
2020-03-31,-0.004940267426196764
2020-04-30,-0.009870705831267102
2020-05-31,-0.006348342633201098
2020-06-30,0.0010115665625183832
2020-07-31,-0.06318866081191435
2020-08-31,0.010243490907451368
2020-09-30,-0.009655136005569992
2020-10-31,-0.055256100219273706
2020-11-30,-0.03297012203314544
2020-12-31,-0.017868795724420447
2021-01-31,0.015138683146864222
2021-02-28,0.026983784988468165
2021-03-31,0.027273633871028533
2021-04-30,0.009315923104447921
2021-05-31,0.0037462369306563398
2021-06-30,0.03387146777647815
2021-07-31,-0.0014828104918321618
2021-08-31,-0.004796103720311544
2021-09-30,0.009701153146826432
2021-10-31,0.00491994465925091
2021-11-30,0.032816406296850405
2021-12-31,0.00894432737760784
2022-01-31,-0.012259078485466616
2022-02-28,0.0021980171588430603
2022-03-31,0.04415134836581235
2022-04-30,0.004390771247767031
2022-05-31,0.04236868102481829
2022-06-30,-0.010717003195444505
2022-07-31,-0.0018610721268130714
2022-08-31,0.022487606155449473
2022-09-30,-0.01172872932039078
2022-10-31,0.0011287188082660837
2022-11-30,0.022062636527541053
2022-12-31,-0.020293450940645764
2023-01-31,-0.02417583513527939
2023-02-28,-0.028736892156733924
2023-03-31,0.016929671603454724
2023-04-30,-0.02310295852508529
2023-05-31,-0.016434422638328006
2023-06-30,-0.002523571721695428
2023-07-31,0.02156545054555216
2023-08-31,0.016868817314904777
2023-09-30,0.011493208074902629
2023-10-31,-0.018185488227998925
2023-11-30,-0.023168420454349897
2023-12-31,0.016259001583362402
2024-01-31,-0.04179176194239221
2024-02-29,-0.028506072409541703
2024-03-31,0.0033437847245389586
2024-04-30,0.006950166811939252
2024-05-31,-0.028042205005804174
2024-06-30,0.03339241945306618
2024-07-31,0.01791424993597538
2024-08-31,-0.0080902101338321
2024-09-30,-0.0012503163624059586
2024-10-31,-0.017299696925528085
2024-11-30,-0.01035273645061524
