path,bytes,sha256,role,is_executable_system_source,replication_credit
ACM-Reference-Format.bst,90749,a9f66287ef90d08b22344a20963b170faec86e26df1553f50b05cbb90fb545f3,bibliography_or_typesetting_support,False,False
acmart.cls,119755,f5e24d4b29d24ab1cbdef46002febe7c2521f69b41c03d20bc92d8eef8fb5038,bibliography_or_typesetting_support,False,False
acmart.ins,1076,e9715bc58dc26a164642d63398ddd7a8135d87ed7bc4ba10c30de40d02bfc514,bibliography_or_typesetting_support,False,False
fig1.pdf,27251,fe61b876c1ac3e0bdec99798e4b09bf0cd62aa915900ac923d258b6bf2be9693,published_figure,False,False
fig10.pdf,74646,018a43d68d9ed316fdf13ca07e8aade81a8dc65031ed95270605e83463aa4ebd,published_figure,False,False
fig11.pdf,121206,928e6b651c9eba72656efbc80f8a5bf4ccf7486bb7b99df1a5ba3844512b76a1,published_figure,False,False
fig12.pdf,25160,c9c1db42934fe48b8ab63e50c3c0db038e89e597257b667928ae4e684dc8eaba,published_figure,False,False
fig2.pdf,346518,e77ccab31ad38857a3492aa8395bdde611fe7d052682d704bdc926c9c7b295e1,published_figure,False,False
fig3.pdf,293579,b28d13dca75e0b41bf6f8d0f344be6e462bd2e62c00eda61510cf052cab38156,published_figure,False,False
fig4.pdf,132193,f388505f45cc4122e95a0f73874b1b03401d480b2c60274f276d6e74006050a5,published_figure,False,False
fig5.pdf,33461,0d5f2b354be351a3ee03745e40e8ac27f9fba54e36e413028265e50ac14facdb,published_figure,False,False
fig6_1.pdf,71495,95eef057ded2719059413b30530df39dc43d3b8a90b9e0c87e3c1109839e542b,published_figure,False,False
fig6_2.pdf,94012,83fae76e15e000e63433aa4300af1c2bcf059101b8e38e2e82e99ae195277161,published_figure,False,False
fig6_3.pdf,56631,13603aad84c8854cb4060e422b82cd8a884cf2b22852177bfa8350a7e78a0bf7,published_figure,False,False
fig7.pdf,27494,c3ab7823b6db075fe8ed182c9c0b833c6cc9fdf88a533ad55ef557691ca1588d,published_figure,False,False
fig8.pdf,155231,4b3be1fb4b5f1702456be993711d034f74c8c2d9c4c4a9d4afd0f524feb2fa05,published_figure,False,False
fig9.pdf,80583,770145cd4deedc0dfcc36e085f99a0c652f6f0efd3b6b7a701c3832d2d43e7cc,published_figure,False,False
hedge_www.bbl,21216,c51911f01bf2e32cd0ab98837131947479e2e29e10e7f367942dd01b0f87b4eb,bibliography_or_typesetting_support,False,False
hedge_www.bib,79252,c534d685d74d8c746395083fb12f6b319e2efc68d78c28b5e2cc25aca9fec85d,bibliography_or_typesetting_support,False,False
hedge_www.tex,72946,e75bc5aa4cc4b661c8366d4a23b37bc5ef5b04f05550026f64da5ec34d9e07bb,primary_manuscript_source,False,False
