evaluation,generation,operator,mutation_scope,expression,node_count,training_mean_rankic,training_direction,training_rankic_months,validation_rankic_months,valid_candidate,validation_mean_oriented_rankic,complexity_penalty,training_fitness,survives_final_population,selected_final
56,5,mutation,root,"product(prc_highprc_252d,difference(product(prc_highprc_252d,ret_12_1),difference(turnover_126d,prc_highprc_252d)))",9,-0.017988952307358298,-1,96,24,True,0.03104004749271388,0.0008,0.0171889523073583,False,False
57,5,mutation,fine,"mean(mean(product(ret_6_1,prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.045796407541793614,-1,96,24,True,0.0359109844039906,0.001,0.04479640754179361,True,False
58,5,mutation,fine,"difference(difference(mean(ret_12_1,rvol_21d),prc_highprc_252d),product(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,ret_1_0)))",13,0.03896839600453494,1,96,24,True,0.03289602573363246,0.0012000000000000001,0.03776839600453494,False,False
59,5,mutation,internal,"mean(ret_12_1,ret_12_1)",3,0.03032751729250649,1,96,24,True,0.04340770786374289,0.0002,0.03012751729250649,False,False
60,5,mutation,internal,"mean(ret_12_1,rvol_21d)",3,0.03035804246340019,1,96,24,True,0.0343681935507092,0.0002,0.030158042463400193,False,False
61,6,pruning,,"mean(difference(ret_6_1,rvol_21d),difference(prc_highprc_252d,ret_12_1))",7,-0.03732966729075828,-1,96,24,True,0.023812719025520127,0.0006000000000000001,0.03672966729075828,False,False
62,6,pruning,,"difference(difference(mean(ret_12_1,ret_12_1),prc_highprc_252d),product(ret_1_0,prc_highprc_252d))",9,0.022935058086759188,1,96,24,True,0.039232835321418524,0.0008,0.02213505808675919,False,False
63,6,pruning,,"difference(product(ret_1_0,prc_highprc_252d),product(prc_highprc_252d,difference(prc_highprc_252d,ret_1_0)))",9,0.013538370257788174,1,96,24,True,-0.005465267610624584,0.0008,0.012738370257788173,False,False
64,6,pruning,,"difference(mean(ret_12_1,ret_12_1),product(product(ret_1_0,prc_highprc_252d),difference(prc_highprc_252d,ret_1_0)))",11,0.03143641608159399,1,96,24,True,0.04375845440626924,0.001,0.03043641608159399,False,False
65,6,pruning,,"product(turnover_126d,rvol_21d)",3,-0.0005601998876417404,-1,96,24,True,-0.005927954795927531,0.0002,0.00036019988764174045,False,False
66,6,pruning,,"mean(mean(product(ret_6_1,ret_1_0),difference(ret_6_1,rvol_21d)),prc_highprc_252d)",9,-0.006279980541549928,-1,96,24,True,-0.005727574621364376,0.0008,0.005479980541549928,False,False
67,6,pruning,,"mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",9,-0.03731855820494714,-1,96,24,True,0.02470027556757683,0.0008,0.036518558204947135,False,False
68,6,pruning,,"difference(mean(ret_12_1,rvol_21d),product(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,ret_1_0)))",11,0.024426777799446835,1,96,24,True,0.021319166539116488,0.001,0.023426777799446834,False,False
69,6,pruning,,"difference(mean(ret_12_1,ret_12_1),product(product(ret_1_0,prc_highprc_252d),difference(prc_highprc_252d,ret_1_0)))",11,0.03143641608159399,1,96,24,True,0.04375845440626924,0.001,0.03043641608159399,False,False
70,6,pruning,,"difference(difference(ret_12_1,product(ret_1_0,prc_highprc_252d)),product(prc_highprc_252d,difference(prc_highprc_252d,ret_1_0)))",11,0.035903354742563905,1,96,24,True,0.05161093663920002,0.001,0.034903354742563904,False,False
71,7,crossover,,"mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),difference(ret_1_0,ret_12_1))",9,-0.043948758388817795,-1,96,24,True,0.04535459679663225,0.0008,0.04314875838881779,False,False
72,7,crossover,,"difference(difference(mean(mean(ret_6_1,rvol_21d),difference(ret_1_0,ret_1_0)),prc_highprc_252d),ret_12_1)",11,-0.016402390823440315,-1,96,24,True,0.02966740611355391,0.001,0.015402390823440314,False,False
73,7,crossover,,"mean(difference(ret_6_1,rvol_21d),difference(prc_highprc_252d,ret_12_1))",7,-0.03732966729075828,-1,96,24,True,0.023812719025520127,0.0006000000000000001,0.03672966729075828,False,False
74,7,crossover,,"difference(difference(mean(mean(ret_6_1,rvol_21d),difference(ret_1_0,ret_1_0)),product(ret_1_0,rvol_21d)),ret_12_1)",13,-0.023791571276545354,-1,96,24,True,0.03385438176088326,0.0012000000000000001,0.022591571276545354,False,False
75,7,crossover,,"mean(mean(ret_6_1,difference(ret_6_1,ret_1_0)),difference(prc_highprc_252d,ret_12_1))",9,-0.028934512691551395,-1,96,24,True,0.013149850117569585,0.0008,0.028134512691551396,False,False
76,7,crossover,,"difference(difference(ret_12_1,product(ret_1_0,prc_highprc_252d)),product(rvol_21d,difference(prc_highprc_252d,ret_1_0)))",11,0.027422733920539982,1,96,24,True,0.04602718400404043,0.001,0.02642273392053998,False,False
77,7,crossover,,"mean(product(ret_6_1,ret_1_0),difference(ret_6_1,rvol_21d))",7,-0.0056886726696195695,-1,96,24,True,-0.011539383842141504,0.0006000000000000001,0.00508867266961957,False,False
78,7,crossover,,"difference(difference(mean(ret_12_1,rvol_21d),ret_6_1),product(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,ret_1_0)))",13,0.03132667875746709,1,96,24,True,0.008601872681567202,0.0012000000000000001,0.030126678757467093,False,False
