formation_month,ml_training_start,ml_training_end,ml_training_months,ml_training_rows,ridge_coefficient_norm,fusion_start,fusion_end,fusion_history_months,agent_count,modality_count,llm_mean_rankic,ml_mean_rankic,llm_directional_win_rate,ml_directional_win_rate,llm_alpha,modality_disagreement_rate,finite_scores
1999-07-31,1994-07-31,1999-06-30,60,59570,0.010492655541576466,1997-07-31,1999-06-30,24,4,4,0.01184388651706618,0.03603177336606653,0.625,0.6666666666666666,0.4295847560729591,0.829,704
1999-08-31,1994-08-31,1999-07-31,60,59565,0.010120625805821702,1997-08-31,1999-07-31,24,4,4,0.015108573668792681,0.03611582679894183,0.6666666666666666,0.6666666666666666,0.4476741561225081,0.838,700
1999-09-30,1994-09-30,1999-08-31,60,59566,0.010683987508286249,1997-09-30,1999-08-31,24,4,4,0.01685009216160226,0.03591477161545965,0.6666666666666666,0.6666666666666666,0.4524821387307727,0.821,698
1999-10-31,1994-10-31,1999-09-30,60,59568,0.011520896056548012,1997-10-31,1999-09-30,24,4,4,0.018307346942218073,0.038094855790670276,0.6666666666666666,0.6666666666666666,0.4506920090055285,0.802,689
1999-11-30,1994-11-30,1999-10-31,60,59563,0.012858181565024837,1997-11-30,1999-10-31,24,4,4,0.02833190733786696,0.0520422402759265,0.7083333333333334,0.7083333333333334,0.44100031266688927,0.795,672
1999-12-31,1994-12-31,1999-11-30,60,59554,0.013589354004672295,1997-12-31,1999-11-30,24,4,4,0.03697171029909327,0.0643321028650833,0.7083333333333334,0.75,0.42182877115809936,0.786,670
2000-01-31,1995-01-31,1999-12-31,60,59552,0.014325136619574522,1998-01-31,1999-12-31,24,4,4,0.036627936358695434,0.06051573556529157,0.7083333333333334,0.75,0.43032025077722236,0.786,663
2000-02-29,1995-02-28,2000-01-31,60,59550,0.01658383153170367,1998-02-28,2000-01-31,24,4,4,0.049636858859514056,0.079154912864202,0.75,0.75,0.42673606079199133,0.765,645
2000-03-31,1995-03-31,2000-02-29,60,59551,0.015321186431565251,1998-03-31,2000-02-29,24,4,4,0.04219552619489081,0.056458329545737485,0.7083333333333334,0.7083333333333334,0.46440331572825383,0.775,659
2000-04-30,1995-04-30,2000-03-31,60,59546,0.015361027424180036,1998-04-30,2000-03-31,24,4,4,0.03708973639056124,0.03789064272798013,0.6666666666666666,0.6666666666666666,0.4979977448593454,0.786,686
2000-05-31,1995-05-31,2000-04-30,60,59543,0.015534323726425542,1998-05-31,2000-04-30,24,4,4,0.03081063079992569,0.01723765591265521,0.625,0.625,0.5338804394658494,0.805,693
2000-06-30,1995-06-30,2000-05-31,60,59542,0.01764885525059251,1998-06-30,2000-05-31,24,4,4,0.020809631001864407,0.036648751255849904,0.625,0.6666666666666666,0.45015167914116927,0.777,672
2000-07-31,1995-07-31,2000-06-30,60,59524,0.01551515856623586,1998-07-31,2000-06-30,24,4,4,0.016993274283540583,0.026039973504980565,0.5833333333333334,0.625,0.46701456321729024,0.789,670
2000-08-31,1995-08-31,2000-07-31,60,59519,0.01686180498449457,1998-08-31,2000-07-31,24,4,4,0.014336220289424101,0.0314185875944278,0.5416666666666666,0.625,0.43680058402508476,0.779,663
2000-09-30,1995-09-30,2000-08-31,60,59511,0.013574820345749382,1998-09-30,2000-08-31,24,4,4,0.01907355171563778,0.022210354368867286,0.5833333333333334,0.5833333333333334,0.49215863631755025,0.794,672
2000-10-31,1995-10-31,2000-09-30,60,59510,0.01124652726876044,1998-10-31,2000-09-30,24,4,4,0.025019565742979474,0.01201416128023079,0.5833333333333334,0.5833333333333334,0.5324677605963553,0.792,691
2000-11-30,1995-11-30,2000-10-31,60,59505,0.00948020616778011,1998-11-30,2000-10-31,24,4,4,0.03150766307859119,-0.004151381959419618,0.5833333333333334,0.5833333333333334,0.588214828397248,0.809,710
2000-12-31,1995-12-31,2000-11-30,60,59499,0.010709596273853744,1998-12-31,2000-11-30,24,4,4,0.021793300276355954,-0.00273741514071107,0.5833333333333334,0.5833333333333334,0.5610210965732644,0.813,703
