candidate_id,series_type,archive,agent,mode,n_rebalances,mean_traded_notional,median_traded_notional,max_traded_notional,total_traded_notional,total_transaction_cost_nav,max_missing_execution_weight
authors__results__altman,authors,results,altman,archived-portfolio,7,0.8930240299190199,0.9999999999999999,1.2353400871251128,6.251168209433139,0.000680573111697896,3.3306690738754696e-16
authors__results__buffett,authors,results,buffett,archived-portfolio,7,0.7319535267108976,0.6761780301304059,1.143186659361009,5.123674686976283,0.0006256591157904584,3.3306690738754696e-16
authors__results__ensemble,authors,results,ensemble,archived-portfolio,7,0.7047495366542051,0.6199453426924937,0.9999999999999998,4.933246756579436,0.0005635192364565735,2.220446049250313e-16
authors__results__graham,authors,results,graham,archived-portfolio,7,1.3532564287579316,1.399214979157298,1.6279069767441863,9.47279500130552,0.0011244537760682844,6.661338147750939e-16
authors__results__greenblatt,authors,results,greenblatt,archived-portfolio,7,0.7773090740233958,0.7239906070377009,0.9999999999999999,5.44116351816377,0.0005974472387055029,1.1102230246251565e-16
authors__results__piotroski,authors,results,piotroski,archived-portfolio,7,1.2495281206582354,1.3089258890077093,1.570469798657718,8.746696844607648,0.0009986568986635786,3.3306690738754696e-16
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,12,0.7851794769280254,0.7792601899775089,1.2071399106269822,9.422153723136304,0.0011091546347252394,6.661338147750939e-16
authors__results_22_24__buffett,authors,results_22_24,buffett,archived-portfolio,12,0.7770524361355341,0.7485163213925818,1.3462143797979225,9.324629233626409,0.0011680498471061415,2.220446049250313e-16
authors__results_22_24__ensemble,authors,results_22_24,ensemble,archived-portfolio,12,0.6103065448382896,0.5861051906698371,0.9999999999999998,7.323678538059475,0.0008824997234450365,3.3306690738754696e-16
authors__results_22_24__graham,authors,results_22_24,graham,archived-portfolio,12,0.9739501374329825,0.9500000000000002,1.4089323381731307,11.68740164919579,0.0014524523513118719,7.771561172376096e-16
authors__results_22_24__greenblatt,authors,results_22_24,greenblatt,archived-portfolio,12,0.6480962750493827,0.6351355737766644,0.9999999999999999,7.777155300592593,0.0009576846524550646,6.661338147750939e-16
authors__results_22_24__piotroski,authors,results_22_24,piotroski,archived-portfolio,12,1.1218107136685525,1.0375376473386808,1.5686274509803928,13.46172856402263,0.0015511576194933796,3.3306690738754696e-16
replay__results__archived-final__altman,replay,results,altman,archived-final,7,0.8597156370612419,0.8917450147536012,0.9999999999999999,6.0180094594286935,0.0006830898077330491,1.1102230246251565e-16
replay__results__archived-final__buffett,replay,results,buffett,archived-final,7,1.1437709319268374,1.031182683062863,1.7223427331887213,8.006396523487862,0.0009680803075383125,5.551115123125783e-16
replay__results__archived-final__ensemble,replay,results,ensemble,archived-final,7,0.7047268346655251,0.6704954305078891,0.9999999999999999,4.933087842658676,0.0005699612140328593,1.1102230246251565e-16
replay__results__archived-final__graham,replay,results,graham,archived-final,7,0.9980362469471749,1.0,1.265540425591321,6.986253728630224,0.0008615073366820059,1.1102230246251565e-16
replay__results__archived-final__greenblatt,replay,results,greenblatt,archived-final,7,0.8921318790683872,0.9070527621002819,1.1520518169113307,6.244923153478711,0.0006873861635974598,1.1102230246251565e-16
replay__results__archived-final__piotroski,replay,results,piotroski,archived-final,7,1.1700709866529666,1.1562568979878092,1.6065573770491806,8.190496906570766,0.000927013595904084,2.220446049250313e-16
replay__results__tool-routing__altman,replay,results,altman,tool-routing,7,0.8832151576758441,0.9280042491487956,1.1734787597350784,6.182506103730909,0.0006864739409430203,1.1102230246251565e-16
replay__results__tool-routing__buffett,replay,results,buffett,tool-routing,7,1.0148470751507532,0.8167939815312629,1.7714285714285714,7.103929526055273,0.0008989867276725082,2.220446049250313e-16
replay__results__tool-routing__ensemble,replay,results,ensemble,tool-routing,7,0.6607899767180262,0.6430426497794002,1.0,4.625529837026184,0.000536441555078497,2.220446049250313e-16
