month,factor_panel_permcos,factor_panel_permnos,factor_panel_rows,factor_panel_market_cap_sum,factor_panel_source
2021-01-31,995,1020,1020,38986692.534475,reconstructed_exact_same_universe_method
2021-02-28,998,1023,1023,40120861.147205,reconstructed_exact_same_universe_method
2021-03-31,1000,1025,1025,41514359.984005004,reconstructed_exact_same_universe_method
2021-04-30,997,1022,1022,43861587.116234995,reconstructed_exact_same_universe_method
2021-05-31,998,1023,1023,43977154.55939,reconstructed_exact_same_universe_method
2021-06-30,995,1020,1020,45152830.27663,reconstructed_exact_same_universe_method
2021-07-31,998,1023,1023,45966486.16391,reconstructed_exact_same_universe_method
2021-08-31,998,1023,1023,47334178.27754,reconstructed_exact_same_universe_method
2021-09-30,998,1022,1022,45152463.61167,reconstructed_exact_same_universe_method
2021-10-31,997,1021,1021,48280447.49232,reconstructed_exact_same_universe_method
2021-11-30,999,1023,1023,47604270.23581,reconstructed_exact_same_universe_method
2021-12-31,997,1021,1021,49105359.944024,reconstructed_exact_same_universe_method
2022-01-31,997,1021,1021,46180437.6514,reconstructed_exact_same_universe_method
2022-02-28,998,1022,1022,45121131.7289,reconstructed_exact_same_universe_method
2022-03-31,997,1022,1022,46460074.41832,reconstructed_exact_same_universe_method
2022-04-30,997,1019,1019,41903137.96647,reconstructed_exact_same_universe_method
2022-05-31,997,1020,1020,41687846.445966005,reconstructed_exact_same_universe_method
2022-06-30,996,1019,1019,38117615.82879999,reconstructed_exact_same_universe_method
2022-07-31,995,1018,1018,41650227.48024,reconstructed_exact_same_universe_method
2022-08-31,998,1020,1020,39941702.48458,reconstructed_exact_same_universe_method
2022-09-30,996,1018,1018,36223090.12023,reconstructed_exact_same_universe_method
2022-10-31,994,1016,1016,38885515.25779,reconstructed_exact_same_universe_method
2022-11-30,998,1022,1022,40759666.479525,reconstructed_exact_same_universe_method
2022-12-31,998,1022,1022,38127369.664299995,reconstructed_exact_same_universe_method
2023-01-31,999,1023,1023,40683772.08257,reconstructed_exact_same_universe_method
2023-02-28,996,1020,1020,39544559.5546,reconstructed_exact_same_universe_method
2023-03-31,996,1019,1019,40837807.938755,reconstructed_exact_same_universe_method
2023-04-30,1000,1024,1024,41336814.88093001,reconstructed_exact_same_universe_method
2023-05-31,997,1019,1019,41704644.814815,reconstructed_exact_same_universe_method
2023-06-30,998,1020,1020,44351493.62304,reconstructed_exact_same_universe_method
2023-07-31,997,1016,1016,45869772.433546,reconstructed_exact_same_universe_method
2023-08-31,999,1021,1021,45097358.037948,reconstructed_exact_same_universe_method
2023-09-30,997,1020,1020,42930626.04127,reconstructed_exact_same_universe_method
2023-10-31,998,1020,1020,41657539.513995,reconstructed_exact_same_universe_method
2023-11-30,996,1019,1019,45339373.935595,reconstructed_exact_same_universe_method
2023-12-31,999,1022,1022,47428661.612823,reconstructed_exact_same_universe_method
2024-01-31,998,1021,1021,48100510.726110004,reconstructed_exact_same_universe_method
2024-02-29,998,1021,1021,50525281.0113,reconstructed_exact_same_universe_method
2024-03-31,997,1020,1020,52148192.303610004,reconstructed_exact_same_universe_method
2024-04-30,999,1021,1021,50150458.79753,reconstructed_exact_same_universe_method
2024-05-31,996,1018,1018,52459392.895205006,reconstructed_exact_same_universe_method
2024-06-30,1000,1022,1022,54153189.73578501,reconstructed_exact_same_universe_method
2024-07-31,996,1019,1019,54789212.21223,reconstructed_exact_same_universe_method
2024-08-31,1000,1023,1023,55886115.51242,reconstructed_exact_same_universe_method
2024-09-30,999,1019,1019,56905361.34682,reconstructed_exact_same_universe_method
2024-10-31,999,1019,1019,56551712.941635005,reconstructed_exact_same_universe_method
2024-11-30,997,1017,1017,60143965.104925,reconstructed_exact_same_universe_method
