candidate_id,series_type,archive,agent,mode,return_basis,sample_start,sample_end,mean_monthly_traded_notional,annualized_traded_notional,n_months,n_excess_months,cumulative_return,annualized_geometric_return,annualized_arithmetic_return,annualized_volatility,annualized_sharpe,max_drawdown,positive_month_fraction,gross_annualized_geometric_return,annualized_cost_drag
authors__results__altman,authors,results,altman,archived-portfolio,gross,2024-01-31,2025-07-31,0.32900885312805994,3.9481062375367193,19,15,0.22758541561903178,0.13826450080267705,0.1390231680381536,0.13676376405532498,-0.08222059687918033,-0.10200007713346326,0.631578947368421,0.13826450080267705,0.0
authors__results__altman,authors,results,altman,archived-portfolio,net_10bp,2024-01-31,2025-07-31,0.32900885312805994,3.9481062375367193,19,15,0.2199317933646121,0.13377719091819373,0.1350901879664015,0.13722499664743146,-0.1108247217383746,-0.10249634722909085,0.631578947368421,0.13826450080267705,0.004487309884483315
authors__results__buffett,authors,results,buffett,archived-portfolio,gross,2024-01-31,2025-07-31,0.26966708878822543,3.236005065458705,19,15,0.46848904362692334,0.2746531622826107,0.25894537066890394,0.17253633078003533,0.7415221161124698,-0.09685806421679033,0.6842105263157895,0.2746531622826107,0.0
authors__results__buffett,authors,results,buffett,archived-portfolio,net_10bp,2024-01-31,2025-07-31,0.26966708878822543,3.236005065458705,19,15,0.4609811444882681,0.2705333523805349,0.2557207222557313,0.17302492058802008,0.7231476571164179,-0.09685806421679011,0.6842105263157895,0.2746531622826107,0.004119809902075833
authors__results__ensemble,authors,results,ensemble,archived-portfolio,gross,2024-01-31,2025-07-31,0.25964456613575987,3.1157347936291186,19,15,0.3225237342300378,0.1930973435866259,0.18789354441548667,0.14634549740500905,0.4206010771309722,-0.08966077596271438,0.6842105263157895,0.1930973435866259,0.0
authors__results__ensemble,authors,results,ensemble,archived-portfolio,net_10bp,2024-01-31,2025-07-31,0.25964456613575987,3.1157347936291186,19,15,0.31601305779615063,0.1893843798237993,0.1847769436900648,0.1466855358721527,0.400104405104647,-0.0901935756547646,0.6842105263157895,0.1930973435866259,0.0037129637628265932
authors__results__graham,authors,results,graham,archived-portfolio,gross,2024-01-31,2025-07-31,0.49856815796344844,5.982817895561381,19,15,0.37229090145658694,0.22125995299893586,0.21513044983107937,0.17006401894792084,0.49368684156483933,-0.13771037105251027,0.7368421052631579,0.22125995299893586,0.0
authors__results__graham,authors,results,graham,archived-portfolio,net_10bp,2024-01-31,2025-07-31,0.49856815796344844,5.982817895561381,19,15,0.359343855551745,0.2139701187148193,0.2091095713632274,0.1704867914570833,0.4646823929419009,-0.13908776721489413,0.6842105263157895,0.22125995299893586,0.007289834284116559
authors__results__greenblatt,authors,results,greenblatt,archived-portfolio,gross,2024-01-31,2025-07-31,0.2863770272717774,3.4365243272613286,19,15,0.19285578878052845,0.11781860073606998,0.11978137934202004,0.1295182068602234,0.14375413769320672,-0.09219124293983205,0.7368421052631579,0.11781860073606998,0.0
authors__results__greenblatt,authors,results,greenblatt,archived-portfolio,net_10bp,2024-01-31,2025-07-31,0.2863770272717774,3.4365243272613286,19,15,0.18638030517614723,0.11398224919305,0.11634985547831776,0.1298229528828923,0.11570889123752756,-0.09398190317056276,0.7368421052631579,0.11781860073606998,0.003836351543019978
authors__results__piotroski,authors,results,piotroski,archived-portfolio,gross,2024-01-31,2025-07-31,0.4603524655056656,5.524229586067986,19,15,0.34746570296621115,0.2072595934779582,0.2055367016580395,0.18462079881276947,0.46250342423285146,-0.0796109647190737,0.631578947368421,0.2072595934779582,0.0
authors__results__piotroski,authors,results,piotroski,archived-portfolio,net_10bp,2024-01-31,2025-07-31,0.4603524655056656,5.524229586067986,19,15,0.33572371771840803,0.2006045409614594,0.20007578120106,0.1854907759943096,0.4348924377144488,-0.08064738038928077,0.631578947368421,0.2072595934779582,0.006655052516498783
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,gross,2022-04-30,2025-03-31,0.2617264923093418,3.1407179077121015,36,36,0.43911268628381395,0.1290112441740039,0.14749718147594637,0.2303460705819728,0.462992531762755,-0.1296604390135382,0.6111111111111112,0.1290112441740039,0.0
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,net_10bp,2022-04-30,2025-03-31,0.2617264923093418,3.1407179077121015,36,36,0.4256110177738852,0.1254693726082763,0.1443120848114965,0.23024707688644735,0.44930716094308404,-0.1296604390135383,0.6111111111111112,0.1290112441740039,0.0035418715657276056
authors__results_22_24__buffett,authors,results_22_24,buffett,archived-portfolio,gross,2022-04-30,2025-03-31,0.25901747871184466,3.1082097445421355,36,36,0.8257313514782334,0.22220941377077152,0.22361570922034216,0.2091952181930184,0.8769688607589299,-0.1796575820974151,0.6666666666666666,0.22220941377077152,0.0
