factor,component,loading
char__col_gr1a,jkp132_pre2022_pc5,-0.07066500088393408
char__emp_gr1,jkp132_pre2022_pc1,-0.11606224582848618
char__emp_gr1,jkp132_pre2022_pc2,-0.0395292828597804
char__emp_gr1,jkp132_pre2022_pc3,0.061308602034797655
char__emp_gr1,jkp132_pre2022_pc4,-0.06872856035033723
char__emp_gr1,jkp132_pre2022_pc5,0.048037238205157214
char__inv_gr1,jkp132_pre2022_pc1,-0.11744374002888522
char__inv_gr1,jkp132_pre2022_pc2,-0.03127509019156048
char__inv_gr1,jkp132_pre2022_pc3,0.00016537107498293527
char__inv_gr1,jkp132_pre2022_pc4,-0.08910568900282194
char__inv_gr1,jkp132_pre2022_pc5,0.009186608097321186
char__inv_gr1a,jkp132_pre2022_pc1,-0.05588603434530864
char__inv_gr1a,jkp132_pre2022_pc2,-0.08827896638470611
char__inv_gr1a,jkp132_pre2022_pc3,0.12462769816997867
char__inv_gr1a,jkp132_pre2022_pc4,-0.12177966116463596
char__inv_gr1a,jkp132_pre2022_pc5,-0.036542152037126935
char__lnoa_gr1a,jkp132_pre2022_pc1,-0.10760628326553293
char__lnoa_gr1a,jkp132_pre2022_pc2,-0.04705490491936068
char__lnoa_gr1a,jkp132_pre2022_pc3,0.05509973606778159
char__lnoa_gr1a,jkp132_pre2022_pc4,-0.08402765506948315
char__lnoa_gr1a,jkp132_pre2022_pc5,0.08495731327447387
char__mispricing_mgmt,jkp132_pre2022_pc1,0.11622876314738101
char__mispricing_mgmt,jkp132_pre2022_pc2,0.03305436465056923
char__mispricing_mgmt,jkp132_pre2022_pc3,-0.04991280053317174
char__mispricing_mgmt,jkp132_pre2022_pc4,0.08669486333464092
char__mispricing_mgmt,jkp132_pre2022_pc5,0.034911064926599365
char__ncoa_gr1a,jkp132_pre2022_pc1,-0.09285382089544117
char__ncoa_gr1a,jkp132_pre2022_pc2,-0.06461847574466222
char__ncoa_gr1a,jkp132_pre2022_pc3,0.055738420291947394
char__ncoa_gr1a,jkp132_pre2022_pc4,-0.17453619659821595
char__ncoa_gr1a,jkp132_pre2022_pc5,0.10315785748641232
char__nncoa_gr1a,jkp132_pre2022_pc1,-0.10521556293328299
char__nncoa_gr1a,jkp132_pre2022_pc2,-0.053136025812308196
char__nncoa_gr1a,jkp132_pre2022_pc3,0.041263814903101215
char__nncoa_gr1a,jkp132_pre2022_pc4,-0.13856566628265266
char__nncoa_gr1a,jkp132_pre2022_pc5,0.07713503635341508
char__noa_gr1a,jkp132_pre2022_pc1,-0.09278470776620461
char__noa_gr1a,jkp132_pre2022_pc2,-0.03401735795516803
char__noa_gr1a,jkp132_pre2022_pc3,0.033737190195007635
char__noa_gr1a,jkp132_pre2022_pc4,-0.2163347455072721
char__noa_gr1a,jkp132_pre2022_pc5,0.06092687637364834
char__ppeinv_gr1a,jkp132_pre2022_pc1,-0.09703238745187581
char__ppeinv_gr1a,jkp132_pre2022_pc2,-0.022305105793341592
char__ppeinv_gr1a,jkp132_pre2022_pc3,0.0402011084479583
char__ppeinv_gr1a,jkp132_pre2022_pc4,-0.16611528610539
char__ppeinv_gr1a,jkp132_pre2022_pc5,0.06683897254896141
char__sale_gr1,jkp132_pre2022_pc1,-0.11769650993496503
char__sale_gr1,jkp132_pre2022_pc2,-0.05744455782983996
char__sale_gr1,jkp132_pre2022_pc3,0.028994885535870978
char__sale_gr1,jkp132_pre2022_pc4,-0.08584862850913404
char__sale_gr1,jkp132_pre2022_pc5,-0.01995085480467741
char__sale_gr3,jkp132_pre2022_pc1,-0.12190125518832884
char__sale_gr3,jkp132_pre2022_pc2,-0.02564306773277075
char__sale_gr3,jkp132_pre2022_pc3,0.01858153179494707
char__sale_gr3,jkp132_pre2022_pc4,-0.04373896311027096
char__sale_gr3,jkp132_pre2022_pc5,0.05238050499442368
char__saleq_gr1,jkp132_pre2022_pc1,-0.1140196444464157
char__saleq_gr1,jkp132_pre2022_pc2,-0.07617705554507144
char__saleq_gr1,jkp132_pre2022_pc3,-0.0021892945243760144
char__saleq_gr1,jkp132_pre2022_pc4,-0.08175033814801344
char__saleq_gr1,jkp132_pre2022_pc5,-0.05873516206416351
char__age,jkp132_pre2022_pc1,0.12595053882329474
char__age,jkp132_pre2022_pc2,-0.00971547319538067
char__age,jkp132_pre2022_pc3,-0.003627239600115958
char__age,jkp132_pre2022_pc4,-0.006560337927003906
char__age,jkp132_pre2022_pc5,-0.010131531567993755
char__aliq_mat,jkp132_pre2022_pc1,0.07841499842595219
char__aliq_mat,jkp132_pre2022_pc2,0.0812759677219755
char__aliq_mat,jkp132_pre2022_pc3,-0.09650249517082748
char__aliq_mat,jkp132_pre2022_pc4,-0.0682235759850888
char__aliq_mat,jkp132_pre2022_pc5,-0.16076961301793058
char__at_be,jkp132_pre2022_pc1,0.11264965981316373
char__at_be,jkp132_pre2022_pc2,0.05060816025143899
char__at_be,jkp132_pre2022_pc3,-0.057513879911139695
char__at_be,jkp132_pre2022_pc4,-0.06908940645923546
char__at_be,jkp132_pre2022_pc5,-0.04558278219906681
char__bidaskhl_21d,jkp132_pre2022_pc1,-0.11534523059566837
char__bidaskhl_21d,jkp132_pre2022_pc2,0.08476841470302392
char__bidaskhl_21d,jkp132_pre2022_pc3,0.04640654686702716
char__bidaskhl_21d,jkp132_pre2022_pc4,0.048065457344860736
char__bidaskhl_21d,jkp132_pre2022_pc5,-0.05875998637244016
char__cash_at,jkp132_pre2022_pc1,-0.1222476367422229
char__cash_at,jkp132_pre2022_pc2,0.00248466601244526
char__cash_at,jkp132_pre2022_pc3,0.015409316007271374
char__cash_at,jkp132_pre2022_pc4,0.05628134946468583
char__cash_at,jkp132_pre2022_pc5,0.0026095957996191852
char__netdebt_me,jkp132_pre2022_pc1,0.11832561142150379
char__netdebt_me,jkp132_pre2022_pc2,0.05519602376901635
char__netdebt_me,jkp132_pre2022_pc3,-0.017521612163848708
char__netdebt_me,jkp132_pre2022_pc4,-0.05425512715995249
char__netdebt_me,jkp132_pre2022_pc5,-0.02085392444419967
char__tangibility,jkp132_pre2022_pc1,-0.10674027240594397
char__tangibility,jkp132_pre2022_pc2,-0.0014962938313673815
char__tangibility,jkp132_pre2022_pc3,-0.013034826452179933
char__tangibility,jkp132_pre2022_pc4,0.06634569731399151
char__tangibility,jkp132_pre2022_pc5,-0.06125112218840418
char__z_score,jkp132_pre2022_pc1,-0.11305557102534802
char__z_score,jkp132_pre2022_pc2,-0.07124196814342748
char__z_score,jkp132_pre2022_pc3,0.005500193340204788
char__z_score,jkp132_pre2022_pc4,0.0034841222977628605
char__z_score,jkp132_pre2022_pc5,0.003057986835148179
char__beta_60m,jkp132_pre2022_pc1,-0.09234933781683402
char__beta_60m,jkp132_pre2022_pc2,0.12357325047248706
char__beta_60m,jkp132_pre2022_pc3,0.09644047670234693
char__beta_60m,jkp132_pre2022_pc4,0.06554463255352898
char__beta_60m,jkp132_pre2022_pc5,-0.06856075613871913
char__beta_dimson_21d,jkp132_pre2022_pc1,-0.08520332548067021
char__beta_dimson_21d,jkp132_pre2022_pc2,0.11238983633900615
char__beta_dimson_21d,jkp132_pre2022_pc3,0.08980943367490339
char__beta_dimson_21d,jkp132_pre2022_pc4,0.02832903910282859
char__beta_dimson_21d,jkp132_pre2022_pc5,-0.1117250355194352
char__betabab_1260d,jkp132_pre2022_pc1,-0.09126440724710128
char__betabab_1260d,jkp132_pre2022_pc2,0.1315645412365169
char__betabab_1260d,jkp132_pre2022_pc3,0.08979302634975886
char__betabab_1260d,jkp132_pre2022_pc4,0.057219640646875104
char__betabab_1260d,jkp132_pre2022_pc5,-0.09229329151065109
char__betadown_252d,jkp132_pre2022_pc1,-0.10593551139148079
char__betadown_252d,jkp132_pre2022_pc2,0.09639194786358778
char__betadown_252d,jkp132_pre2022_pc3,0.07116094135816846
char__betadown_252d,jkp132_pre2022_pc4,0.028849604508296718
char__betadown_252d,jkp132_pre2022_pc5,-0.08468472135439274
char__chcsho_12m,jkp132_pre2022_pc1,-0.12404807105060002
char__chcsho_12m,jkp132_pre2022_pc2,0.00821266288320832
char__chcsho_12m,jkp132_pre2022_pc3,-0.008879583817711832
char__chcsho_12m,jkp132_pre2022_pc4,-0.013754603846273163
char__chcsho_12m,jkp132_pre2022_pc5,-0.0282936279374744
char__eqnetis_at,jkp132_pre2022_pc1,-0.12339525077669407
char__eqnetis_at,jkp132_pre2022_pc2,0.024584850205663377
char__eqnetis_at,jkp132_pre2022_pc3,-0.027666660922995908
char__eqnetis_at,jkp132_pre2022_pc4,-0.03574023329038335
char__eqnetis_at,jkp132_pre2022_pc5,-0.047055235775245834
char__fcf_me,jkp132_pre2022_pc1,0.1171116193075715
char__fcf_me,jkp132_pre2022_pc2,0.03051411596440374
char__fcf_me,jkp132_pre2022_pc3,0.03327968927749148
char__fcf_me,jkp132_pre2022_pc4,0.002003615656778521
char__fcf_me,jkp132_pre2022_pc5,-0.045136114820797
char__ivol_capm_21d,jkp132_pre2022_pc1,-0.11752318564174019
char__ivol_capm_21d,jkp132_pre2022_pc2,0.07752106858898607
char__ivol_capm_21d,jkp132_pre2022_pc3,0.0397759698090573
char__ivol_capm_21d,jkp132_pre2022_pc4,0.04454122159387908
char__ivol_capm_21d,jkp132_pre2022_pc5,-0.0421488368596965
char__ivol_capm_252d,jkp132_pre2022_pc1,-0.11564243195205787
char__ivol_capm_252d,jkp132_pre2022_pc2,0.08079098132554456
char__ivol_capm_252d,jkp132_pre2022_pc3,0.047150910020512714
char__ivol_capm_252d,jkp132_pre2022_pc4,0.05437311714531163
char__ivol_capm_252d,jkp132_pre2022_pc5,-0.05331492662914519
char__ivol_ff3_21d,jkp132_pre2022_pc1,-0.1187955908617644
char__ivol_ff3_21d,jkp132_pre2022_pc2,0.06964282770824416
char__ivol_ff3_21d,jkp132_pre2022_pc3,0.04232451142663049
char__ivol_ff3_21d,jkp132_pre2022_pc4,0.04230479985712141
char__ivol_ff3_21d,jkp132_pre2022_pc5,-0.039720331187955094
char__ivol_hxz4_21d,jkp132_pre2022_pc1,-0.118330785024042
char__ivol_hxz4_21d,jkp132_pre2022_pc2,0.07221180136564016
char__ivol_hxz4_21d,jkp132_pre2022_pc3,0.040689077693301254
char__ivol_hxz4_21d,jkp132_pre2022_pc4,0.04317691113301099
char__ivol_hxz4_21d,jkp132_pre2022_pc5,-0.0414083375681533
char__netis_at,jkp132_pre2022_pc1,-0.12224049441330749
char__netis_at,jkp132_pre2022_pc2,0.009554971997009495
char__netis_at,jkp132_pre2022_pc3,-0.03557980843131709
char__netis_at,jkp132_pre2022_pc4,-0.023542541478291913
char__netis_at,jkp132_pre2022_pc5,0.02325999067109742
char__rmax1_21d,jkp132_pre2022_pc1,-0.11485773334627948
char__rmax1_21d,jkp132_pre2022_pc2,0.08740780341760221
char__rmax1_21d,jkp132_pre2022_pc3,0.03748157671548205
char__rmax1_21d,jkp132_pre2022_pc4,0.050794184564873605
char__rmax1_21d,jkp132_pre2022_pc5,-0.042345226508971774
char__rmax5_21d,jkp132_pre2022_pc1,-0.11426254431042376
char__rmax5_21d,jkp132_pre2022_pc2,0.08575382296149375
char__rmax5_21d,jkp132_pre2022_pc3,0.02988172412750183
char__rmax5_21d,jkp132_pre2022_pc4,0.0542196343550249
char__rmax5_21d,jkp132_pre2022_pc5,-0.05011060142157945
char__rvol_21d,jkp132_pre2022_pc1,-0.11286971925636913
char__rvol_21d,jkp132_pre2022_pc2,0.09385459914261667
char__rvol_21d,jkp132_pre2022_pc3,0.048864300114890465
char__rvol_21d,jkp132_pre2022_pc4,0.045641472263309175
char__rvol_21d,jkp132_pre2022_pc5,-0.06127076771670673
char__turnover_126d,jkp132_pre2022_pc1,-0.1139917576930096
char__turnover_126d,jkp132_pre2022_pc2,0.06907397714511775
char__turnover_126d,jkp132_pre2022_pc3,0.053095700570562114
char__turnover_126d,jkp132_pre2022_pc4,0.061586472929946436
char__turnover_126d,jkp132_pre2022_pc5,-0.062265177826259094
char__zero_trades_126d,jkp132_pre2022_pc1,0.11055754747177547
char__zero_trades_126d,jkp132_pre2022_pc2,-0.07382659296508624
char__zero_trades_126d,jkp132_pre2022_pc3,-0.07053829608551293
char__zero_trades_126d,jkp132_pre2022_pc4,-0.06467066128188828
char__zero_trades_126d,jkp132_pre2022_pc5,0.07107708744075172
char__zero_trades_21d,jkp132_pre2022_pc1,0.11042427589230266
char__zero_trades_21d,jkp132_pre2022_pc2,-0.07196451011393164
char__zero_trades_21d,jkp132_pre2022_pc3,-0.06767718272044611
char__zero_trades_21d,jkp132_pre2022_pc4,-0.06189409709871011
char__zero_trades_21d,jkp132_pre2022_pc5,0.06848418218953438
char__zero_trades_252d,jkp132_pre2022_pc1,0.10319788121673354
char__zero_trades_252d,jkp132_pre2022_pc2,-0.08119145855616948
char__zero_trades_252d,jkp132_pre2022_pc3,-0.10263781827013438
char__zero_trades_252d,jkp132_pre2022_pc4,-0.06817411103107207
char__zero_trades_252d,jkp132_pre2022_pc5,0.07594960561633742
char__prc_highprc_252d,jkp132_pre2022_pc1,0.03947760190049784
char__prc_highprc_252d,jkp132_pre2022_pc2,-0.15957260724185932
char__prc_highprc_252d,jkp132_pre2022_pc3,-0.19657177515548746
char__prc_highprc_252d,jkp132_pre2022_pc4,0.029806365752332396
char__prc_highprc_252d,jkp132_pre2022_pc5,0.06432988686578808
char__resff3_12_1,jkp132_pre2022_pc1,0.014692607018367063
char__resff3_12_1,jkp132_pre2022_pc2,-0.11351925713489124
char__resff3_12_1,jkp132_pre2022_pc3,-0.20098725213872387
char__resff3_12_1,jkp132_pre2022_pc4,0.050593379641785806
char__resff3_12_1,jkp132_pre2022_pc5,-0.11787563559814009
char__resff3_6_1,jkp132_pre2022_pc1,0.03802164737285452
char__resff3_6_1,jkp132_pre2022_pc2,-0.06462611898829637
char__resff3_6_1,jkp132_pre2022_pc3,-0.17113601993897598
char__resff3_6_1,jkp132_pre2022_pc4,0.08494473296814896
char__resff3_6_1,jkp132_pre2022_pc5,-0.022371008909893113
char__ret_3_1,jkp132_pre2022_pc1,-0.023425971567990693
char__ret_3_1,jkp132_pre2022_pc2,-0.08714617221006729
char__ret_3_1,jkp132_pre2022_pc3,-0.19282860234826296
char__ret_3_1,jkp132_pre2022_pc4,0.07080383169452258
char__ret_3_1,jkp132_pre2022_pc5,0.03859282061894387
char__ret_6_1,jkp132_pre2022_pc1,-0.04031455981241548
char__ret_6_1,jkp132_pre2022_pc2,-0.10730256882602592
char__ret_6_1,jkp132_pre2022_pc3,-0.20158961134736808
char__ret_6_1,jkp132_pre2022_pc4,0.06588335019142297
char__ret_6_1,jkp132_pre2022_pc5,-0.018159324584697743
char__ret_9_1,jkp132_pre2022_pc1,-0.04970250437444025
char__ret_9_1,jkp132_pre2022_pc2,-0.12886711237549106
char__ret_9_1,jkp132_pre2022_pc3,-0.19270438797861017
char__ret_9_1,jkp132_pre2022_pc4,0.05094454552544883
char__ret_9_1,jkp132_pre2022_pc5,-0.06727810640768436
char__seas_1_1na,jkp132_pre2022_pc1,-0.060721487638599775
char__seas_1_1na,jkp132_pre2022_pc2,-0.12378654919396834
char__seas_1_1na,jkp132_pre2022_pc3,-0.19060369496688825
char__seas_1_1na,jkp132_pre2022_pc4,0.054937726939382016
char__seas_1_1na,jkp132_pre2022_pc5,-0.07344087047227323
char__dsale_drec,jkp132_pre2022_pc1,0.02503453771832363
char__dsale_drec,jkp132_pre2022_pc2,0.02537184533489776
char__dsale_drec,jkp132_pre2022_pc3,0.0003753285368137585
char__dsale_drec,jkp132_pre2022_pc4,0.10534805929465042
char__dsale_drec,jkp132_pre2022_pc5,0.24799158080639824
char__niq_at_chg1,jkp132_pre2022_pc1,-0.06572183267766851
char__niq_at_chg1,jkp132_pre2022_pc2,-0.10648373847915094
char__niq_at_chg1,jkp132_pre2022_pc3,-0.11653629879460267
char__niq_at_chg1,jkp132_pre2022_pc4,-0.020749982032529226
char__niq_at_chg1,jkp132_pre2022_pc5,-0.16736470581209223
char__niq_be_chg1,jkp132_pre2022_pc1,-0.019258142361724618
char__niq_be_chg1,jkp132_pre2022_pc2,-0.09649179444291198
char__niq_be_chg1,jkp132_pre2022_pc3,-0.13302090254573531
char__niq_be_chg1,jkp132_pre2022_pc4,0.006320279678741093
char__niq_be_chg1,jkp132_pre2022_pc5,-0.03712852851004812
char__niq_su,jkp132_pre2022_pc1,0.009267928708146609
char__niq_su,jkp132_pre2022_pc2,-0.13699641034084645
char__niq_su,jkp132_pre2022_pc3,-0.0605507603277643
char__niq_su,jkp132_pre2022_pc4,0.020127394194142657
char__niq_su,jkp132_pre2022_pc5,-0.21047629303587742
char__ocf_at_chg1,jkp132_pre2022_pc1,-0.08281229361163965
char__ocf_at_chg1,jkp132_pre2022_pc2,-0.09580685981028865
char__ocf_at_chg1,jkp132_pre2022_pc3,-0.031016257915695365
char__ocf_at_chg1,jkp132_pre2022_pc4,-0.027568622262451208
char__ocf_at_chg1,jkp132_pre2022_pc5,-0.11162299159177522
char__qmj_safety,jkp132_pre2022_pc1,-0.048105109481496044
char__qmj_safety,jkp132_pre2022_pc2,-0.1802947398831511
char__qmj_safety,jkp132_pre2022_pc3,-0.04446422995459038
char__qmj_safety,jkp132_pre2022_pc4,-0.034021465301220986
char__qmj_safety,jkp132_pre2022_pc5,0.04803318404608498
char__ret_12_7,jkp132_pre2022_pc1,-0.061654671399894674
char__ret_12_7,jkp132_pre2022_pc2,-0.11153211486994298
char__ret_12_7,jkp132_pre2022_pc3,-0.09885565090877378
char__ret_12_7,jkp132_pre2022_pc4,-0.026500387511420143
char__ret_12_7,jkp132_pre2022_pc5,-0.18386095711051606
char__sale_emp_gr1,jkp132_pre2022_pc1,-0.09766057107532555
char__sale_emp_gr1,jkp132_pre2022_pc2,-0.02911430915999553
char__sale_emp_gr1,jkp132_pre2022_pc3,0.007820449428064926
char__sale_emp_gr1,jkp132_pre2022_pc4,-0.09181814504099166
char__sale_emp_gr1,jkp132_pre2022_pc5,-0.06176116317391429
char__saleq_su,jkp132_pre2022_pc1,-0.08736010874479012
char__saleq_su,jkp132_pre2022_pc2,-0.11117824530310405
char__saleq_su,jkp132_pre2022_pc3,-0.01398800628620547
char__saleq_su,jkp132_pre2022_pc4,-0.07522478653724715
char__saleq_su,jkp132_pre2022_pc5,-0.11251358014825856
char__seas_1_1an,jkp132_pre2022_pc1,-0.034830625082321265
char__seas_1_1an,jkp132_pre2022_pc2,-0.018548472803295985
char__seas_1_1an,jkp132_pre2022_pc3,0.0003780606646959867
char__seas_1_1an,jkp132_pre2022_pc4,-0.08267100528931316
char__seas_1_1an,jkp132_pre2022_pc5,-0.13927908164407482
char__sti_gr1a,jkp132_pre2022_pc1,-0.11429992550572093
char__sti_gr1a,jkp132_pre2022_pc2,0.004707148583921086
char__sti_gr1a,jkp132_pre2022_pc3,0.006786710799484393
char__sti_gr1a,jkp132_pre2022_pc4,-0.06674598958679218
char__sti_gr1a,jkp132_pre2022_pc5,-0.022917255433785696
char__dolvol_var_126d,jkp132_pre2022_pc1,-0.09847476809996737
char__dolvol_var_126d,jkp132_pre2022_pc2,-0.005086403007230062
char__dolvol_var_126d,jkp132_pre2022_pc3,-0.12168489696191595
