factor,component,loading
char__turnover_var_126d,jkp132_pre2022_pc2,-0.003832942143925246
char__turnover_var_126d,jkp132_pre2022_pc3,-0.1214827135618255
char__turnover_var_126d,jkp132_pre2022_pc4,0.025327286652206252
char__turnover_var_126d,jkp132_pre2022_pc5,-0.005617690537218096
char__at_turnover,jkp132_pre2022_pc1,0.04165348330153061
char__at_turnover,jkp132_pre2022_pc2,-0.11937783711332538
char__at_turnover,jkp132_pre2022_pc3,0.1506359227362621
char__at_turnover,jkp132_pre2022_pc4,0.1453542513735804
char__at_turnover,jkp132_pre2022_pc5,0.0008253588080031183
char__cop_at,jkp132_pre2022_pc1,0.005671434142918629
char__cop_at,jkp132_pre2022_pc2,-0.1169654445344602
char__cop_at,jkp132_pre2022_pc3,0.13669036491212827
char__cop_at,jkp132_pre2022_pc4,0.21312147129286252
char__cop_at,jkp132_pre2022_pc5,0.1508029525851297
char__cop_atl1,jkp132_pre2022_pc1,-0.07493607251356907
char__cop_atl1,jkp132_pre2022_pc2,-0.11068170464621954
char__cop_atl1,jkp132_pre2022_pc3,0.1542939826080817
char__cop_atl1,jkp132_pre2022_pc4,0.10498793988746473
char__cop_atl1,jkp132_pre2022_pc5,0.06284885805631119
char__dgp_dsale,jkp132_pre2022_pc1,-0.08318665064387232
char__dgp_dsale,jkp132_pre2022_pc2,-0.09572921452162937
char__dgp_dsale,jkp132_pre2022_pc3,-0.005002030290330282
char__dgp_dsale,jkp132_pre2022_pc4,-0.039359940897424874
char__dgp_dsale,jkp132_pre2022_pc5,0.055409542380610834
char__gp_at,jkp132_pre2022_pc1,-0.006083848655593704
char__gp_at,jkp132_pre2022_pc2,-0.15370031033578577
char__gp_at,jkp132_pre2022_pc3,0.15154949907074505
char__gp_at,jkp132_pre2022_pc4,0.17771450152695617
char__gp_at,jkp132_pre2022_pc5,0.11221038818326433
char__gp_atl1,jkp132_pre2022_pc1,-0.07005419177792763
char__gp_atl1,jkp132_pre2022_pc2,-0.1300984538183161
char__gp_atl1,jkp132_pre2022_pc3,0.16269615420094008
char__gp_atl1,jkp132_pre2022_pc4,0.0522886171973896
char__gp_atl1,jkp132_pre2022_pc5,0.06682212305206649
char__mispricing_perf,jkp132_pre2022_pc1,0.01792307102961952
char__mispricing_perf,jkp132_pre2022_pc2,-0.22913015912293497
char__mispricing_perf,jkp132_pre2022_pc3,0.013536910582547664
char__mispricing_perf,jkp132_pre2022_pc4,0.07915178910321496
char__mispricing_perf,jkp132_pre2022_pc5,-0.050273693627287674
char__ni_inc8q,jkp132_pre2022_pc1,0.00023341130936468637
char__ni_inc8q,jkp132_pre2022_pc2,-0.19358834416109483
char__ni_inc8q,jkp132_pre2022_pc3,0.03660472422446791
char__ni_inc8q,jkp132_pre2022_pc4,-0.11157794101762329
char__ni_inc8q,jkp132_pre2022_pc5,-0.017136030762021946
char__niq_at,jkp132_pre2022_pc1,0.07523822318280456
char__niq_at,jkp132_pre2022_pc2,-0.1733839486140301
char__niq_at,jkp132_pre2022_pc3,0.0989302440517858
char__niq_at,jkp132_pre2022_pc4,0.005822836924291993
char__niq_at,jkp132_pre2022_pc5,-0.030254178107413484
char__op_at,jkp132_pre2022_pc1,0.026630846163880423
char__op_at,jkp132_pre2022_pc2,-0.16107632923878776
char__op_at,jkp132_pre2022_pc3,0.16508386486972113
char__op_at,jkp132_pre2022_pc4,0.1528979141888341
char__op_at,jkp132_pre2022_pc5,0.07064540273602198
char__op_atl1,jkp132_pre2022_pc1,-0.02010647593042513
char__op_atl1,jkp132_pre2022_pc2,-0.15753385016583896
char__op_atl1,jkp132_pre2022_pc3,0.2057232100705565
char__op_atl1,jkp132_pre2022_pc4,0.08226817479012688
char__op_atl1,jkp132_pre2022_pc5,0.042116230548933445
char__opex_at,jkp132_pre2022_pc1,-0.007851620493935388
char__opex_at,jkp132_pre2022_pc2,-0.09499285323599548
char__opex_at,jkp132_pre2022_pc3,0.07656767557250593
char__opex_at,jkp132_pre2022_pc4,0.20254154873630836
char__opex_at,jkp132_pre2022_pc5,0.016604473024128326
char__qmj_prof,jkp132_pre2022_pc1,0.05960502849099381
char__qmj_prof,jkp132_pre2022_pc2,-0.16883191471456457
char__qmj_prof,jkp132_pre2022_pc3,0.1403492100894273
char__qmj_prof,jkp132_pre2022_pc4,0.06281588531824009
char__qmj_prof,jkp132_pre2022_pc5,0.10934538100247303
char__sale_bev,jkp132_pre2022_pc1,-0.052488921385193246
char__sale_bev,jkp132_pre2022_pc2,-0.1032001796281682
char__sale_bev,jkp132_pre2022_pc3,0.06527494594055085
char__sale_bev,jkp132_pre2022_pc4,0.1915303756369624
char__sale_bev,jkp132_pre2022_pc5,-0.0031036296045613577
char__tax_gr1a,jkp132_pre2022_pc1,-0.03709035303673742
char__tax_gr1a,jkp132_pre2022_pc2,-0.1483821004205624
char__tax_gr1a,jkp132_pre2022_pc3,0.07354606525508348
char__tax_gr1a,jkp132_pre2022_pc4,-0.11596970588883601
char__tax_gr1a,jkp132_pre2022_pc5,-0.09968340490097868
char__corr_1260d,jkp132_pre2022_pc1,-0.02639978618040224
char__corr_1260d,jkp132_pre2022_pc2,0.1462493929940092
char__corr_1260d,jkp132_pre2022_pc3,0.14672868363530567
char__corr_1260d,jkp132_pre2022_pc4,0.011995441833784416
char__corr_1260d,jkp132_pre2022_pc5,-0.038337686201941557
char__coskew_21d,jkp132_pre2022_pc1,-0.014844655568704741
char__coskew_21d,jkp132_pre2022_pc2,0.04941622715628963
char__coskew_21d,jkp132_pre2022_pc3,0.09178638989585547
char__coskew_21d,jkp132_pre2022_pc4,-0.0180134875862391
char__coskew_21d,jkp132_pre2022_pc5,-0.05271928029250464
char__dbnetis_at,jkp132_pre2022_pc1,-0.06918725005646015
char__dbnetis_at,jkp132_pre2022_pc2,-0.023536575503604402
char__dbnetis_at,jkp132_pre2022_pc3,-0.06258641803909573
char__dbnetis_at,jkp132_pre2022_pc4,-0.011376159587327744
char__dbnetis_at,jkp132_pre2022_pc5,0.22377973658798328
char__kz_index,jkp132_pre2022_pc1,0.07858611112239197
char__kz_index,jkp132_pre2022_pc2,0.01304121871836476
char__kz_index,jkp132_pre2022_pc3,0.044485004883359165
char__kz_index,jkp132_pre2022_pc4,0.08765521271690173
char__kz_index,jkp132_pre2022_pc5,0.0010598437294849386
char__lti_gr1a,jkp132_pre2022_pc1,-0.024041741767372043
char__lti_gr1a,jkp132_pre2022_pc2,0.02025686034179858
char__lti_gr1a,jkp132_pre2022_pc3,-0.011295200173385755
char__lti_gr1a,jkp132_pre2022_pc4,-0.1795486112159622
char__lti_gr1a,jkp132_pre2022_pc5,0.024308581803402413
char__pi_nix,jkp132_pre2022_pc1,-0.09586168775904157
char__pi_nix,jkp132_pre2022_pc2,0.06357733717028458
char__pi_nix,jkp132_pre2022_pc3,-0.06388847547687965
char__pi_nix,jkp132_pre2022_pc4,0.033940968917883375
char__pi_nix,jkp132_pre2022_pc5,0.05071432029999161
char__ami_126d,jkp132_pre2022_pc1,-0.06518234571736227
char__ami_126d,jkp132_pre2022_pc2,0.05237199392238988
char__ami_126d,jkp132_pre2022_pc3,-0.15225806145785986
char__ami_126d,jkp132_pre2022_pc4,0.05580515431361268
char__ami_126d,jkp132_pre2022_pc5,-0.042879247034894714
char__dolvol_126d,jkp132_pre2022_pc1,-0.09014308712929532
char__dolvol_126d,jkp132_pre2022_pc2,0.03291482842534103
char__dolvol_126d,jkp132_pre2022_pc3,0.12992950078995527
char__dolvol_126d,jkp132_pre2022_pc4,-0.00598535990817659
char__dolvol_126d,jkp132_pre2022_pc5,0.003374257595632403
char__prc,jkp132_pre2022_pc1,-0.04876843863198727
char__prc,jkp132_pre2022_pc2,-0.16479750623420517
char__prc,jkp132_pre2022_pc3,-0.1617378862146005
char__prc,jkp132_pre2022_pc4,-0.0415242796850199
char__prc,jkp132_pre2022_pc5,0.005857241773365253
char__iskew_capm_21d,jkp132_pre2022_pc1,-0.05214861470005368
char__iskew_capm_21d,jkp132_pre2022_pc2,0.03460848338054556
char__iskew_capm_21d,jkp132_pre2022_pc3,-0.07016769012481142
char__iskew_capm_21d,jkp132_pre2022_pc4,0.08474750083260775
char__iskew_capm_21d,jkp132_pre2022_pc5,0.17062845579654767
char__iskew_ff3_21d,jkp132_pre2022_pc1,-0.05532645486995442
char__iskew_ff3_21d,jkp132_pre2022_pc2,0.011886610908609091
char__iskew_ff3_21d,jkp132_pre2022_pc3,-0.107466564634798
char__iskew_ff3_21d,jkp132_pre2022_pc4,0.10035514106599931
char__iskew_ff3_21d,jkp132_pre2022_pc5,0.14473943082713303
char__iskew_hxz4_21d,jkp132_pre2022_pc1,-0.056908734910417966
char__iskew_hxz4_21d,jkp132_pre2022_pc2,0.003252708809118129
char__iskew_hxz4_21d,jkp132_pre2022_pc3,-0.12591576565601723
char__iskew_hxz4_21d,jkp132_pre2022_pc4,0.09214016481167224
char__iskew_hxz4_21d,jkp132_pre2022_pc5,0.11689247014646945
char__ret_1_0,jkp132_pre2022_pc1,-0.0039779943738914745
char__ret_1_0,jkp132_pre2022_pc2,-0.052056767250418544
char__ret_1_0,jkp132_pre2022_pc3,-0.14438314270039992
char__ret_1_0,jkp132_pre2022_pc4,0.1036069570059128
char__ret_1_0,jkp132_pre2022_pc5,0.12593579446617248
char__rmax5_rvol_21d,jkp132_pre2022_pc1,-0.04306190529776685
char__rmax5_rvol_21d,jkp132_pre2022_pc2,0.01194700612450372
char__rmax5_rvol_21d,jkp132_pre2022_pc3,-0.0316224918642942
char__rmax5_rvol_21d,jkp132_pre2022_pc4,0.044777593102613714
char__rmax5_rvol_21d,jkp132_pre2022_pc5,0.036929702626973565
char__rskew_21d,jkp132_pre2022_pc1,-0.0706207440481641
char__rskew_21d,jkp132_pre2022_pc2,0.05959088880780995
char__rskew_21d,jkp132_pre2022_pc3,0.004138940036267537
char__rskew_21d,jkp132_pre2022_pc4,0.07120274848363652
char__rskew_21d,jkp132_pre2022_pc5,0.0787963072192305
char__at_me,jkp132_pre2022_pc1,0.11487085259200543
char__at_me,jkp132_pre2022_pc2,0.09687324416805126
char__at_me,jkp132_pre2022_pc3,0.027113761062640913
char__at_me,jkp132_pre2022_pc4,-0.046085411093589136
char__at_me,jkp132_pre2022_pc5,-0.0486424458761506
char__bev_mev,jkp132_pre2022_pc1,0.11254764888501398
char__bev_mev,jkp132_pre2022_pc2,0.10414863489830274
char__bev_mev,jkp132_pre2022_pc3,0.039329754424070926
char__bev_mev,jkp132_pre2022_pc4,-0.03551301431365628
char__bev_mev,jkp132_pre2022_pc5,-0.03414057677572486
char__debt_me,jkp132_pre2022_pc1,0.11610377407470998
char__debt_me,jkp132_pre2022_pc2,0.0872346221122032
char__debt_me,jkp132_pre2022_pc3,0.007280261701728139
char__debt_me,jkp132_pre2022_pc4,-0.0513078191308108
char__debt_me,jkp132_pre2022_pc5,-0.04234634063776728
char__div12m_me,jkp132_pre2022_pc1,0.11736468319015639
char__div12m_me,jkp132_pre2022_pc2,0.00837383957314015
char__div12m_me,jkp132_pre2022_pc3,-0.06665397336320607
char__div12m_me,jkp132_pre2022_pc4,-0.07485329752821307
char__div12m_me,jkp132_pre2022_pc5,0.01603815452228871
char__ebitda_mev,jkp132_pre2022_pc1,0.11819874983430767
char__ebitda_mev,jkp132_pre2022_pc2,0.0408884932558933
char__ebitda_mev,jkp132_pre2022_pc3,0.067678135568367
char__ebitda_mev,jkp132_pre2022_pc4,-0.022918436771014183
char__ebitda_mev,jkp132_pre2022_pc5,-0.017020130748207966
char__eq_dur,jkp132_pre2022_pc1,-0.11821999809710404
char__eq_dur,jkp132_pre2022_pc2,-0.0539143234908458
char__eq_dur,jkp132_pre2022_pc3,-0.026986157308937088
char__eq_dur,jkp132_pre2022_pc4,0.05189260185688264
char__eq_dur,jkp132_pre2022_pc5,0.015491211189319593
char__eqnpo_12m,jkp132_pre2022_pc1,0.12409605152853798
char__eqnpo_12m,jkp132_pre2022_pc2,-0.00640160936275061
char__eqnpo_12m,jkp132_pre2022_pc3,-0.015620098372299876
char__eqnpo_12m,jkp132_pre2022_pc4,-0.0067847260599932305
char__eqnpo_12m,jkp132_pre2022_pc5,0.030329049721036873
char__eqnpo_me,jkp132_pre2022_pc1,0.12431426594422311
char__eqnpo_me,jkp132_pre2022_pc2,0.01572449865829674
char__eqnpo_me,jkp132_pre2022_pc3,-0.00597334621615719
char__eqnpo_me,jkp132_pre2022_pc4,-0.009699281484833133
char__eqnpo_me,jkp132_pre2022_pc5,0.026752618309256928
char__eqpo_me,jkp132_pre2022_pc1,0.11762035845350224
char__eqpo_me,jkp132_pre2022_pc2,0.04135000945603699
char__eqpo_me,jkp132_pre2022_pc3,0.0059341102282131864
char__eqpo_me,jkp132_pre2022_pc4,-0.03510847429736784
char__eqpo_me,jkp132_pre2022_pc5,0.014417869604675755
char__ni_me,jkp132_pre2022_pc1,0.11973522733945777
char__ni_me,jkp132_pre2022_pc2,0.0018813036292141339
char__ni_me,jkp132_pre2022_pc3,0.050039439117544875
char__ni_me,jkp132_pre2022_pc4,-0.06374300291804698
char__ni_me,jkp132_pre2022_pc5,-0.013307394249952564
char__ocf_me,jkp132_pre2022_pc1,0.116784515037529
char__ocf_me,jkp132_pre2022_pc2,0.06333713828099895
char__ocf_me,jkp132_pre2022_pc3,0.053555454895170634
char__ocf_me,jkp132_pre2022_pc4,-0.02162373104624662
char__ocf_me,jkp132_pre2022_pc5,-0.0173792340149532
char__sale_me,jkp132_pre2022_pc1,0.11653110163045213
char__sale_me,jkp132_pre2022_pc2,0.06766020307819517
char__sale_me,jkp132_pre2022_pc3,0.057902838564500465
char__sale_me,jkp132_pre2022_pc4,0.005319189679456848
char__sale_me,jkp132_pre2022_pc5,-0.04144319579254495
