candidate_id,benchmark,n_months,n_factors,sample_start,sample_end,status,alpha_monthly,alpha_annualized,alpha_tstat_hac,alpha_pvalue,r_squared,residual_monthly_volatility,factor_rank,series_type,archive,agent,mode,modal_ridge_penalty,alpha_pvalue_holm_within_benchmark,significant_5pct_raw,significant_5pct_holm,alpha_pvalue_holm_replay_family,significant_5pct_holm_replay_family,ff5_momentum_alpha_annualized,alpha_attenuation_from_ff5_momentum,alpha_change_from_ff5_momentum
replay__results_22_24__archived-final__altman,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.00645734954024948,0.07748819448299377,1.4885469727572989,0.14671005428551662,0.8639997277859433,0.02465370617673455,2.0,replay,results_22_24,altman,archived-final,,1.0,False,False,1.0,False,0.07623672263515263,-0.0012514718478411346,0.0012514718478411346
replay__results_22_24__archived-final__buffett,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.018415268545839032,0.2209832225500684,2.8283445992213596,0.00812919778463286,0.7346521126199267,0.032924587968793086,2.0,replay,results_22_24,buffett,archived-final,,0.19510074683118864,True,False,0.09755037341559432,False,0.24073950065893357,0.019756278108865183,-0.019756278108865183
replay__results_22_24__archived-final__ensemble,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.008214672353835733,0.0985760682460288,2.2737064648223555,0.030060827697925535,0.8838947025801102,0.021024273165820933,2.0,replay,results_22_24,ensemble,archived-final,,0.6312773816564362,True,False,0.30060827697925535,False,0.0863141738370096,-0.012261894409019203,0.012261894409019203
replay__results_22_24__archived-final__graham,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.0061309789511235615,0.07357174741348274,1.4121711085316162,0.16785996766627378,0.8226681030129903,0.028023950300860044,2.0,replay,results_22_24,graham,archived-final,,1.0,False,False,1.0,False,0.022347598315564224,-0.05122414909791852,0.05122414909791852
replay__results_22_24__archived-final__greenblatt,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.00441670175300204,0.05300042103602448,1.031027798875912,0.3105051174566193,0.8316085873571594,0.024281067586803765,2.0,replay,results_22_24,greenblatt,archived-final,,1.0,False,False,1.0,False,0.03818813092197224,-0.014812290114052239,0.014812290114052239
replay__results_22_24__archived-final__piotroski,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.005478887703628954,0.06574665244354744,1.6240774568677618,0.11448554703063123,0.836906300690998,0.02590435407952377,2.0,replay,results_22_24,piotroski,archived-final,,1.0,False,False,1.0,False,0.05178530639419213,-0.013961346049355311,0.013961346049355311
replay__results_22_24__tool-routing__altman,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.006299748627615953,0.07559698353139144,1.0606200273866355,0.29705646915178174,0.8553165469359152,0.0246080477295505,2.0,replay,results_22_24,altman,tool-routing,,1.0,False,False,1.0,False,0.0881359501405698,0.01253896660917836,-0.01253896660917836
replay__results_22_24__tool-routing__buffett,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.012316075750859377,0.14779290901031253,2.8043403486004532,0.008625441811417011,0.7575689883488699,0.030847016480372524,2.0,replay,results_22_24,buffett,tool-routing,,0.19838516166259126,True,False,0.09755037341559432,False,0.1413592036063044,-0.0064337054040081165,0.0064337054040081165
replay__results_22_24__tool-routing__ensemble,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.006027767456065522,0.07233320947278626,1.495714869652025,0.14483991382128597,0.8802820224502108,0.021425658744766752,2.0,replay,results_22_24,ensemble,tool-routing,,1.0,False,False,1.0,False,0.07061898959648372,-0.0017142198763025474,0.0017142198763025474
replay__results_22_24__tool-routing__graham,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.0037696273489894157,0.04523552818787299,0.7766266498517432,0.44326489610789477,0.8381904522005315,0.027134192276040633,2.0,replay,results_22_24,graham,tool-routing,,1.0,False,False,1.0,False,0.03881727243523897,-0.006418255752634022,0.006418255752634022
replay__results_22_24__tool-routing__greenblatt,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.003861961925176092,0.046343543102113104,0.8258586354791057,0.41519515453384503,0.8316242695050615,0.02493007896426266,2.0,replay,results_22_24,greenblatt,tool-routing,,1.0,False,False,1.0,False,0.04446639007426375,-0.0018771530278493542,0.0018771530278493542
replay__results_22_24__tool-routing__piotroski,official_ff_capm_matched_jkp_window,33,1,2022-04-30,2024-12-31,identified_ols,0.0038827740755305808,0.04659328890636697,0.9662240223352265,0.3414099900305405,0.8502102260856979,0.02468101741584684,2.0,replay,results_22_24,piotroski,tool-routing,,1.0,False,False,1.0,False,0.04047605636390085,-0.006117232542466121,0.006117232542466121
