candidate_id,series_type,archive,agent,mode,formation_month,realization_month,date,gross_return,traded_notional,net_costed_return,gross_nav,net_costed_nav,transaction_cost_nav,missing_execution_weight,month_complete,scheduled_complete,analysis_eligible,failure_flag,candidate_return_kind,cost_status
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-03-31,2022-04-30,2022-04-30,-0.12492576422947466,0.9999999999999999,-0.12501327165305143,0.8750742357705253,0.8749867283469486,9.999999999999999e-05,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-03-31,2022-05-31,2022-05-31,0.0028705355669571553,0.0,0.0028705355669569332,0.8775861674880325,0.8774984088712837,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-03-31,2022-06-30,2022-06-30,-0.09040848143216307,0.0,-0.09040848143216318,0.7982449347595676,0.7981651102660915,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-06-30,2022-07-31,2022-07-31,0.13373765342770438,1.2071399106269822,0.13360079543074055,0.9050003391948631,0.9048006038827061,9.677803699821912e-05,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-06-30,2022-08-31,2022-08-31,-0.05640744903329953,0.0,-0.056407449033299084,0.8539515786866101,0.8537631099338941,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-06-30,2022-09-30,2022-09-30,-0.07763201384452623,0.0,-0.07763201384452667,0.7876575979074562,0.7874837603635599,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-09-30,2022-10-31,2022-10-31,0.06005636435653061,0.9528951369103725,0.05995535210108627,0.8349614495955759,0.8346976264900445,7.503894456463295e-05,6.661338147750939e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-09-30,2022-11-30,2022-11-30,0.111363620158347,0.0,0.11136362015834678,0.9279457793152004,0.9276525759135554,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-09-30,2022-12-31,2022-12-31,-0.07973104167738387,0.0,-0.0797310416773841,0.8539596957102676,0.853689869721259,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-12-31,2023-01-31,2023-01-31,0.12555876422222534,0.5256228348090378,0.1254996022833863,0.9611818197992364,0.9608276088446329,4.487188893706464e-05,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-12-31,2023-02-28,2023-02-28,0.011254315202721354,0.0,0.011254315202721132,0.9719992629663824,0.9716410656100473,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2022-12-31,2023-03-31,2023-03-31,0.08092816865493502,0.0,0.0809281686549348,1.0506613832521983,1.0502741976397978,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-03-31,2023-04-30,2023-04-30,0.003874397215208658,0.735538774189767,0.0038005583608518023,1.0547320627895977,1.0542658260228246,7.72517395895118e-05,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-03-31,2023-05-31,2023-05-31,0.06943035075636028,0.0,0.06943035075636028,1.127962479863059,1.1274638721140333,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-03-31,2023-06-30,2023-06-30,0.053406831732016435,0.0,0.053406831732016435,1.1882033822251332,1.1876781454159553,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-06-30,2023-07-31,2023-07-31,0.028973610342547973,0.5661354958882733,0.02891535649403343,1.2226299240294218,1.2220202823908302,6.723867558107266e-05,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-06-30,2023-08-31,2023-08-31,-0.013778560309397947,0.0,-0.013778560309397836,1.2057838438851078,1.2051826022306007,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-06-30,2023-09-30,2023-09-30,-0.048271368722160424,0.0,-0.04827136872216076,1.147579007357706,1.1470067884607942,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-09-30,2023-10-31,2023-10-31,-0.04318356457017092,0.38248350977800794,-0.043220161221014575,1.0980224551941018,1.0974329701419205,4.3871118218968564e-05,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-09-30,2023-11-30,2023-11-30,0.13012378636889488,0.0,0.13012378636889488,1.2409012945820286,1.2402351035028496,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-09-30,2023-12-31,2023-12-31,0.07567720753891782,0.0,0.0756772075389176,1.3348092393874247,1.3340926328276856,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-12-31,2024-01-31,2024-01-31,0.026268496670422525,0.7769373830342949,0.026188762034413005,1.3698726714479224,1.3690308673206735,0.00010365064388744747,1.1102230246251565e-16,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
authors__results_22_24__altman,authors,results_22_24,altman,archived-portfolio,2023-12-31,2024-02-29,2024-02-29,0.06605065178643743,0.0,0.06605065178643765,1.460353654261486,1.459456248422956,0.0,0.0,True,True,True,,long_only_total_return,1bp_times_one_way_traded_notional
