factor,published_scale_multiplier
capm_top1000_mkt,0.4528522982798626
char__cowc_gr1a,2.989980159902429
char__oaccruals_at,1.9275684523456416
char__oaccruals_ni,2.6820236141870755
char__taccruals_at,2.3509552451137465
char__taccruals_ni,2.9404579214407343
char__debt_gr3,1.3786290527815008
char__fnl_gr1a,3.1122766002508344
char__ncol_gr1a,2.4378538732536432
char__nfna_gr1a,3.3496764742440965
char__noa_at,2.1705277943586814
char__aliq_at,1.0250651032353457
char__at_gr1,0.9849882211270337
char__be_gr1a,1.0492472839839226
char__capx_gr1,1.5593025900013906
char__capx_gr2,1.4609375511682245
char__capx_gr3,1.3283158892639957
char__coa_gr1a,1.6295269581218932
char__col_gr1a,1.4126226099663775
char__emp_gr1,1.1759490496481642
char__inv_gr1,1.3867862188383289
char__inv_gr1a,2.399538961485328
char__lnoa_gr1a,1.823362199669916
char__mispricing_mgmt,1.1911904940222324
char__ncoa_gr1a,1.9401052771121183
char__nncoa_gr1a,1.8582910160324406
char__noa_gr1a,1.8901118260599954
char__ppeinv_gr1a,1.7343388609902626
char__sale_gr1,0.9227869316861259
char__sale_gr3,0.9472079590302782
char__saleq_gr1,0.9565672358977088
char__age,0.8511097757749612
char__aliq_mat,1.3700631930602918
char__at_be,1.0472405849921724
char__bidaskhl_21d,0.6877674059676904
char__cash_at,0.7824036570341951
char__netdebt_me,0.89594651548233
char__tangibility,1.6030546779842307
char__z_score,1.0287862768618223
char__beta_60m,0.7124726694776611
char__beta_dimson_21d,0.8190564304393569
char__betabab_1260d,0.6787306765263879
char__betadown_252d,0.6337501889217441
char__chcsho_12m,1.0136852465617214
char__eqnetis_at,1.0227881318608283
char__fcf_me,1.0828479033101084
char__ivol_capm_21d,0.6723371759935949
char__ivol_capm_252d,0.6228059622605125
char__ivol_ff3_21d,0.6847255170345378
char__ivol_hxz4_21d,0.6939878195131858
char__netis_at,1.1202611610169846
char__rmax1_21d,0.6921382641731386
char__rmax5_21d,0.6461449610880355
char__rvol_21d,0.6042363248765152
char__turnover_126d,0.7835437686956591
char__zero_trades_126d,0.8411349484535477
char__zero_trades_21d,0.8642086687924274
char__zero_trades_252d,0.9096905757252031
char__prc_highprc_252d,0.714042693272284
char__resff3_12_1,1.4359842521404176
char__resff3_6_1,1.564154596030706
char__ret_12_1,0.6977550555423788
char__ret_3_1,0.8732469686418862
char__ret_6_1,0.7569853773152695
char__ret_9_1,0.7206832592478574
char__seas_1_1na,0.7155394669866975
char__dsale_drec,2.6827073476876984
char__niq_at_chg1,1.9222254463638146
char__niq_be_chg1,1.8195541721438515
char__niq_su,2.9693941583640453
char__ocf_at_chg1,2.505612520717373
char__qmj_safety,1.505012550807724
char__ret_12_7,0.951853911558642
char__sale_emp_gr1,1.9721696509621918
char__saleq_su,1.771928331660753
char__seas_1_1an,1.1743342498954985
char__sti_gr1a,1.8425417284231074
char__dolvol_var_126d,1.3860650292817254
char__ebit_bev,1.4060246762264388
char__ebit_sale,1.0920123806005195
char__f_score,2.0645267332807893
char__ival_me,1.424753057995296
char__ni_be,1.1731772287521531
char__niq_be,1.2736417284398118
char__o_score,2.2760218775193604
char__ocf_at,1.5021926279652176
char__ope_be,1.3385431632298246
char__ope_bel1,1.8180128813917522
char__turnover_var_126d,1.7022633069129507
char__at_turnover,1.8918788479572122
char__cop_at,1.973855990964269
char__cop_atl1,1.5851021188857908
char__dgp_dsale,1.7987815059291745
char__gp_at,1.793849004638658
char__gp_atl1,1.4763455489008412
char__mispricing_perf,1.4023350443794382
char__ni_inc8q,2.6556094719729613
char__niq_at,1.4336115210774185
char__op_at,1.692825345361009
char__op_atl1,1.5853949000717495
char__opex_at,2.1185386527249297
char__qmj_prof,1.6190943131247115
char__sale_bev,2.0950877877150913
char__tax_gr1a,2.3186153005532066
char__corr_1260d,1.142405961506787
char__coskew_21d,1.5699883988255543
char__dbnetis_at,2.648176402501326
char__kz_index,1.5050931952492337
char__lti_gr1a,3.9581531753507284
char__pi_nix,1.8612358073895063
char__ami_126d,1.841360678242033
char__dolvol_126d,1.6371710440584946
char__market_equity,2.078834613678535
char__prc,0.9468242178996236
char__iskew_capm_21d,3.104549373672749
char__iskew_ff3_21d,3.4001756301764705
char__iskew_hxz4_21d,3.381622414640239
char__ret_1_0,0.950333866866275
char__rmax5_rvol_21d,1.4778427044911184
char__rskew_21d,2.560978899384232
char__at_me,0.7040216568969712
char__be_me,0.8357484084207755
char__bev_mev,0.7689676878811644
char__debt_me,0.78269981386495
char__div12m_me,0.94283564076545
char__ebitda_mev,0.7067070570451367
char__eq_dur,0.819788378609464
char__eqnpo_12m,0.9298521635769937
char__eqnpo_me,0.8277752161894741
char__eqpo_me,1.0811603631013396
char__ni_me,0.7874518723808892
char__ocf_me,0.7899025250245573
char__sale_me,0.7043977436448743
