candidate_id,benchmark,n_months,n_factors,sample_start,sample_end,status,alpha_monthly,alpha_annualized,alpha_tstat_hac,alpha_pvalue,r_squared,residual_monthly_volatility,factor_rank,series_type,archive,agent,mode,modal_ridge_penalty,alpha_pvalue_holm_within_benchmark,significant_5pct_raw,significant_5pct_holm,alpha_pvalue_holm_replay_family,significant_5pct_holm_replay_family
authors__results_22_24__altman,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.004396144028073828,0.052753728336885936,1.2403188366991873,0.22853744254598993,0.944450224342851,0.015807155663685426,12.0,authors,results_22_24,altman,archived-portfolio,,1.0,False,False,,False
authors__results_22_24__buffett,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.007110204615571442,0.0853224553868573,1.9501884540995646,0.06462893070407746,0.9294388538494728,0.015946954603545227,12.0,authors,results_22_24,buffett,archived-portfolio,,1.0,False,False,,False
authors__results_22_24__ensemble,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0046307399533756476,0.05556887944050777,1.9253341726958484,0.06783767369075794,0.9606231373459307,0.01239446533277183,12.0,authors,results_22_24,ensemble,archived-portfolio,,1.0,False,False,,False
authors__results_22_24__graham,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0060982330578010155,0.07317879669361219,1.7254649866056975,0.09913073528762685,0.9224610609381916,0.019894139186190235,12.0,authors,results_22_24,graham,archived-portfolio,,1.0,False,False,,False
authors__results_22_24__greenblatt,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0025904749161973157,0.031085698994367788,0.7481645266276749,0.4626581617013956,0.9400218641548856,0.014739408384554658,12.0,authors,results_22_24,greenblatt,archived-portfolio,,1.0,False,False,,False
authors__results_22_24__piotroski,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0025100745967717585,0.030120895161261103,0.8117998808788357,0.42601307372126707,0.9282388322757358,0.01661445965802211,12.0,authors,results_22_24,piotroski,archived-portfolio,,1.0,False,False,,False
authors__results__altman,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,altman,archived-portfolio,,,False,False,,False
authors__results__buffett,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,buffett,archived-portfolio,,,False,False,,False
authors__results__ensemble,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,ensemble,archived-portfolio,,,False,False,,False
authors__results__graham,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,graham,archived-portfolio,,,False,False,,False
authors__results__greenblatt,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,greenblatt,archived-portfolio,,,False,False,,False
authors__results__piotroski,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,piotroski,archived-portfolio,,,False,False,,False
