snapshot,commit,commit_date,cutoff_or_audit_date,tracked_files,data_science_or_kaggle_files,data_science_or_kaggle_python_files,released_result_trace_checkpoint_files
pre_v1,2112d676d0938de6fea163b2e5eb9c36771e7041,2025-05-19T17:59:42+08:00,2025-05-20T06:07:00Z,536,249,220,0
pre_v2,f360d0a212793eb044c218b5e13b095e684a632d,2025-09-23T16:20:00+08:00,2025-10-01T03:21:53Z,609,268,233,0
audit_current,6762f84f9bc0f5c6486c50a00e128a57ac6c3683,2026-08-04T19:50:56+08:00,2026-08-11,907,268,233,0
