head_commit,repository_count,repositories,branch_ref_count,branches,reachable_from_current_official_history,divergent_from_current_official_history,paper_result_credit
002530c89ec517b62bd1feba6c7e27c6650229fb,1,wjh720/RD-Agent,1,main,False,True,False
004ede3128ff8a50c8a8cfcc9741fce8cdf8c7b7,1,UnitedShift/RD-Agent,1,qzli/llm_finetune,False,True,False
0052a14c628f2827ae4c998d7316b57192fe6ab2,2,jidodata-ykim/RD-Agent;user01010011/RD-Agent,2,task-cancel,False,True,False
0060aa9f46e559585220226ba0f5734a1a8c5c6c,1,techshoww/RD-Agent,1,fix_mcts_reward,True,False,False
0099f00a275bde92a09c745577764722d948f73a,1,Gomerlucky/microsoft-RD-Agent,1,dependabot/pip/rdagent/scenarios/rl/autorl_bench/benchmarks/webshop/pip-6d02a2de66,False,True,False
00c24ed1cb52d149786c816d35ff90d2cef5da3c,2,afaq-mohiuddin/RD-Agent;xwinwin/RD-Agent,2,xuyang/offline_selector_test,False,True,False
00f5b57195353aa7125d5dc591d655deba70418a,172,2604714984-prog/RD-Agent;420646826/RD-Agent;5LinHina/RD-Agent;Aimon-D/RD-Agent;AlbertSuluo/RD-Agent;AlbertWx/RD-Agent;BnFeng/RD-Agent;BouajilaHamza/RD-Agent;BradTime/RD-Agent;CyberGhost007/RD-Agent;DSAXXx54/RD-Agent;Damohi101/RD-Agent;DotWasi/RD-Agent;FengStock/RD-Agent;FloranceJR/RD-Agent;FuLab-ZhaoSun/RD-Agent;HFQT5188/RD-Agent;HaiyangLiang/RD-Agent;Hemingway-ai/RD-Agent;HnLong/RD-Agent;HoltYoung/RD-Agent;Hotant-Bu/RD-Agent;JasonOA888/RD-Agent;JiwaniZakir/RD-Agent;KingofPoly/RD-Agent;LMSFNB/RD-Agent;LeePapa/RD-Agent;Lin-dev/RD-Agent;Lingjie-chen/RD-Agent;MinghengYing/RD-Agent;Muna-Lombe/RD-Agent;Nick11164/RD-Agent;OHMFOHS/RD-Agent;OofyRex/RD-Agent;OutsideCollective/RD-Agent;PAUL01zjb/RD-Agent;Pendia/Microsoft-Research-and-Development-Agent;QX0826/RD-Agent;RamBITS-AI/RD-Agent;RinZ27/RD-Agent;Rumblingb/RD-Agent;Shootmir/RD-Agent;Sunny020828/RD-Agent;SuperCollectionAI/RD-Agent;Tiechuifeifei/RD-Agent;TobyYang7/RD-Agent;UNKNwYSHSA/RD-Agent;UncleTIM-GZ/RD-Agent;UnitedShift/RD-Agent;WangCheng0116/RD-Agent;Wengjunwong/RD-Agent;WoW55QQ/RD-Agent;Wolvend/RD-Agent;X-yimeng/RD-Agent;XianBW/RD-Agent;Zombie52/RD-Agent;Zzz-zzZ258/RD-Agent;abcd1927/RD-Agent;afaq-mohiuddin/RD-Agent;ai-sec-auditor/rd-agent;akashtalole/RD-Agent;andesyteoss/RD-Agent;anupamme/RD-Agent;atlonxp-llm/RD-Agent;autocons/RD-Agent;axeriumi/RD-Agent;belinwu/RD-Agent;bit-cook/RD-Agent;bobqiu/RD-Agent;bygbyron3/RD-Agent;c2b247/RD-Agent;chelsea97/RD-Agent;chrisbatso/RD-Agent;codeOwlAI/RD-Agent;commit4ever/RD-Agent;cslwqxx/RD-Agent;czh2774/RD-Agent;danfiedler-msft/RD-Agent;deepmindru-afk/RD-Agent;dorateq/RD-Agent;dorucioclea/RD-Agent;dsbatra/RD-Agent;duguyue8/RD-Agent;eddy668/RD-Agent;erdelmaero/RD-Agent;fabiodr/RD-Agent;fangzhe3/RD-Agent;farseerzyd/RD-Agent;fisherman-dev/RD-Agent;fontestad-ai/ai-RD-Agent;fontestad-ai/ms-ai-RD-Agent;forkgitss/microsoft-RD-Agent;foundations/RD-Agent;genisis0x/RD-Agent;gitWK86/RD-Agent;hellosun/RD-Agent;hihihhi/RD-Agent;hqhony/RD-Agent;hsiehchou/RD-Agent;huangjingui/RD-Agent;iagentic/RD-Agent;iammasika/RD-Agent;iholo/RD-Agent;j8267643/RD-Agent;jackman337/RD-Agent;jay0118ai/RD-Agent;jercoh/RD-Agent;jidodata-ykim/RD-Agent;jingyuanlm/RD-Agent;kasenalberik-jpg/RD-Agent;leasunhy/RD-Agent;letainc/RD-Agent;liangyuanxuan/RD-Agent;likeaixi/RD-Agent;liziyang168/RD-Agent;lizy168/RD-Agent;mainhatduy/rd-agent;mango766/RD-Agent;mbrukman/microsoft-RD-Agent;meikis/RD-Agent;mfkiwl/RD-Agent;misselvexu/RD-Agent;mskj-apaas/RD-Agent;myu233/RD-Agent;nagyist/msft-RD-Agent;naqeebali-shamsi/RD-Agent;nei-ku/RD-Agent;nik-o-o/RD-Agent;nurulabsai/RD-Agent;odoochain/RD-Agent;offfo/Lianghua-RD-Agent;peilin-liu/RD-Agent;peteryang1/RD-Agent;pirjust/RD-Agent;proezoen/RD-Agent;ronaldgosso/RD-Agent;s16173760/RD-Agent;sg-evals/microsoft-rd-agent;shatianming5/RD-Agent;shawncoding2030/RD-Agent;sherrybao222/RD-Agent;shin4/RD-Agent;sivi-shahab/RD-Agent;smallvq123/RD-Agent;sycomix/RD-Agent;techshoww/RD-Agent;tiptales/RD-Agent;tochengAI/RD-Agent;tochengAgent/RD-Agent;tolivetoearn-debug/RD-Agent;tomjamescn/RD-Agent;tonirodriguez/RD-Agent;user01010011/RD-Agent;vishalbelsare/RD-Agent;wayson20/RD-Agent;whataiart/RD-Agent;wrongbutworks/RD-Agent;wwwVolley/RD-Agent;x4v13r64/RD-Agent;xfq2002xqxq/RD-Agent;xijue15/RD-Agent;xingshuzhice/RD-Agent;xinpenghong/RD-Agent;xujianming2017/RD-Agent;xwinwin/RD-Agent;ybwbqg9379/RD-Agent;yfy1127yfy/RD-Agent;zhangjian94cn/RD-Agent;zhou5205/RD-Agent;zillram-cpu/RD-Agent;zjtest23/RD-Agent;zyclove/RD-Agent,172,refactor/loop_ctrl,True,False,False
010e1ac1d38ea6eb4cd06f0a370fd7fac194db8e,1,jercoh/RD-Agent,1,change_log_object,False,True,False
010eee0b7be8a92be5fcd9616e06b2be278cd02c,1,myu233/RD-Agent,1,main,False,True,False
013d79f12060e908aeb57c3eb1bb56eea86df086,10,EWPzeming/RD-Agent;JasonQWJ/RD-Agent;PJjinpeng/RD-Agent;bonebo/RD-Agent;leon90dm/RD-Agent;nei-ku/RD-Agent;qprui/RD-Agent;qwang1016/RD-Agent;risacaph/RD-Agent;shansongliu/RD-Agent,10,main,True,False,False
016f28e082a9b08d993a65f9323be14c874fca7d,1,lajiman/RD-Agent,1,futures,False,True,False
01d4ae6d7cccc5534e41ee5eb32ceb1fe127a22f,5,Aimon-D/RD-Agent;MinghengYing/RD-Agent;Zzz-zzZ258/RD-Agent;iholo/RD-Agent;jercoh/RD-Agent,5,ytli_quant_scen,False,True,False
01e50422f3dad6c290bc816c97f3e136f079b230,21,AlbertWx/RD-Agent;CyberGhost007/RD-Agent;Hemingway-ai/RD-Agent;HnLong/RD-Agent;UncleTIM-GZ/RD-Agent;afaq-mohiuddin/RD-Agent;autocons/RD-Agent;bobqiu/RD-Agent;deepmindru-afk/RD-Agent;eddy668/RD-Agent;farseerzyd/RD-Agent;fontestad-ai/ai-RD-Agent;j8267643/RD-Agent;jackman337/RD-Agent;meikis/RD-Agent;mskj-apaas/RD-Agent;peteryang1/RD-Agent;xfq2002xqxq/RD-Agent;xijue15/RD-Agent;xwinwin/RD-Agent;yfy1127yfy/RD-Agent,21,same-valid,False,True,False
