trace,commit,source_out,model,statistic,paper_vector_value,historical_output_value,historical_minus_paper,match_tolerance_1e-4,paper_result_credit
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/1.out,PVS,q1,0.11594176087050079,0.1264926795500953,0.010550918679594512,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/1.out,PVS,med,0.2880159136620113,0.18860804557705696,-0.09940786808495433,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/1.out,PVS,q3,0.3837526377313181,0.22597134473762712,-0.157781292993691,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/1.out,PVS,whislo,-0.14182753690316274,0.03794148993394564,0.17976902683710838,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/1.out,PVS,whishi,0.54139767555939,0.28993995697509667,-0.25145771858429333,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/2.out,RAPS,q1,0.10585241863246164,0.13292483781514436,0.027072419182682717,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/2.out,RAPS,med,0.2625834965214686,0.17765986760699892,-0.0849236289144697,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/2.out,RAPS,q3,0.3845308519828758,0.2152866253431789,-0.16924422663969688,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/2.out,RAPS,whislo,-0.13362676627476155,0.011441569763634085,0.14506833603839564,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/2.out,RAPS,whishi,0.5287626545257524,0.2716419882891634,-0.257120666236589,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/4.out,EVC,q1,-0.026927776567634565,-0.005977418661928913,0.020950357905705652,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/4.out,EVC,med,0.09414260129012764,0.031436779792015146,-0.06270582149811249,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/4.out,EVC,q3,0.1286458857388575,0.1448037737486128,0.016157888009755317,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/4.out,EVC,whislo,-0.11907227610895899,-0.18883534323505802,-0.06976306712609903,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/4.out,EVC,whishi,0.30103309952337515,0.2898477722161583,-0.01118532730721683,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/5.out,VEC,q1,-0.01279645269787455,0.038266857092286416,0.051063309790160966,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/5.out,VEC,med,0.0648119724427767,0.09188197667694331,0.02707000423416661,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/5.out,VEC,q3,0.20579578252675312,0.1404378609256508,-0.06535792160110232,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/5.out,VEC,whislo,-0.15506603810607944,-0.06098374220846248,0.09408229589761696,no,no
