path,bytes,sha256,role,system_code,system_data
2016_2020_3M_step2_allsector.svg,37091,a62841f0a629730a7beadb6e9d658e95a405478f0c1b1cb897f06d68264a713f,published_vector_figure,no,no
EN_2016_2020_1M_step2.svg,39299,04cfcc6e64567187f03cf1f6fa8e0fdc8794d0f7c42f75493c39f0ac63b36bb9,published_vector_figure,no,no
EN_2016_2020_3M_step2.svg,39288,b1e807d789301efb78bd260e553e01825a68538c3d2f54b0c63e730c1c51ea9a,published_vector_figure,no,no
HC_2016_2020_1M_step2.svg,38297,29aae58e1391dbf3b52e63de940be84d05cef9dac4e869afe5bae4aa2460a2b6,published_vector_figure,no,no
HC_2016_2020_3M_step2.svg,37752,ff9ac137d3915105cde4fa6757ae0e7f392aefb75fcac9cb04609080779c37af,published_vector_figure,no,no
IQS_Reasoning.pdf,75316,6fb5004c9735fc193d4d55bb71b3440d562999dff847fb04f0eea23780958489,paper_asset,no,no
IT_2016_2020_1M_step2.svg,36853,8bdab4175258a0c9b72cd04880e1fca07f440469238d18816e400c4afd30367b,published_vector_figure,no,no
IT_2016_2020_3M_step2.svg,39026,63aa983cedce21b90f85459efb8a972d2d014e48c1ab070e24a9e19d97398738,published_vector_figure,no,no
acl.sty,11830,f2168b57b2f445aac55af82662c8aa9dbad771f6393da5a154fa163abec2e76a,paper_source,no,no
acl_latex.tex,57797,3fb3c325a9f756e02cbf7f1eb4523cbdcce3721ee2d4a0887c15c9a53019436d,paper_source,no,no
acl_natbib.bst,47709,391788478ae013cc539e3e44681e22e8e0f6c4c44fee5af28244dd5ac6a4059b,paper_source,no,no
all.png,212317,69a74cf8b1c229f85358daeb11eb782d616af9a9be44d77bcc91e82f062028b8,paper_asset,no,no
corr_avg_allsector.svg,206070,97d9cee645fffe21de320ba37c79585d0704be2c9d88cf152fde462bfeac0e1b,published_vector_figure,no,no
custom.bib,31710,6f8b9ba962f2e7b1798cf9c1abd365d705919baa4f17723c4b6bcf6df901bf78,paper_source,no,no
en_1m_16-20_new.svg,53753,1a0606eab9dc8620d4e6e0727b3f66ac2a2854df4217e7216060b105a342abf1,published_vector_figure,no,no
en_1m_16-20_old.svg,101185,dcfda7b59b684e534b0f930cdebbd5df9c84b0013273927bd6a6fd9dd4b1cb3f,published_vector_figure,no,no
en_3m_16-20_new.svg,53753,4d0d5dad16461f9cb096944ad601f80f966f6164f237d1ab883b53f1b192e96a,published_vector_figure,no,no
en_3m_16-20_old.svg,101572,525a3177ab007606938ad50f63ec7881e1c8ff61860ff7055aab2de93e255793,published_vector_figure,no,no
