version,path,bytes,role,paper_system_implementation,underlying_experiment_data
v1,00README.json,401,official_manuscript_source,False,False
v1,fancyhdr.sty,20521,official_manuscript_source,False,False
v1,figures/fig_AL_CUR.pdf,284920,official_manuscript_source,False,False
v1,figures/fig_ablation.pdf,156670,official_manuscript_source,False,False
v1,figures/fig_evolution_map.pdf,181318,official_manuscript_source,False,False
v1,figures/fig_system.pdf,1906480,official_manuscript_source,False,False
v1,figures/fig_timi_transactions.pdf,714712,official_manuscript_source,False,False
v1,figures/fig_violin.pdf,368344,official_manuscript_source,False,False
v1,iclr2026_conference.bib,35131,official_manuscript_source,False,False
v1,iclr2026_conference.bst,26973,official_manuscript_source,False,False
v1,iclr2026_conference.sty,8989,official_manuscript_source,False,False
v1,main.bbl,18826,official_manuscript_source,False,False
v1,main.tex,4478,official_manuscript_source,False,False
v1,math_commands.tex,12284,official_manuscript_source,False,False
v1,natbib.sty,45154,official_manuscript_source,False,False
v1,sections/appendix.tex,14864,official_manuscript_source,False,False
v1,sections/conclusion.tex,2015,official_manuscript_source,False,False
v1,sections/experiments.tex,19807,official_manuscript_source,False,False
v1,sections/introduction.tex,7655,official_manuscript_source,False,False
v1,sections/method.tex,21433,official_manuscript_source,False,False
v1,sections/related_work.tex,4117,official_manuscript_source,False,False
v2,00README.json,574,official_manuscript_source,False,False
v2,fancyhdr.sty,20521,official_manuscript_source,False,False
v2,figures/fig_AL_CUR.pdf,284920,official_manuscript_source,False,False
v2,figures/fig_ablation.pdf,156670,official_manuscript_source,False,False
v2,figures/fig_evolution_map.pdf,181318,official_manuscript_source,False,False
v2,figures/fig_system.pdf,1906480,official_manuscript_source,False,False
v2,figures/fig_timi_transactions.pdf,714712,official_manuscript_source,False,False
v2,figures/fig_violin.pdf,368344,official_manuscript_source,False,False
v2,iclr2026_conference.bib,35131,official_manuscript_source,False,False
v2,iclr2026_conference.bst,26973,official_manuscript_source,False,False
v2,iclr2026_conference.pdf,200508,official_manuscript_source,False,False
v2,iclr2026_conference.sty,9025,official_manuscript_source,False,False
v2,main.bbl,18826,official_manuscript_source,False,False
v2,main.tex,4548,official_manuscript_source,False,False
v2,math_commands.tex,12284,official_manuscript_source,False,False
v2,natbib.sty,45154,official_manuscript_source,False,False
v2,sections/appendix.tex,15244,official_manuscript_source,False,False
v2,sections/conclusion.tex,1500,official_manuscript_source,False,False
v2,sections/experiments.tex,28024,official_manuscript_source,False,False
v2,sections/introduction.tex,7655,official_manuscript_source,False,False
v2,sections/method.tex,21433,official_manuscript_source,False,False
v2,sections/related_work.tex,4119,official_manuscript_source,False,False
