formation_month,forecast_reflection_start,forecast_reflection_end,forecast_reflection_months,agent_mean_rankic__news_sentiment,agent_reliability__news_sentiment,agent_mean_rankic__financial_report,agent_reliability__financial_report,agent_mean_rankic__technical,agent_reliability__technical,style_reflection_start,style_reflection_end,style_reflection_months,selected_style,risk_intercept_quantile,risk_intercept_count,finite_scores,style_mean_rankic__aggressive,style_mean_rankic__balanced,style_mean_rankic__conservative
1999-07-31,1994-07-31,1999-06-30,60,-0.015918384424049043,0.21523952497731413,0.028147786762217193,0.5196081144504804,-0.00549072799158229,0.2651523605722055,1997-11-30,1999-06-30,20,aggressive,1.0,0,751,0.01566112425849374,0.010212881353537649,0.010424834414108556
1999-08-31,1994-08-31,1999-07-31,60,-0.015231244106500412,0.22046341222529564,0.024633891743172955,0.48932870751833574,-0.0014879568822932213,0.29020788025636846,1997-12-31,1999-07-31,20,aggressive,1.0,0,744,0.022291354550897716,0.012872545083339692,0.011364223474887235
1999-09-30,1994-09-30,1999-08-31,60,-0.014218689874531955,0.22423351921080567,0.024215666447462852,0.4836565908020293,-0.0009965867878054574,0.2921098899871651,1998-01-31,1999-08-31,20,aggressive,1.0,0,743,0.030070807019047484,0.020247767438295376,0.017194298032953366
1999-10-31,1994-10-31,1999-09-30,60,-0.015220755680229748,0.22326747891452273,0.021565606790706293,0.46595905204690574,0.0013139314044709966,0.3107734690385715,1998-02-28,1999-09-30,20,aggressive,1.0,0,720,0.03312868875399387,0.024928748879887226,0.021751285209436713
1999-11-30,1994-11-30,1999-10-31,60,-0.009677482864112248,0.2376505881584656,0.021991213433538975,0.447723298312791,0.004351692872082818,0.3146261135287433,1998-03-31,1999-10-31,20,aggressive,1.0,0,707,0.04830519964785625,0.034222826622554096,0.02819483430543711
1999-12-31,1994-12-31,1999-11-30,60,-0.005003091529118232,0.2520955138770996,0.019875765051781142,0.41462942547082443,0.008954914369169113,0.3332750606520759,1998-04-30,1999-11-30,20,aggressive,1.0,0,701,0.05967644965237716,0.0430261809190148,0.03272245148349498
2000-01-31,1995-01-31,1999-12-31,60,-0.0011867916172125417,0.25823090223531064,0.020382507394408902,0.3975179676911554,0.013189071669588512,0.3442511300735339,1998-05-31,1999-12-31,20,aggressive,1.0,0,697,0.06118000591083365,0.04186918562737443,0.030103511764679673
2000-02-29,1995-02-28,2000-01-31,60,0.006110255393045892,0.2733206385852311,0.01833728068244486,0.34903985454943404,0.022274977829020975,0.37763950686533476,1998-06-30,2000-01-31,20,aggressive,1.0,0,677,0.06599710171785099,0.04198558072723651,0.026764249637932364
2000-03-31,1995-03-31,2000-02-29,60,-0.002577859146363952,0.2541397354772061,0.017452149169177766,0.37935954454633364,0.015727952372068848,0.3665007199764602,1998-07-31,2000-02-29,20,aggressive,1.0,0,695,0.04694775066039441,0.02601271157653458,0.015548486346597399
2000-04-30,1995-04-30,2000-03-31,60,-0.004194012037400817,0.24897096761046647,0.018863232174397383,0.3948402204831585,0.013712221315291631,0.35618881190637497,1998-08-31,2000-03-31,20,aggressive,1.0,0,723,0.03947441974974012,0.01622622070972471,0.005466123768876474
2000-05-31,1995-05-31,2000-04-30,60,-0.00578586754539972,0.24370141168138618,0.01948574446332567,0.40398429097928445,0.012643128157667235,0.35231429733932945,1998-09-30,2000-04-30,20,aggressive,1.0,0,726,0.036491892987992575,0.018557766866385883,0.010511236047793688
2000-06-30,1995-06-30,2000-05-31,60,-0.006289691388000845,0.24271920330314925,0.016912558253320848,0.38604356510061627,0.014957111776692317,0.37123723159623445,1998-10-31,2000-05-31,20,aggressive,1.0,0,704,0.04137668206329313,0.022999403311386033,0.013739954718194567
2000-07-31,1995-07-31,2000-06-30,60,-0.015465303168927714,0.2167981395747161,0.015426638231734026,0.4021421030155175,0.01273417274067132,0.3810597574097663,1998-11-30,2000-06-30,20,aggressive,1.0,0,713,0.03170800088516182,0.017886526726878064,0.0106947672956292
2000-08-31,1995-08-31,2000-07-31,60,-0.010597725215162175,0.2350120665080995,0.015345180246127061,0.39484566573604096,0.01211480376051596,0.37014226775585957,1998-12-31,2000-07-31,20,aggressive,1.0,0,708,0.0181754064548642,0.0034770021466289406,-0.0037364683149862547
2000-09-30,1995-09-30,2000-08-31,60,-0.012331062628025294,0.22394867014935377,0.015772686479399285,0.39287514202736884,0.014522838839626991,0.3831761878232774,1999-01-31,2000-08-31,20,aggressive,1.0,0,716,0.011837116778013374,0.0036286785193773512,-4.116183805119439e-05
2000-10-31,1995-10-31,2000-09-30,60,-0.015894225719501123,0.21508358736652772,0.017021381231098753,0.41544027855170096,0.011158745156259505,0.3694761340817713,1999-02-28,2000-09-30,20,aggressive,1.0,0,732,0.012950906005140289,0.0052384619822832155,0.0023654170343164497
2000-11-30,1995-11-30,2000-10-31,60,-0.019271202183212034,0.1898123384472888,0.01863605337964226,0.405119061512082,0.018629825011337905,0.4050686000406293,1999-03-31,2000-10-31,20,conservative,0.6,86,749,0.01689774761514936,0.019256644957497075,0.020985308752435945
2000-12-31,1995-12-31,2000-11-30,60,-0.015500296524726731,0.19966282398371943,0.020262458502675742,0.40825221781151944,0.01824212760779735,0.3920849582047611,1999-04-30,2000-11-30,20,conservative,0.6,86,743,0.026862813504477362,0.029761553410163472,0.03094739848081281
2001-01-31,1996-01-31,2000-12-31,60,-0.016859945558823277,0.20309063404419753,0.022911354807964922,0.4499238561368537,0.009921587846260398,0.3469855098189488,1999-05-31,2000-12-31,20,aggressive,1.0,0,743,0.01786094752950558,0.01587296066800305,0.015764655171809996
2001-02-28,1996-02-29,2001-01-31,60,-0.023442424130216518,0.17179605895509786,0.021110945681458375,0.41879245613907073,0.019978208684342087,0.4094114849058314,1999-06-30,2001-01-31,20,conservative,0.6,81,760,0.015463502725232064,0.023513810130635714,0.02634025836359863
2001-03-31,1996-03-31,2001-02-28,60,-0.025071777868272315,0.15672628961729748,0.022965526959691594,0.4096270052022041,0.025814684809834905,0.43364670518049847,1999-07-31,2001-02-28,20,conservative,0.6,80,773,0.023720215176177156,0.03412615594274271,0.03679593624032991
2001-04-30,1996-04-30,2001-03-31,60,-0.02496954869480751,0.16632567541571533,0.02075051700792289,0.4150292835420885,0.02118423315647413,0.41864504104219613,1999-08-31,2001-03-31,20,conservative,0.6,99,776,0.007512732615712972,0.016003562271474293,0.019875410739545546
2001-05-31,1996-05-31,2001-04-30,60,-0.028611360749090042,0.15640971922122027,0.02020637285251694,0.41523043931107995,0.02176287044604741,0.4283598414676999,1999-09-30,2001-04-30,20,conservative,0.6,89,774,-0.0019983261206644154,0.01026906671778643,0.01649475478066666
2001-06-30,1996-06-30,2001-05-31,60,-0.02873074171480193,0.15420244195724966,0.022087780408122298,0.4260840979273346,0.02133455545141698,0.4197134601154158,1999-10-31,2001-05-31,20,conservative,0.6,104,762,-0.009200742534358028,0.0034372336255535122,0.010289538640992883
