formation_month,training_start,training_end,training_months,training_observations,low_level_r2,selected_tool,selected_tool_rankicir,selected_tool_orientation,finite_scores,short_memory_coverage,short_mean_retrieved,medium_memory_coverage,medium_mean_retrieved,long_memory_coverage,long_mean_retrieved
1999-07-31,1994-07-31,1999-06-30,60,57654,0.00017222487553547605,short_term_reversal,0.4599623482337878,1,974,974,4.743,974,4.743,974,4.743
1999-08-31,1994-08-31,1999-07-31,60,58622,0.00018873045617162632,short_term_reversal,0.42435182534022453,1,970,970,4.723,970,4.723,970,4.723
1999-09-30,1994-09-30,1999-08-31,60,58619,0.00020088159886610946,short_term_reversal,0.42833460533617285,1,970,970,4.682,970,4.682,970,4.682
1999-10-31,1994-10-31,1999-09-30,60,58612,0.00033957282673191536,short_term_reversal,0.40415084027720444,1,961,961,4.627,961,4.627,961,4.627
1999-11-30,1994-11-30,1999-10-31,60,58587,0.00044115748687567624,short_term_reversal,0.4071362973895299,1,953,953,4.532,953,4.532,953,4.532
1999-12-31,1994-12-31,1999-11-30,60,58550,0.0012487190150343164,medium_term_momentum,0.3434294209147592,1,848,944,4.455,944,4.455,944,4.455
2000-01-31,1995-01-31,1999-12-31,60,58506,0.0009926863285809606,medium_term_momentum,0.3909070995630644,1,850,965,4.495,965,4.495,965,4.495
2000-02-29,1995-02-28,2000-01-31,60,58480,0.00284407970310685,medium_term_momentum,0.418812875305278,1,813,931,4.306,931,4.306,931,4.306
2000-03-31,1995-03-31,2000-02-29,60,58421,0.0003499361033816317,medium_term_momentum,0.34746915735322015,1,860,966,4.528,966,4.528,966,4.528
2000-04-30,1995-04-30,2000-03-31,60,58396,0.0003311178825745609,medium_term_momentum,0.3118919135950766,1,890,981,4.697,981,4.697,981,4.697
2000-05-31,1995-05-31,2000-04-30,60,58389,0.0005139915953209506,medium_term_momentum,0.27783400695926497,1,908,984,4.754,984,4.754,984,4.754
2000-06-30,1995-06-30,2000-05-31,60,58382,0.0003020504810341551,medium_term_momentum,0.2921679103733329,1,885,969,4.651,969,4.651,969,4.651
2000-07-31,1995-07-31,2000-06-30,60,58355,0.0002727785390530535,short_term_reversal,0.28499978886848515,1,978,978,4.723,978,4.723,978,4.723
2000-08-31,1995-08-31,2000-07-31,60,58345,0.0002754132237159368,short_term_reversal,0.28788281697754714,1,974,974,4.708,974,4.708,974,4.708
2000-09-30,1995-09-30,2000-08-31,60,58332,0.00036641783759006064,short_term_reversal,0.2899787725314308,1,980,980,4.7,980,4.7,980,4.7
2000-10-31,1995-10-31,2000-09-30,60,58325,0.0004233057898850312,short_term_reversal,0.3069489999695628,1,979,979,4.744,979,4.744,979,4.744
2000-11-30,1995-11-30,2000-10-31,60,58315,0.0007793883545271774,short_term_reversal,0.2455789657019304,1,981,981,4.792,981,4.792,981,4.792
2000-12-31,1995-12-31,2000-11-30,60,58311,0.0007911795068855643,short_term_reversal,0.2329693930740568,1,980,980,4.771,980,4.771,980,4.771
2001-01-31,1996-01-31,2000-12-31,60,58312,0.0005382712881416563,short_term_reversal,0.24511227226544083,1,993,993,4.856,993,4.856,993,4.856
2001-02-28,1996-02-29,2001-01-31,60,58321,0.0009520450134279379,short_term_reversal,0.26689855557990566,1,982,982,4.832,982,4.832,982,4.832
2001-03-31,1996-03-31,2001-02-28,60,58307,0.0012773569803746776,short_term_reversal,0.22886701674244592,1,977,977,4.773,977,4.773,977,4.773
2001-04-30,1996-04-30,2001-03-31,60,58304,0.0009740753201467056,short_term_reversal,0.2555527117471517,1,992,992,4.835,992,4.835,992,4.835
2001-05-31,1996-05-31,2001-04-30,60,58318,0.0010473248252084177,short_term_reversal,0.2708849302768364,1,984,984,4.824,984,4.824,984,4.824
2001-06-30,1996-06-30,2001-05-31,60,58321,0.0010378722716735123,short_term_reversal,0.26878895263258357,1,980,980,4.778,980,4.778,980,4.778
2001-07-31,1996-07-31,2001-06-30,60,58312,0.0010847173147104927,short_term_reversal,0.27335918200029036,1,991,991,4.816,991,4.816,991,4.816
2001-08-31,1996-08-31,2001-07-31,60,58318,0.0013025539491542393,short_term_reversal,0.25125961165310395,1,987,987,4.812,987,4.812,987,4.812
2001-09-30,1996-09-30,2001-08-31,60,58312,0.0017235105235809955,medium_term_momentum,0.22193224881799364,1,954,977,4.754,977,4.754,977,4.754
2001-10-31,1996-10-31,2001-09-30,60,58301,0.001309816264516872,short_term_reversal,0.23731352876199296,1,993,993,4.845,993,4.845,993,4.845
2001-11-30,1996-11-30,2001-10-31,60,58306,0.0010871100118728938,short_term_reversal,0.22308585126367503,1,990,990,4.878,990,4.878,990,4.878
2001-12-31,1996-12-31,2001-11-30,60,58306,0.0011034408914646354,short_term_reversal,0.21857762179045728,1,991,991,4.888,991,4.888,991,4.888
2002-01-31,1997-01-31,2001-12-31,60,58313,0.0012473158526022932,short_term_reversal,0.20668669574773305,1,988,988,4.872,988,4.872,988,4.872
2002-02-28,1997-02-28,2002-01-31,60,58318,0.001305850792528318,medium_term_momentum,0.20763169709189488,1,970,990,4.867,990,4.867,990,4.867
2002-03-31,1997-03-31,2002-02-28,60,58322,0.0011606280216668319,short_term_reversal,0.19736889336891755,1,992,992,4.89,992,4.89,992,4.89
2002-04-30,1997-04-30,2002-03-31,60,58326,0.0013172890431373263,medium_term_momentum,0.196449034675618,1,969,989,4.855,989,4.855,989,4.855
2002-05-31,1997-05-31,2002-04-30,60,58328,0.0015119824380664948,medium_term_momentum,0.21318658805283336,1,972,991,4.87,991,4.87,991,4.87
2002-06-30,1997-06-30,2002-05-31,60,58329,0.001831063007937006,medium_term_momentum,0.22503325075562272,1,964,984,4.807,984,4.807,984,4.807
2002-07-31,1997-07-31,2002-06-30,60,58338,0.0019117780173962817,medium_term_momentum,0.21770044291169396,1,974,991,4.828,991,4.828,991,4.828
2002-08-31,1997-08-31,2002-07-31,60,58361,0.001974542227233478,medium_term_momentum,0.2304704109671811,1,975,991,4.853,991,4.853,991,4.853
2002-09-30,1997-09-30,2002-08-31,60,58380,0.0023285605589665748,medium_term_momentum,0.24174666403254294,1,967,979,4.787,979,4.787,979,4.787
2002-10-31,1997-10-31,2002-09-30,60,58389,0.001987049048110312,medium_term_momentum,0.2340293343609593,1,976,990,4.845,990,4.845,990,4.845
2002-11-30,1997-11-30,2002-10-31,60,58400,0.001579475920104212,medium_term_momentum,0.19860523162002608,1,982,995,4.905,995,4.905,995,4.905
2002-12-31,1997-12-31,2002-11-30,60,58414,0.001442627965736909,medium_term_momentum,0.21328600870746162,1,981,992,4.886,992,4.886,992,4.886
2003-01-31,1998-01-31,2002-12-31,60,58436,0.0014547868899816851,medium_term_momentum,0.21732036766421828,1,980,995,4.888,995,4.888,995,4.888
2003-02-28,1998-02-28,2003-01-31,60,58447,0.001581121715058531,medium_term_momentum,0.22477727080475204,1,977,991,4.895,991,4.895,991,4.895
2003-03-31,1998-03-31,2003-02-28,60,58456,0.0016381860342955523,medium_term_momentum,0.22354178317078754,1,984,997,4.924,997,4.924,997,4.924
2003-04-30,1998-04-30,2003-03-31,60,58475,0.0015081086707280367,medium_term_momentum,0.19985448952731863,1,986,997,4.93,997,4.93,997,4.93
2003-05-31,1998-05-31,2003-04-30,60,58489,0.0014128574790163162,medium_term_momentum,0.17719770168172275,1,983,993,4.935,993,4.935,993,4.935
2003-06-30,1998-06-30,2003-05-31,60,58499,0.001304855223231205,short_term_reversal,0.16667547533519725,1,992,992,4.915,992,4.915,992,4.915
2003-07-31,1998-07-31,2003-06-30,60,58529,0.0012314296420736781,short_term_reversal,0.18031089390053964,1,995,995,4.925,995,4.925,995,4.925
2003-08-31,1998-08-31,2003-07-31,60,58548,0.001203933246818556,short_term_reversal,0.1839724605187783,1,991,991,4.904,991,4.904,991,4.904
2003-09-30,1998-09-30,2003-08-31,60,58563,0.0010878340289244282,short_term_reversal,0.1967659529469041,1,993,993,4.913,993,4.913,993,4.913
2003-10-31,1998-10-31,2003-09-30,60,58582,0.0012853169582214274,short_term_reversal,0.1892148215425671,1,990,990,4.89,990,4.89,990,4.89
2003-11-30,1998-11-30,2003-10-31,60,58589,0.0013589527070739793,short_term_reversal,0.18414443179328308,1,995,995,4.907,995,4.907,995,4.907
2003-12-31,1998-12-31,2003-11-30,60,58602,0.0010809192826611858,short_term_reversal,0.2013489666007519,1,993,993,4.92,993,4.92,993,4.92
2004-01-31,1999-01-31,2003-12-31,60,58632,0.000973522040245367,short_term_reversal,0.2281102944747959,1,993,993,4.918,993,4.918,993,4.918
2004-02-29,1999-02-28,2004-01-31,60,58653,0.0010971400383531504,short_term_reversal,0.2223861034409593,1,991,991,4.893,991,4.893,991,4.893
2004-03-31,1999-03-31,2004-02-29,60,58663,0.0011190678927013309,short_term_reversal,0.212917194107805,1,994,994,4.913,994,4.913,994,4.913
2004-04-30,1999-04-30,2004-03-31,60,58691,0.0013204378124395122,short_term_reversal,0.20325117131751627,1,988,988,4.872,988,4.872,988,4.872
2004-05-31,1999-05-31,2004-04-30,60,58696,0.00129277905245051,short_term_reversal,0.20610535823481768,1,994,994,4.899,994,4.899,994,4.899
2004-06-30,1999-06-30,2004-05-31,60,58714,0.00143658208602504,short_term_reversal,0.19561036874187573,1,990,990,4.887,990,4.887,990,4.887
2004-07-31,1999-07-31,2004-06-30,60,58738,0.0013958418198664058,short_term_reversal,0.18591574343695677,1,985,985,4.864,985,4.864,985,4.864
2004-08-31,1999-08-31,2004-07-31,60,58753,0.0013305154863221258,short_term_reversal,0.18707373893945997,1,987,987,4.867,987,4.867,987,4.867
2004-09-30,1999-09-30,2004-08-31,60,58774,0.0013030000045373136,short_term_reversal,0.20667615899240338,1,990,990,4.861,990,4.861,990,4.861
2004-10-31,1999-10-31,2004-09-30,60,58796,0.0013352488362651238,short_term_reversal,0.21492714101320173,1,995,995,4.898,995,4.898,995,4.898
2004-11-30,1999-11-30,2004-10-31,60,58837,0.0013508128391632734,short_term_reversal,0.2271674811645767,1,988,988,4.879,988,4.879,988,4.879
2004-12-31,1999-12-31,2004-11-30,60,58881,0.001561672078792986,short_term_reversal,0.26699975671329174,1,991,991,4.905,991,4.905,991,4.905
2005-01-31,2000-01-31,2004-12-31,60,58931,0.001568233797413665,short_term_reversal,0.2696990669556393,1,990,990,4.89,990,4.89,990,4.89
2005-02-28,2000-02-29,2005-01-31,60,58961,0.002548344715215589,short_term_reversal,0.2661907852387472,1,991,991,4.872,991,4.872,991,4.872
2005-03-31,2000-03-31,2005-02-28,60,59024,0.0011823495427516484,short_term_reversal,0.23740695822562202,1,991,991,4.894,991,4.894,991,4.894
2005-04-30,2000-04-30,2005-03-31,60,59053,0.0005963903459127451,short_term_reversal,0.2474540225815808,1,996,996,4.918,996,4.918,996,4.918
2005-05-31,2000-05-31,2005-04-30,60,59071,0.0004318588885797725,short_term_reversal,0.27992182257922205,1,991,991,4.895,991,4.895,991,4.895
2005-06-30,2000-06-30,2005-05-31,60,59084,0.0010389842194281629,short_term_reversal,0.2580562514289791,1,992,992,4.904,992,4.904,992,4.904
2005-07-31,2000-07-31,2005-06-30,60,59119,0.0009384294820511396,short_term_reversal,0.23356933381119063,1,992,992,4.893,992,4.893,992,4.893
2005-08-31,2000-08-31,2005-07-31,60,59135,0.0012760849210740055,short_term_reversal,0.22163746119534888,1,986,986,4.856,986,4.856,986,4.856
2005-09-30,2000-09-30,2005-08-31,60,59147,0.0012203046835196352,short_term_reversal,0.19417338581653226,1,986,986,4.835,986,4.835,986,4.835
2005-10-31,2000-10-31,2005-09-30,60,59157,0.000753294981381547,short_term_reversal,0.2063371117088183,1,990,990,4.849,990,4.849,990,4.849
2005-11-30,2000-11-30,2005-10-31,60,59174,0.00029529612397283245,short_term_reversal,0.2442107801036681,1,990,990,4.874,990,4.874,990,4.874
2005-12-31,2000-12-31,2005-11-30,60,59191,0.00030771135415452733,short_term_reversal,0.26635781201167763,1,995,995,4.906,995,4.906,995,4.906
2006-01-31,2001-01-31,2005-12-31,60,59205,0.0006564322552522484,short_term_reversal,0.23255460185017157,1,987,987,4.871,987,4.871,987,4.871
2006-02-28,2001-02-28,2006-01-31,60,59194,0.0002638923240023683,short_term_reversal,0.22022983522718376,1,990,990,4.884,990,4.884,990,4.884
2006-03-31,2001-03-31,2006-02-28,60,59207,0.00026012094532334995,short_term_reversal,0.25922457103624774,1,988,988,4.871,988,4.871,988,4.871
2006-04-30,2001-04-30,2006-03-31,60,59214,0.00039161960979383625,short_term_reversal,0.22732530936875248,1,987,987,4.851,987,4.851,987,4.851
2006-05-31,2001-05-31,2006-04-30,60,59211,0.0003568422096712487,short_term_reversal,0.20620877006668942,1,983,983,4.829,983,4.829,983,4.829
2006-06-30,2001-06-30,2006-05-31,60,59208,0.00040373630271373084,short_term_reversal,0.1913405448514701,1,985,985,4.823,985,4.823,985,4.823
2006-07-31,2001-07-31,2006-06-30,60,59212,0.00029272484066211746,short_term_reversal,0.18521917456566056,1,990,990,4.851,990,4.851,990,4.851
2006-08-31,2001-08-31,2006-07-31,60,59215,0.0002750026649090964,short_term_reversal,0.2070828596877978,1,994,994,4.884,994,4.884,994,4.884
2006-09-30,2001-09-30,2006-08-31,60,59229,0.000552909425298731,short_term_reversal,0.24829544659452993,1,994,994,4.9,994,4.9,994,4.9
2006-10-31,2001-10-31,2006-09-30,60,59246,0.00040311490223798874,short_term_reversal,0.21306449908319847,1,992,992,4.892,992,4.892,992,4.892
2006-11-30,2001-11-30,2006-10-31,60,59247,0.0003593507486112646,short_term_reversal,0.21571871311535606,1,989,989,4.889,989,4.889,989,4.889
2006-12-31,2001-12-31,2006-11-30,60,59243,0.0003173891121716066,short_term_reversal,0.23137675004822786,1,990,990,4.898,990,4.898,990,4.898
2007-01-31,2002-01-31,2006-12-31,60,59245,0.0003164637611636767,short_term_reversal,0.2374940553838711,1,994,994,4.908,994,4.908,994,4.908
2007-02-28,2002-02-28,2007-01-31,60,59251,0.0003389936980965347,short_term_reversal,0.25387954303291277,1,988,988,4.887,988,4.887,988,4.887
2007-03-31,2002-03-31,2007-02-28,60,59250,0.00033851086281322385,short_term_reversal,0.20297995448714842,1,991,991,4.884,991,4.884,991,4.884
2007-04-30,2002-04-30,2007-03-31,60,59246,0.000494473290792774,short_term_reversal,0.18710241691361776,1,986,986,4.857,986,4.857,986,4.857
2007-05-31,2002-05-31,2007-04-30,60,59238,0.0005219938596374707,short_term_reversal,0.17740933968057845,1,988,988,4.869,988,4.869,988,4.869
2007-06-30,2002-06-30,2007-05-31,60,59233,0.0006773934107374702,short_term_reversal,0.17260417232229439,1,988,988,4.875,988,4.875,988,4.875
2007-07-31,2002-07-31,2007-06-30,60,59235,0.0007168480115850029,short_term_reversal,0.15055359369728383,1,984,984,4.839,984,4.839,984,4.839
2007-08-31,2002-08-31,2007-07-31,60,59222,0.0007179544242394975,short_term_reversal,0.1259647716116522,1,984,984,4.842,984,4.842,984,4.842
2007-09-30,2002-09-30,2007-08-31,60,59211,0.0009347913102029093,short_term_reversal,0.135258058407931,1,990,990,4.858,990,4.858,990,4.858
2007-10-31,2002-10-31,2007-09-30,60,59216,0.0005590654520571947,short_term_reversal,0.07917826882073034,1,982,982,4.821,982,4.821,982,4.821
2007-11-30,2002-11-30,2007-10-31,60,59203,0.00028809950373132054,price_breakout,0.08459231279919771,1,962,980,4.793,980,4.793,980,4.793
2007-12-31,2002-12-31,2007-11-30,60,59178,0.0005278836017044153,price_breakout,0.08222235544265448,1,964,982,4.794,982,4.794,982,4.794
2008-01-31,2003-01-31,2007-12-31,60,59162,0.00031076975578192556,price_breakout,0.04871293227212583,1,975,989,4.837,989,4.837,989,4.837
2008-02-29,2003-02-28,2008-01-31,60,59154,0.0003027161156322622,short_term_reversal,0.07313277003718514,1,984,984,4.826,984,4.826,984,4.826
2008-03-31,2003-03-31,2008-02-29,60,59144,0.0002940906969239876,short_term_reversal,0.06879061566319103,1,991,991,4.837,991,4.837,991,4.837
2008-04-30,2003-04-30,2008-03-31,60,59137,0.0004752792746193224,price_breakout,0.10190449849111172,1,978,986,4.843,986,4.843,986,4.843
2008-05-31,2003-05-31,2008-04-30,60,59125,0.0007765150963754408,price_breakout,0.15620877682730097,1,980,988,4.864,988,4.864,988,4.864
2008-06-30,2003-06-30,2008-05-31,60,59117,0.0015455479625039459,price_breakout,0.2051871219131826,1,968,981,4.808,981,4.808,981,4.808
2008-07-31,2003-07-31,2008-06-30,60,59103,0.0010089475963978023,price_breakout,0.19372321914965604,1,970,982,4.82,982,4.82,982,4.82
2008-08-31,2003-08-31,2008-07-31,60,59087,0.0008377308343359147,price_breakout,0.18089451917998584,1,980,994,4.881,994,4.881,994,4.881
2008-09-30,2003-09-30,2008-08-31,60,59090,0.0012993817723511158,price_breakout,0.22514648153520458,1,962,976,4.802,976,4.802,976,4.802
2008-10-31,2003-10-31,2008-09-30,60,59070,0.001999982023447089,price_breakout,0.25859064953039196,1,960,971,4.742,971,4.742,971,4.742
2008-11-30,2003-11-30,2008-10-31,60,59049,0.0028466923156496016,price_breakout,0.27878322568606034,1,962,974,4.702,974,4.702,974,4.702
2008-12-31,2003-12-31,2008-11-30,60,59025,0.0025004131354372516,price_breakout,0.2824488872139432,1,977,986,4.74,986,4.74,986,4.74
2009-01-31,2004-01-31,2008-12-31,60,59012,0.0028413973320593477,price_breakout,0.2919836956378428,1,981,988,4.796,988,4.796,988,4.796
2009-02-28,2004-02-29,2009-01-31,60,59005,0.003620548620061892,price_breakout,0.3018348276692133,1,974,981,4.768,981,4.768,981,4.768
2009-03-31,2004-03-31,2009-02-28,60,58996,0.002429533409157858,price_breakout,0.25700977900299077,1,985,989,4.846,989,4.846,989,4.846
2009-04-30,2004-04-30,2009-03-31,60,58993,0.0012938192177132102,price_breakout,0.1697591182581122,1,993,997,4.904,997,4.904,997,4.904
2009-05-31,2004-05-31,2009-04-30,60,59005,0.0013494578168902205,short_term_reversal,0.1621749112150695,-1,997,997,4.937,997,4.937,997,4.937
2009-06-30,2004-06-30,2009-05-31,60,59010,0.0010883239078756102,price_breakout,0.14799215051267947,1,992,994,4.921,994,4.921,994,4.921
2009-07-31,2004-07-31,2009-06-30,60,59018,0.0009330131176816803,price_breakout,0.10882862232722477,1,995,998,4.955,998,4.955,998,4.955
2009-08-31,2004-08-31,2009-07-31,60,59031,0.001013052131030423,short_term_reversal,0.09663109206015218,-1,996,996,4.952,996,4.952,996,4.952
