formation_month,training_start,training_end,training_examples,selected_strategy,top_relevance_strategy,router_confidence,router_margin,exposure_bucket,exposure_fraction,finite_scores,v3_label_count__news_impulse,router_probability__news_impulse,v3_label_count__momentum_follow,router_probability__momentum_follow,v3_label_count__mean_revert_fade,router_probability__mean_revert_fade,v3_label_count__cross_asset_hedge,router_probability__cross_asset_hedge,v3_label_count__risk_reset,router_probability__risk_reset,v3_label_count__macro_rotation,router_probability__macro_rotation,v3_label_count__earnings_drift,router_probability__earnings_drift,v3_label_count__liquidity_rebate,router_probability__liquidity_rebate,v3_label_count__small_cap_breakout,router_probability__small_cap_breakout,v3_label_count__volatility_breakout,router_probability__volatility_breakout
1999-07-31,1989-02-28,1999-01-31,120,risk_reset,macro_rotation,0.16837900616651325,0.04379453516584948,small,0.04,1000,9,0.12458447100066376,21,0.11543543015019392,15,0.06117696937506896,17,0.08767196943955304,19,0.16837900616651325,24,0.0807469671498824,2,0.10025422186684421,6,0.08208242916742436,3,0.08413672093657083,4,0.09553181474728538
1999-08-31,1989-03-31,1999-02-28,120,risk_reset,macro_rotation,0.13678918861741346,0.012749683150474339,small,0.04,1000,9,0.12403950546693912,21,0.1165956506061238,16,0.05257745342267167,17,0.09204643718219627,18,0.13678918861741346,23,0.0871683136959952,2,0.10323042705631508,6,0.07999720018267277,4,0.10654056188211544,4,0.10101526188755726
1999-09-30,1989-04-30,1999-03-31,120,small_cap_breakout,macro_rotation,0.15366961425359998,0.01478642933756269,small,0.04,1000,9,0.12954614015096708,21,0.09924025326174894,16,0.037413799798388915,17,0.1388831849160373,18,0.09043538270606248,22,0.07399825839936792,2,0.0951587293654456,6,0.07869385337760172,5,0.15366961425359998,4,0.10296078377078002
1999-10-31,1989-05-31,1999-04-30,120,macro_rotation,macro_rotation,0.13756863347066184,0.00465164288184261,small,0.04,1000,9,0.13291699058881923,20,0.0573830225158076,16,0.03314334712296833,17,0.10105066606816243,18,0.11807113182000545,23,0.13756863347066184,2,0.09930125972503275,6,0.08288598014564436,5,0.12740429079592547,4,0.11027467774697262
1999-11-30,1989-06-30,1999-05-31,120,macro_rotation,macro_rotation,0.15508778291284667,0.03243642871585327,small,0.04,1000,9,0.1226513541969934,20,0.08040922764841336,15,0.026995848860692343,17,0.09018093967856461,18,0.11248478637478117,24,0.15508778291284667,2,0.09968916377616793,6,0.08640042581892045,5,0.11904370695642875,4,0.10705676377619146
1999-12-31,1989-07-31,1999-06-30,120,macro_rotation,macro_rotation,0.21016403719893126,0.07858124666651767,medium,0.09,1000,9,0.1315827905324136,20,0.08960703196322148,15,0.030876452284594853,17,0.09918863531879808,17,0.053891893743045614,25,0.21016403719893126,2,0.08235641050704347,6,0.0896367687476193,5,0.10042213126808013,4,0.11227384843625215
2000-01-31,1989-08-31,1999-07-31,120,macro_rotation,macro_rotation,0.2457939263949886,0.1255515530406126,medium,0.09,1000,9,0.11670193040587243,19,0.07574357313817123,15,0.05091431298712265,17,0.0891736581790135,17,0.03958114621419756,26,0.2457939263949886,2,0.0755886896490104,6,0.0877080805132229,5,0.09855230916402478,4,0.12024237335437597
2000-02-29,1989-09-30,1999-08-31,120,macro_rotation,macro_rotation,0.16283691637774195,0.02850615334571588,small,0.04,1000,9,0.09331224160630328,19,0.09104034931501888,15,0.05061812505125116,17,0.06560805726038736,16,0.10344560377497845,27,0.16283691637774195,2,0.09193487855357532,6,0.09814951218879915,5,0.13433076303202607,4,0.10872355283991847
2000-03-31,1989-10-31,1999-09-30,120,macro_rotation,macro_rotation,0.16939093017143333,0.011970447667814438,small,0.04,1000,9,0.07571873043574939,19,0.09495496318222543,15,0.07093739840727079,16,0.06799924356998657,16,0.07609092137961211,28,0.16939093017143333,2,0.0934361471633134,6,0.08802883919563223,5,0.1574204825036189,4,0.10602234399115787
2000-04-30,1989-11-30,1999-10-31,120,macro_rotation,macro_rotation,0.1956369772811122,0.0802484839601014,medium,0.09,1000,9,0.07822726206975288,19,0.09084272402817557,15,0.11538849332101081,16,0.07506346551302412,16,0.06073650247598155,29,0.1956369772811122,2,0.08572227808950036,6,0.08575178118491578,5,0.11250402119784898,3,0.1001264948386776
2000-05-31,1989-12-31,1999-11-30,120,mean_revert_fade,macro_rotation,0.13524696802858793,0.013276789616153237,small,0.04,1000,9,0.1009883679795228,20,0.1219701784124347,15,0.13524696802858793,15,0.07247511783834734,16,0.08148612394265234,29,0.10281356979029915,2,0.07877915557175003,6,0.09927801004841472,5,0.11185216170686542,3,0.09511034668112558
2000-06-30,1990-01-31,1999-12-31,120,mean_revert_fade,macro_rotation,0.14404898547889225,0.013176484905854852,small,0.04,1000,9,0.10183179593770833,19,0.1308725005730374,16,0.14404898547889225,15,0.07504127267697153,16,0.08435237712880717,29,0.08100985563198923,2,0.07452041735400496,6,0.09809595983932695,5,0.11563026922617371,3,0.09459656615308842
2000-07-31,1990-02-28,2000-01-31,120,mean_revert_fade,macro_rotation,0.13546927146692747,0.010250313671670369,small,0.04,1000,9,0.09754764298427128,20,0.1252189577952571,16,0.13546927146692747,14,0.06480458558346101,16,0.1095300118807302,29,0.0892452944157243,2,0.08147984172471992,6,0.0977699658003341,5,0.10682878901641064,3,0.09210563933216391
2000-08-31,1990-03-31,2000-02-29,120,mean_revert_fade,macro_rotation,0.15111436658219302,0.02438181519221591,small,0.04,1000,9,0.10715901152452369,20,0.1267325513899771,17,0.15111436658219302,13,0.06615362103631348,16,0.11041208630204831,29,0.0682851336100406,2,0.07648654810604587,6,0.10188086819226887,5,0.10529635907560504,3,0.08647945418098407
2000-09-30,1990-04-30,2000-03-31,120,mean_revert_fade,macro_rotation,0.14567893989447586,0.025310936240217713,small,0.04,1000,9,0.10775782582429924,20,0.12036800365425815,17,0.14567893989447586,14,0.08277270778563803,16,0.08274890729733501,28,0.10208320658356412,2,0.07456918804878812,6,0.09794207118442819,5,0.09930404413441885,3,0.0867751055927946
