case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,-0.00018522473577023727,-0.041844809691768785,0.04165958495599855,1000.0
zero_cost_0,2009-09-30,-0.01520555685804504,0.014679178864228528,-0.02988473572227357,1000.0
zero_cost_0,2009-10-31,-0.09291941306027565,-0.014602020760718155,-0.0783173922995575,1000.0
zero_cost_0,2009-11-30,-0.01231797964027808,-0.009591757056445894,-0.002726222583832186,1000.0
zero_cost_0,2009-12-31,-0.005236669795978301,-0.007372709735107285,0.002136039939128984,1000.0
zero_cost_0,2010-01-31,-0.05121290114125459,0.014187708145233164,-0.06540060928648775,1000.0
zero_cost_0,2010-02-28,0.00928713796647633,-0.012561679112692877,0.021848817079169205,1.0
zero_cost_0,2010-03-31,-0.016512458674105567,-0.022784274602335963,0.006271815928230395,1000.0
zero_cost_0,2010-04-30,0.0008367622604111423,-0.06320779710749347,0.06404455936790461,1.0
zero_cost_0,2010-05-31,0.00037761096744021996,0.011834974634841315,-0.011457363667401094,1.0
zero_cost_0,2010-06-30,-0.03779321085085309,0.06601835982392819,-0.10381157067478128,1.0
zero_cost_0,2010-07-31,-0.056159994522742236,-0.026458767433651827,-0.02970122708909041,1.0
zero_cost_0,2010-08-31,0.08304096531071069,-0.03662535484814591,0.1196663201588566,1.0
zero_cost_0,2010-09-30,0.0524373364077176,-0.029499409580972843,0.08193674598869044,1.0
zero_cost_0,2010-10-31,-0.013821939762350641,-0.033096207703947125,0.019274267941596486,1.0
zero_cost_0,2010-11-30,0.048882521208542494,-0.029915145394615254,0.07879766660315775,1.0
zero_cost_0,2010-12-31,-0.04753349699669421,0.036112308714530986,-0.0836458057112252,10.0
zero_cost_0,2011-01-31,-0.0015665106268688267,0.0032207676116817485,-0.004787278238550575,10.0
zero_cost_0,2011-02-28,0.011869951640134711,0.012607635165397911,-0.0007376835252632004,100.0
zero_cost_0,2011-03-31,0.011360456153237572,0.03294551272883916,-0.021585056575601586,100.0
zero_cost_0,2011-04-30,-0.00988727961768754,-0.02875369163406957,0.018866412016382027,100.0
zero_cost_0,2011-05-31,-0.006078059754658537,0.021851998709112568,-0.027930058463771106,1000.0
zero_cost_0,2011-06-30,0.01807806208586788,0.014980187884986982,0.003097874200880899,1000.0
zero_cost_0,2011-07-31,-0.009027628891196512,0.05117783025117579,-0.0602054591423723,1000.0
zero_cost_0,2011-08-31,-0.09286272227777076,0.03640427540312407,-0.12926699768089484,1000.0
zero_cost_0,2011-09-30,0.10050857377459653,0.019057483489299188,0.08145109028529735,1000.0
zero_cost_0,2011-10-31,-0.14231399723268168,-0.017244968296063673,-0.125069028936618,1000.0
zero_cost_0,2011-11-30,0.08311249119797184,0.0360021001172561,0.04711039108071574,100.0
zero_cost_0,2011-12-31,0.04796991691855995,0.03620874148942594,0.011761175429134012,100.0
zero_cost_0,2012-01-31,-0.10002327305779465,-0.013986177440615026,-0.08603709561717962,100.0
zero_cost_0,2012-02-29,0.016688069971400852,0.02818978707415797,-0.011501717102757117,100.0
zero_cost_0,2012-03-31,0.05525723187780365,0.018903804167873257,0.0363534277099304,100.0
zero_cost_0,2012-04-30,-0.005560256677997088,-0.007696719010158498,0.00213646233216141,100.0
zero_cost_0,2012-05-31,-0.07069242939656918,-0.015679854223551597,-0.05501257517301758,100.0
zero_cost_0,2012-06-30,0.018264944006207876,-0.012807657734894708,0.031072601741102584,100.0
zero_cost_0,2012-07-31,0.04126819628011131,-0.053969875552240545,0.09523807183235186,100.0
zero_cost_0,2012-08-31,-0.07838802035799959,-0.006824661077941932,-0.07156335928005766,100.0
zero_cost_0,2012-09-30,-0.01841348746584799,0.004164906420763778,-0.02257839388661177,100.0
zero_cost_0,2012-10-31,-0.00024189505679953776,-0.04494022175356037,0.04469832669676083,100.0
zero_cost_0,2012-11-30,0.021962894966066314,-0.022436899223518707,0.04439979418958502,100.0
zero_cost_0,2012-12-31,0.019413545272304107,-0.00422056873599895,0.023634114008303057,100.0
zero_cost_0,2013-01-31,0.04970051223206597,-0.04167744896596995,0.09137796119803593,100.0
zero_cost_0,2013-02-28,0.022243301834293645,0.021111374258087706,0.0011319275762059385,100.0
zero_cost_0,2013-03-31,0.01926132495261672,0.024035971862437947,-0.004774646909821226,100.0
zero_cost_0,2013-04-30,-0.04289814318761342,-0.016242985041270832,-0.026655158146342586,100.0
zero_cost_0,2013-05-31,0.014704461298847752,-0.0009977282015797538,0.015702189500427507,100.0
zero_cost_0,2013-06-30,0.03822433137803513,0.0067621547791674496,0.03146217659886768,100.0
zero_cost_0,2013-07-31,-0.0318945584302868,-0.044233673831399076,0.012339115401112273,100.0
zero_cost_0,2013-08-31,-0.03715750368508346,0.020347477887894042,-0.057504981572977495,100.0
zero_cost_0,2013-09-30,0.042395500614743675,0.008333080134445567,0.03406242048029811,100.0
zero_cost_0,2013-10-31,-0.0006914739300375275,0.005665916483853744,-0.006357390413891272,1000.0
zero_cost_0,2013-11-30,-0.019725145682074056,-0.019783237593359686,5.809191128562999e-05,1000.0
zero_cost_0,2013-12-31,0.0024710067370428985,0.017126344898494426,-0.014655338161451528,1000.0
zero_cost_0,2014-01-31,0.0411090872715727,-0.001342604741024131,0.042451692012596826,1000.0
zero_cost_0,2014-02-28,0.021519674174714985,0.01076111720717416,0.010758556967540824,1000.0
zero_cost_0,2014-03-31,-0.026929423948532247,-0.03378161658291536,0.0068521926343831155,1000.0
zero_cost_0,2014-04-30,-0.04527228908691288,-0.0024338907704170034,-0.04283839831649588,1000.0
zero_cost_0,2014-05-31,-0.013725592315011501,-0.008313489800088591,-0.00541210251492291,1000.0
zero_cost_0,2014-06-30,-0.005233741641382294,0.01498098274543412,-0.020214724386816412,1000.0
zero_cost_0,2014-07-31,-0.011454146571210131,-0.012739445636772222,0.0012852990655620906,1000.0
zero_cost_0,2014-08-31,-0.004707570764097871,-0.006801808705312751,0.00209423794121488,1000.0
zero_cost_0,2014-09-30,-0.02158030409452031,-0.023150807292529038,0.0015705031980087283,1000.0
zero_cost_0,2014-10-31,0.041643965416827765,0.0065044807115574674,0.0351394847052703,1000.0
zero_cost_0,2014-11-30,0.07156264730292572,0.008830437270938359,0.06273221003198737,1000.0
zero_cost_0,2014-12-31,-0.005311791009405119,-0.012415299576850405,0.007103508567445287,1000.0
zero_cost_0,2015-01-31,-0.0009309859939553329,0.02829716595444066,-0.029228151948395995,1000.0
zero_cost_0,2015-02-28,0.005907324996100575,-0.0008281018459120232,0.006735426842012598,100.0
zero_cost_0,2015-03-31,0.004885285260637434,0.013897349950680342,-0.009012064690042908,100.0
zero_cost_0,2015-04-30,-0.06245687934236657,-0.0075504510752213,-0.05490642826714527,100.0
zero_cost_0,2015-05-31,0.03804764413218901,-0.00869916255591211,0.04674680668810112,100.0
zero_cost_0,2015-06-30,0.023447494371877237,0.021189951256662152,0.0022575431152150847,100.0
zero_cost_0,2015-07-31,0.021683554135898092,0.002683125681231087,0.019000428454667005,100.0
zero_cost_0,2015-08-31,-0.034006017785927704,0.015694193643339446,-0.04970021142926715,1000.0
zero_cost_0,2015-09-30,0.056829306640196905,-0.012408739151948091,0.069238045792145,1000.0
zero_cost_0,2015-10-31,-0.03878242862618521,0.002465030888845733,-0.04124745951503094,10.0
zero_cost_0,2015-11-30,0.0166834593293259,0.0038414077898644245,0.012842051539461476,10.0
zero_cost_0,2015-12-31,0.0030752789152883662,-0.0019598403981566734,0.00503511931344504,1000.0
zero_cost_0,2016-01-31,0.15811708302888872,-0.006330207239849706,0.16444729026873842,1000.0
zero_cost_0,2016-02-29,-0.02285017997771517,0.037746281833414885,-0.060596461811130056,1000.0
zero_cost_0,2016-03-31,-0.04163472366720423,-0.006267034832022331,-0.0353676888351819,1000.0
zero_cost_0,2016-04-30,-0.0388225541231907,0.010650832444531256,-0.04947338656772196,1000.0
zero_cost_0,2016-05-31,0.0519653474040637,-0.009849314677607303,0.061814662081671,1000.0
zero_cost_0,2016-06-30,0.01992703378315659,0.008400021257999574,0.011527012525157015,1000.0
zero_cost_0,2016-07-31,0.09579026175359377,-0.002653197489475677,0.09844345924306945,1000.0
zero_cost_0,2016-08-31,-0.04190966783422869,-0.011194768222141948,-0.030714899612086743,1000.0
zero_cost_0,2016-09-30,-0.013336143201562138,0.017280335836612065,-0.030616479038174202,1000.0
zero_cost_0,2016-10-31,-0.006123413182353559,-0.04380153738238296,0.0376781242000294,1000.0
zero_cost_0,2016-11-30,-0.019580974311091084,-0.009679260040605278,-0.009901714270485806,1000.0
zero_cost_0,2016-12-31,0.015510937190771354,-0.024074157050946562,0.03958509424171792,1000.0
zero_cost_0,2017-01-31,0.011312857595054878,-0.001473547034551614,0.012786404629606491,1000.0
zero_cost_0,2017-02-28,-0.02104257626099892,-0.003633506849675763,-0.01740906941132316,1000.0
zero_cost_0,2017-03-31,-0.010329075128773306,0.019212148184883617,-0.029541223313656925,1000.0
zero_cost_0,2017-04-30,-0.014514166962752416,0.02623371765607054,-0.040747884618822956,1000.0
zero_cost_0,2017-05-31,-0.0023856795640279714,-0.001398687204071152,-0.0009869923599568195,1000.0
zero_cost_0,2017-06-30,0.029177331096509808,-0.0234620547357746,0.052639385832284405,1000.0
zero_cost_0,2017-07-31,0.015211941859245164,-0.016120900697421815,0.031332842556666976,1000.0
zero_cost_0,2017-08-31,0.021784866734280737,-0.002914941248838383,0.024699807983119118,1000.0
zero_cost_0,2017-09-30,-0.014362809641726154,-0.0022398411680468406,-0.012122968473679312,1000.0
zero_cost_0,2017-10-31,0.0967342515485338,-0.0273916608336019,0.12412591238213569,1000.0
zero_cost_0,2017-11-30,-0.007462232542584252,0.01075398838348371,-0.018216220926067964,1000.0
zero_cost_0,2017-12-31,-0.020671875756094697,-0.003353912750805273,-0.017317963005289424,1000.0
zero_cost_0,2018-01-31,-0.01847754396935379,0.004955061482386946,-0.023432605451740737,1000.0
zero_cost_0,2018-02-28,0.00633400889156766,0.02063447898780712,-0.014300470096239458,1000.0
zero_cost_0,2018-03-31,0.00897887713129152,0.019708382474223286,-0.010729505342931765,1000.0
zero_cost_0,2018-04-30,4.779624198033105e-05,-0.006522601163355543,0.006570397405335874,1000.0
zero_cost_0,2018-05-31,0.015186019637486682,0.022989117478185356,-0.007803097840698674,1000.0
zero_cost_0,2018-06-30,0.02114720168725979,0.008374302509456368,0.012772899177803424,1000.0
zero_cost_0,2018-07-31,0.06797205479708035,-0.024200193823260618,0.09217224862034097,1000.0
zero_cost_0,2018-08-31,-0.011973691096708552,-0.005172582656455783,-0.006801108440252769,1000.0
zero_cost_0,2018-09-30,-0.007187197578622125,-0.009658882493291887,0.002471684914669762,1000.0
zero_cost_0,2018-10-31,0.02919821907738034,0.015774433760686137,0.013423785316694203,10.0
zero_cost_0,2018-11-30,0.003909696205297627,-0.028973975234547148,0.032883671439844775,10.0
zero_cost_0,2018-12-31,0.04170072876135018,-0.002343255161672169,0.04404398392302235,1000.0
zero_cost_0,2019-01-31,-0.12289318337973716,-0.015502737565532733,-0.10739044581420443,1000.0
zero_cost_0,2019-02-28,-0.034938698578255156,0.004386581488922787,-0.03932528006717794,100.0
zero_cost_0,2019-03-31,0.0411449276530441,-0.021752063746264618,0.06289699139930872,10.0
zero_cost_0,2019-04-30,0.011465331700911236,0.00538438533572748,0.006080946365183756,10.0
zero_cost_0,2019-05-31,0.03756328708746612,0.051437199317768585,-0.013873912230302467,100.0
zero_cost_0,2019-06-30,0.08565125389127547,-0.021179903308667966,0.10683115719994343,100.0
zero_cost_0,2019-07-31,0.005878460880000738,0.032109292955891544,-0.026230832075890807,100.0
zero_cost_0,2019-08-31,0.11757994173454754,0.05386411748225901,0.06371582425228853,100.0
zero_cost_0,2019-09-30,-0.021710516391189743,-0.008221268614285251,-0.013489247776904491,100.0
zero_cost_0,2019-10-31,-0.052611996629278776,0.012667672837492,-0.06527966946677077,100.0
